gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
0.44275,1.32824,1.41985,-0.10132,0.03174,0.98755,MPU1
-4.44275,-1.26718,0.77863,-0.0249,-0.20752,0.93066,MPU2
1.98473,-2.33588,-0.18321,-0.11572,0.03345,1.01294,MPU1
-0.76336,-2.61069,0.79389,-0.03687,-0.22217,0.9729,MPU2
2.06107,0.01527,1.35878,-0.1228,0.03052,1.00049,MPU1
-3.14504,-0.41221,0.45802,-0.0376,-0.21484,0.91992,MPU2
1.05344,-0.9771,0.27481,-0.12524,0.0271,0.98608,MPU1
-0.48855,-2.12214,0.68702,-0.02539,-0.23242,0.98633,MPU2
1.25191,2.21374,1.74046,-0.11304,0.03809,0.99121,MPU1
-4.47328,-0.45802,-0.68702,-0.00586,-0.19336,0.94702,MPU2
0.39695,-2.48855,-0.96183,-0.11523,0.03125,1.00317,MPU1
-0.71756,-2.41221,0.71756,-0.03711,-0.23145,0.96216,MPU2
2.99237,3.16031,1.57252,-0.11865,0.03662,0.97998,MPU1
-4.32061,-1.46565,-1.23664,-0.02466,-0.19556,0.91919,MPU2
-1.58779,-5.22137,0.44275,-0.12793,0.03906,0.98511,MPU1
-1.96947,-1.46565,0.65649,-0.02271,-0.23071,0.9856,MPU2
3.17557,1.92366,1.40458,-0.12231,0.03418,1.0022,MPU1
-3.83206,-0.82443,-0.71756,-0.01831,-0.20288,0.92261,MPU2
-1.31298,-1.84733,1.05344,-0.12769,0.03857,0.97559,MPU1
-2.73282,0.21374,-0.42748,-0.03052,-0.22803,0.97485,MPU2
1.32824,1.16031,0.85496,-0.12817,0.02734,1.00269,MPU1
-1.32824,-0.73282,1.26718,-0.04199,-0.22974,0.95117,MPU2
0.29008,-1.09924,1.1145,-0.12866,0.02832,0.98901,MPU1
-2.35115,-1.67939,0.36641,-0.02344,-0.22803,0.95264,MPU2
0.64122,-0.70229,1.05344,-0.11182,0.02612,0.99976,MPU1
-0.1374,0.50382,1.48092,-0.02368,-0.23438,0.96631,MPU2
3.57252,2.21374,1.09924,-0.10229,0.02441,0.99219,MPU1
-2.9313,-1.40458,0.15267,-0.02759,-0.21289,0.92236,MPU2
1.78626,-2.29008,0.47328,-0.1272,0.0271,1.00171,MPU1
-0.06107,0.87023,1.51145,-0.03662,-0.23193,0.97412,MPU2
3.89313,3.31298,1.93893,-0.12427,0.0249,1.00513,MPU1
-0.87023,0.80916,1.28244,-0.03735,-0.22461,0.95483,MPU2
1.12977,-1.16031,1.66412,-0.13843,0.03223,1.0,MPU1
-1.37405,-0.68702,1.45038,-0.02881,-0.22266,0.97168,MPU2
3.78626,-0.76336,1.31298,-0.11304,0.02808,1.01904,MPU1
0.1374,0.62595,-0.32061,-0.01245,-0.22021,0.96216,MPU2
2.8855,2.59542,0.35115,-0.11279,0.03418,0.99048,MPU1
-0.19847,-0.61069,-0.87023,-0.02832,-0.21729,0.9751,MPU2
4.33588,-1.89313,0.45802,-0.12329,0.0376,1.00439,MPU1
-1.0687,-1.46565,-2.36641,-0.02271,-0.22168,0.95801,MPU2
2.15267,-3.92366,-0.0916,-0.13867,0.04761,1.01978,MPU1
0.39695,-6.9313,-1.58779,-0.05542,-0.23438,0.99683,MPU2
3.77099,-12.94656,-1.80153,-0.12939,0.02979,1.11328,MPU1
6.9771,-19.49618,-5.96947,-0.00317,-0.25244,1.10596,MPU2
4.48855,-36.74809,-10.15267,-0.04565,-0.02173,1.26929,MPU1
19.43511,-45.89313,-27.43511,0.18091,-0.29834,1.26611,MPU2
25.32825,-32.33588,-9.1145,0.00684,-0.03931,1.17236,MPU1
28.80916,154.0916,-3.96947,0.0769,-0.1499,0.66846,MPU2
-48.16794,18.29008,14.77863,-0.07983,0.41577,-1.08936,MPU1
-298.15268,-163.45038,-25.98473,-0.22559,0.61401,-3.01074,MPU2
-500.27481,-119.12977,49.00763,-0.51123,-0.5957,-2.4082,MPU1
-500.27481,-159.41985,-29.78626,0.21875,-1.63184,-0.82959,MPU2
-460.45801,93.14503,41.09924,-0.60327,-1.84375,0.17456,MPU1
-430.9313,-78.62595,61.32824,-0.0083,-2.32178,0.07886,MPU2
-342.71756,15.83206,91.37405,-0.59912,-2.10596,0.85474,MPU1
-307.66412,-71.23664,68.48855,0.4624,-2.2583,0.32715,MPU2
-237.78625,83.75572,44.53435,-0.10083,-2.15356,0.99292,MPU1
-193.58778,30.64122,31.41985,0.53418,-2.23535,0.93359,MPU2
-97.43511,84.33588,2.91603,-0.20483,-1.67798,1.58228,MPU1
-11.55725,30.59542,13.74046,0.28687,-1.67456,0.62964,MPU2
27.69466,-16.32061,-2.87023,-0.16406,-1.34302,0.60938,MPU1
21.67939,23.66412,-12.24428,0.16431,-1.26294,-0.09375,MPU2
12.27481,10.07634,-12.0,-0.37793,-1.0376,0.05811,MPU1
3.25191,-4.65649,2.35115,-0.125,-1.1582,-0.2749,MPU2
11.43511,-17.29771,4.48855,-0.36304,-1.01294,0.1438,MPU1
9.77099,-17.23664,4.73282,0.02002,-1.05664,-0.31714,MPU2
