gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
3.46565,-2.01527,1.22137,-0.13623,0.18311,0.99194,MPU1
-2.1374,-1.40458,0.45802,-0.19312,-0.21826,0.91797,MPU2
1.64885,-1.37405,1.67939,-0.12158,0.18701,0.99463,MPU1
0.48855,-1.51145,-0.39695,-0.17993,-0.22632,0.94434,MPU2
4.68702,3.57252,-1.03817,-0.10645,0.17822,0.98828,MPU1
-2.22901,0.71756,-0.03053,-0.198,-0.21484,0.92358,MPU2
3.93893,-2.73282,-0.01527,-0.12524,0.18799,1.01514,MPU1
0.58015,-2.30534,0.06107,-0.20166,-0.22827,0.95532,MPU2
5.46565,2.50382,-0.94656,-0.10693,0.18848,0.98682,MPU1
1.38931,-0.76336,-1.9084,-0.1958,-0.20703,0.90137,MPU2
2.80916,-0.33588,-0.18321,-0.14404,0.19067,0.95361,MPU1
-2.85496,1.74046,-0.65649,-0.19482,-0.21118,0.90918,MPU2
3.26718,1.35878,-0.79389,-0.13794,0.19092,0.98291,MPU1
0.25954,-3.23664,-0.19847,-0.21655,-0.22656,0.91284,MPU2
3.89313,-0.82443,-0.01527,-0.12866,0.19653,0.97632,MPU1
-2.32061,0.38168,-0.15267,-0.19897,-0.21045,0.91553,MPU2
0.65649,-0.82443,0.29008,-0.13525,0.19873,0.96704,MPU1
-3.00763,0.61069,-1.1145,-0.19189,-0.20459,0.92993,MPU2
1.25191,-0.58015,0.29008,-0.13379,0.19019,0.97949,MPU1
-2.99237,-1.08397,-0.1374,-0.20166,-0.22021,0.92822,MPU2
0.80916,-1.89313,2.39695,-0.14062,0.19775,1.0,MPU1
1.26718,-0.59542,0.73282,-0.19067,-0.23242,0.9646,MPU2
1.93893,-1.1145,1.93893,-0.14038,0.2002,0.9707,MPU1
-0.42748,0.21374,0.06107,-0.18774,-0.21094,0.9458,MPU2
2.44275,-3.66412,1.00763,-0.13428,0.2019,0.9812,MPU1
-2.0458,1.17557,0.47328,-0.18066,-0.21021,0.92993,MPU2
2.1374,2.16794,0.30534,-0.125,0.19849,0.96118,MPU1
0.03053,-4.0458,-1.23664,-0.2019,-0.22192,0.93018,MPU2
3.58779,-1.0229,1.05344,-0.12915,0.19751,0.96753,MPU1
-3.96947,0.44275,-0.29008,-0.19653,-0.20728,0.89722,MPU2
1.23664,0.22901,0.48855,-0.12573,0.19336,0.96411,MPU1
-1.0687,-0.77863,0.12214,-0.198,-0.22266,0.93164,MPU2
1.55725,-1.12977,0.87023,-0.13184,0.18921,0.97266,MPU1
-3.89313,0.48855,0.44275,-0.18872,-0.20508,0.90674,MPU2
-1.52672,-1.08397,-0.0916,-0.11353,0.19702,0.94751,MPU1
-2.68702,-3.41985,-1.03817,-0.19629,-0.21753,0.93506,MPU2
0.61069,3.22137,-0.0458,-0.125,0.20776,0.98169,MPU1
-4.64122,1.37405,-0.45802,-0.19238,-0.21729,0.91846,MPU2
0.67176,-1.26718,-0.24427,-0.12769,0.18823,1.01416,MPU1
