gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
1.61832,-0.61069,1.64885,-0.12939,0.18701,0.98828,MPU1
1.25191,-4.0,0.10687,-0.11938,-0.26294,0.95605,MPU2
3.64885,-0.44275,0.99237,-0.11572,0.18701,0.99487,MPU1
-1.1145,0.39695,-0.18321,-0.10962,-0.25586,0.93604,MPU2
3.41985,-3.22137,0.36641,-0.13525,0.1814,0.99658,MPU1
-3.22137,-1.08397,-0.50382,-0.12598,-0.25562,0.92163,MPU2
1.80153,-0.18321,-0.22901,-0.11133,0.18213,0.97046,MPU1
-1.23664,0.77863,-0.33588,-0.13184,-0.26123,0.93921,MPU2
1.63359,-2.74809,-0.62595,-0.12598,0.1853,0.9834,MPU1
-0.94656,-0.15267,-1.16031,-0.10645,-0.26025,0.94336,MPU2
2.24427,-1.92366,-0.80916,-0.11938,0.18408,0.96729,MPU1
-4.47328,-0.22901,-2.0,-0.11963,-0.25684,0.91528,MPU2
3.64885,1.54198,-2.01527,-0.12622,0.18286,1.00684,MPU1
-0.12214,0.41221,-1.17557,-0.14258,-0.26074,0.9248,MPU2
2.62595,-1.25191,-0.99237,-0.12305,0.18774,0.97827,MPU1
-3.00763,-3.29771,-0.83969,-0.14331,-0.24854,0.91113,MPU2
1.43511,1.31298,0.76336,-0.13428,0.19092,0.97217,MPU1
0.70229,2.83969,0.61069,-0.1228,-0.26416,0.95654,MPU2
0.54962,-3.81679,2.41221,-0.13599,0.19971,0.97144,MPU1
-2.67176,-2.25954,0.47328,-0.11914,-0.25317,0.93433,MPU2
1.57252,1.32824,-0.03053,-0.10693,0.18823,0.98901,MPU1
1.98473,-0.0916,0.99237,-0.13989,-0.26538,0.95557,MPU2
1.66412,-2.33588,0.90076,-0.12256,0.18726,0.9624,MPU1
-2.80916,2.01527,0.22901,-0.10522,-0.25024,0.92407,MPU2
-0.0458,0.9771,0.99237,-0.13257,0.19385,0.96338,MPU1
-3.0687,-2.91603,-1.37405,-0.12207,-0.25977,0.91992,MPU2
1.69466,0.76336,0.64122,-0.13477,0.19458,0.99707,MPU1
-2.58015,0.80916,-0.0458,-0.12451,-0.26001,0.93384,MPU2
0.29008,-1.16031,1.87786,-0.13989,0.19238,0.9729,MPU1
-1.25191,1.41985,-0.33588,-0.1084,-0.27686,0.96313,MPU2
2.10687,-1.17557,0.10687,-0.13403,0.18823,1.01001,MPU1
-1.16031,0.94656,-0.35115,-0.12378,-0.26001,0.94995,MPU2
2.10687,-0.48855,-1.57252,-0.12256,0.18018,0.99048,MPU1
-0.44275,0.41221,-0.9313,-0.13086,-0.2666,0.94824,MPU2
2.36641,-0.80916,0.1374,-0.13794,0.18481,0.98901,MPU1
-1.74046,-0.71756,-0.07634,-0.13354,-0.25562,0.92383,MPU2
2.80916,-2.39695,-1.40458,-0.12256,0.18604,0.98853,MPU1
-5.25191,1.20611,-2.06107,-0.11597,-0.25537,0.93701,MPU2
3.22137,0.06107,0.8855,-0.14697,0.19336,0.98877,MPU1
0.25954,0.25954,-0.58015,-0.12817,-0.26758,0.93384,MPU2
1.77099,-2.62595,-2.21374,-0.11523,0.18286,0.96655,MPU1
-2.53435,-0.16794,-1.41985,-0.12329,-0.24927,0.91284,MPU2
-0.51908,0.67176,1.03817,-0.1521,0.19189,0.97534,MPU1
-0.80916,-2.9771,-0.73282,-0.14404,-0.27148,0.95361,MPU2
0.77863,-1.29771,1.0229,-0.12769,0.18848,0.97681,MPU1
-4.58015,0.9771,-0.12214,-0.11841,-0.26782,0.93726,MPU2
-1.29771,-0.29008,0.9771,-0.13452,0.2002,0.9541,MPU1
-3.38931,-1.87786,-1.93893,-0.12158,-0.26611,0.93774,MPU2
-1.55725,-1.9084,0.51908,-0.14233,0.1875,0.97974,MPU1
-3.61832,-0.91603,-0.91603,-0.12451,-0.27734,0.9436,MPU2
3.61832,-2.06107,0.73282,-0.13013,0.18799,1.00977,MPU1
-0.32061,-1.43511,1.08397,-0.14478,-0.26855,0.93359,MPU2
3.52672,0.36641,-0.9771,-0.10571,0.17627,0.99731,MPU1
-1.48092,-1.29771,-1.22137,-0.12695,-0.27051,0.92578,MPU2
2.44275,-0.94656,0.48855,-0.11914,0.18555,0.97314,MPU1
-5.66412,1.16031,-1.0229,-0.11475,-0.2583,0.91138,MPU2
1.16031,0.70229,-2.70229,-0.11426,0.19336,0.99609,MPU1
-2.32061,-2.82443,1.25191,-0.14185,-0.28784,0.94482,MPU2
2.9771,1.05344,2.24427,-0.13159,0.18555,0.99341,MPU1
-3.34351,-2.91603,0.58015,-0.13696,-0.27222,0.91577,MPU2
2.58015,-2.58015,-0.0916,-0.12036,0.18457,1.00464,MPU1
-5.05344,0.0,0.77863,-0.13281,-0.27441,0.93945,MPU2
4.9313,2.22901,0.79389,-0.10303,0.17993,0.9978,MPU1
-5.00763,-1.98473,-1.92366,-0.16211,-0.26953,0.8938,MPU2
5.40458,5.92366,-8.76336,-0.08276,0.18457,0.9624,MPU1
-500.27481,210.90076,-81.49619,-0.34717,0.33154,-0.2019,MPU2
-68.74809,49.87786,-49.63359,0.34497,0.08057,0.58862,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-67.64886,42.70229,-37.29771,-0.43286,0.16772,1.38159,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-24.76336,-13.08397,8.62595,-0.14526,-0.06201,1.26099,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
0.32061,7.25191,-14.82443,-0.1394,0.01758,1.00586,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-2.82443,-1.9542,5.55725,-0.21118,0.02368,1.0144,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
8.06107,-5.03817,4.53435,-0.13354,-0.02563,0.99072,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-11.93893,-0.27481,-1.58779,-0.01782,-0.08472,0.94409,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
17.54198,21.69466,1.37405,0.2334,-0.16748,1.15137,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
63.40458,42.0,-118.51908,0.87085,-0.22852,1.35034,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
119.0229,74.24428,-282.35114,1.48901,-0.66479,1.48071,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
184.29007,25.63359,-489.02289,0.99609,-1.34058,1.49268,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
137.08397,-10.54962,-464.73282,-0.6084,-1.6958,0.8125,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
67.08397,-7.55725,-327.17557,-1.73364,-1.40527,0.39966,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
2.65649,32.83969,-92.91603,-1.72803,-0.76758,0.52905,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
17.1145,-32.38168,-6.61069,-0.67529,-0.32861,0.68457,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
2.61069,-24.91603,1.70992,-0.46509,-0.11011,0.71655,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-6.44275,6.45802,-36.06107,-0.46924,-0.04688,0.83887,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
0.16794,-4.70229,17.23664,-0.65649,-0.03247,0.97412,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
2.29008,-5.49618,33.72519,-0.39551,-0.04565,1.0144,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
5.0687,-12.73282,25.20611,-0.31445,-0.06519,1.00269,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
10.39695,5.32824,-7.72519,-0.2627,-0.00537,1.01855,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-8.85496,-23.72519,39.05344,-0.479,0.00854,0.81641,MPU1
