gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-0.06107,1.35878,-1.20611,-0.18091,-0.0835,0.97437,MPU1
-2.53435,0.24427,-2.29008,0.00977,-0.14087,0.97803,MPU2
0.99237,0.91603,-0.45802,-0.20557,-0.07959,0.95972,MPU1
-6.12214,1.89313,-0.91603,-0.0022,-0.13208,0.94971,MPU2
0.07634,0.9313,1.35878,-0.21338,-0.08228,1.00317,MPU1
-0.82443,-0.07634,0.45802,0.021,-0.13208,0.99683,MPU2
1.09924,-0.83969,-2.27481,-0.15405,-0.08447,0.99365,MPU1
-0.54962,1.03817,-0.18321,0.00244,-0.15088,0.99194,MPU2
5.05344,4.06107,2.50382,-0.18408,-0.0752,0.97607,MPU1
-1.63359,-1.81679,-2.85496,0.03613,-0.09644,0.90894,MPU2
1.05344,-4.80916,-2.15267,-0.20044,-0.0791,0.98608,MPU1
-1.55725,0.19847,-0.58015,-0.01172,-0.15942,0.97949,MPU2
0.64122,-2.53435,1.52672,-0.22412,-0.09375,0.99512,MPU1
-0.19847,-1.08397,3.32824,-0.00659,-0.16187,0.9873,MPU2
2.36641,0.68702,1.41985,-0.17627,-0.09204,0.9751,MPU1
-0.44275,-1.26718,-0.10687,0.01489,-0.1416,0.95947,MPU2
3.1145,1.23664,0.96183,-0.18677,-0.09277,0.98413,MPU1
-0.10687,-0.76336,1.43511,0.00879,-0.14893,0.9624,MPU2
3.09924,0.73282,2.47328,-0.17236,-0.07935,0.98438,MPU1
-1.22137,1.09924,-0.12214,0.02905,-0.11133,0.93872,MPU2
-0.15267,-2.82443,-3.52672,-0.17285,-0.06567,0.97852,MPU1
-2.39695,-3.0229,-0.15267,-0.03442,-0.15503,0.97998,MPU2
3.52672,2.1374,5.14504,-0.23047,-0.08472,1.00757,MPU1
-1.32824,0.0458,2.79389,0.00146,-0.12451,0.94067,MPU2
-0.01527,-0.24427,1.26718,-0.16699,-0.07959,0.97998,MPU1
-2.32061,-1.37405,1.19084,0.00708,-0.14062,0.98218,MPU2
2.64122,-1.52672,3.58779,-0.21118,-0.10181,1.02026,MPU1
-0.18321,2.29008,2.9771,0.02344,-0.15137,0.97681,MPU2
0.91603,2.51908,0.51908,-0.14966,-0.09033,0.96143,MPU1
-4.83969,-4.68702,-2.35115,0.00366,-0.11499,0.91895,MPU2
-1.57252,-1.23664,-0.25954,-0.20752,-0.09082,0.99756,MPU1
-1.0229,0.79389,1.98473,0.00317,-0.16895,1.0293,MPU2
5.38931,-0.91603,2.03053,-0.18677,-0.09595,1.03223,MPU1
1.96947,-0.42748,-0.32061,0.03003,-0.11719,0.96387,MPU2
4.77863,0.19847,-0.33588,-0.16016,-0.05981,0.9812,MPU1
0.27481,-1.66412,-2.25954,0.00171,-0.1189,0.94263,MPU2
4.30534,-2.36641,1.46565,-0.22266,-0.07666,0.99194,MPU1
1.81679,0.24427,3.64885,-0.02344,-0.14648,0.9751,MPU2
2.0458,2.62595,2.71756,-0.17285,-0.08325,0.9541,MPU1
-2.51908,0.47328,0.42748,0.03247,-0.12158,0.9436,MPU2
0.01527,0.01527,-1.03817,-0.17383,-0.08521,0.97534,MPU1
-2.68702,-0.73282,2.12214,-0.02075,-0.14868,0.97485,MPU2
2.77863,2.24427,2.21374,-0.18433,-0.09399,1.00635,MPU1
0.96183,-0.0916,-0.21374,0.03027,-0.13037,0.97656,MPU2
2.8855,-0.39695,-0.51908,-0.17407,-0.08032,0.98901,MPU1
-0.27481,1.26718,-0.18321,-0.00464,-0.12866,0.97217,MPU2
2.0916,0.59542,1.9084,-0.19678,-0.08252,0.97144,MPU1
-2.59542,1.83206,-0.73282,0.01538,-0.11548,0.95557,MPU2
1.17557,-0.67176,-0.27481,-0.21167,-0.07617,1.00098,MPU1
-0.35115,2.16794,1.43511,-0.01465,-0.12891,0.99316,MPU2
2.80916,2.0916,1.57252,-0.18945,-0.07056,0.99121,MPU1
1.0229,0.19847,0.99237,-0.0083,-0.12988,0.97827,MPU2
2.76336,0.53435,1.26718,-0.19507,-0.07007,0.99487,MPU1
1.0687,-0.25954,2.32061,-0.01953,-0.12891,0.98364,MPU2
5.1145,-2.62595,3.19084,-0.20557,-0.0813,1.00122,MPU1
2.35115,-2.82443,2.45802,-0.02002,-0.12842,0.95679,MPU2
3.19084,-5.17557,3.17557,-0.20898,-0.07861,0.97852,MPU1
3.69466,-3.0687,3.55725,-0.01831,-0.15259,0.97925,MPU2
2.65649,-3.1145,5.31298,-0.2085,-0.07666,0.96094,MPU1
1.28244,-3.35878,3.14504,0.02222,-0.12378,0.96094,MPU2
1.9084,-3.93893,0.59542,-0.1499,-0.0769,0.97729,MPU1
-0.07634,-2.85496,0.48855,0.01807,-0.11865,0.97144,MPU2
2.9771,-1.22137,1.8626,-0.17236,-0.05078,0.979,MPU1
-1.87786,-3.1145,0.91603,0.00464,-0.08569,0.93018,MPU2
-0.33588,-3.14504,1.49618,-0.17065,-0.04443,0.95337,MPU1
-4.12214,-5.08397,0.51908,0.00684,-0.10864,0.94458,MPU2
0.96183,-3.66412,3.08397,-0.21997,-0.07397,1.01538,MPU1
0.94656,-0.54962,6.58015,-0.02588,-0.15283,1.00366,MPU2
2.48855,0.8855,7.31298,-0.18677,-0.08569,0.97852,MPU1
0.06107,-2.65649,4.0916,0.0481,-0.12622,0.95947,MPU2
5.09924,-1.52672,3.19084,-0.1499,-0.09082,1.02979,MPU1
5.26718,0.1374,0.8855,0.05029,-0.1272,1.00391,MPU2
8.21374,-1.67939,1.55725,-0.16382,-0.08716,1.00317,MPU1
4.06107,-0.77863,-1.45038,0.03345,-0.10181,0.96631,MPU2
5.26718,-2.54962,-0.06107,-0.1748,-0.05371,0.98096,MPU1
4.1374,-1.46565,-2.01527,0.02783,-0.10669,0.98657,MPU2
7.28244,-3.9084,-1.22137,-0.1748,-0.05835,0.99316,MPU1
2.35115,-1.20611,-0.47328,-0.01709,-0.09692,0.93799,MPU2
1.25191,-0.15267,-0.64122,-0.1792,-0.04297,0.9353,MPU1
-2.29008,-0.41221,0.30534,0.01392,-0.1001,0.95288,MPU2
0.99237,0.32061,0.42748,-0.15088,-0.02856,0.96191,MPU1
-6.9313,-1.9084,-3.14504,0.03394,-0.05005,0.89722,MPU2
-5.57252,-1.09924,-5.09924,-0.15918,-0.04102,0.96777,MPU1
-7.67939,-1.54198,-1.05344,-0.01831,-0.11108,0.97827,MPU2
