gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-1.22137,-0.64122,-0.19847,-0.13892,-0.23364,0.93555,MPU1
-6.45802,-1.74046,-0.0458,0.00171,-0.38477,0.89062,MPU2
-3.00763,-0.87023,0.47328,-0.13672,-0.24316,0.94434,MPU1
-3.66412,0.18321,-0.27481,-0.00928,-0.4043,0.92041,MPU2
0.36641,0.62595,-0.32061,-0.1499,-0.23438,0.96289,MPU1
-3.93893,-0.87023,-1.0687,-0.01245,-0.39966,0.90405,MPU2
-1.67939,1.23664,0.80916,-0.15991,-0.23828,0.93481,MPU1
-4.9771,1.9542,0.51908,-0.00537,-0.39893,0.91919,MPU2
0.94656,0.06107,-1.43511,-0.14819,-0.27344,0.99609,MPU1
1.67939,-1.52672,-0.12214,-0.0354,-0.43091,0.94482,MPU2
1.87786,1.9084,2.0,-0.15137,-0.26367,0.93799,MPU1
-1.32824,2.44275,2.8855,-0.02905,-0.41919,0.91431,MPU2
2.25954,-0.83969,0.64122,-0.14062,-0.25977,0.97363,MPU1
1.52672,-4.38168,-2.56489,-0.00195,-0.39697,0.90356,MPU2
8.39695,-4.76336,-5.46565,-0.11353,-0.2522,0.98975,MPU1
6.25954,-6.76336,-5.14504,-0.02832,-0.39233,0.91821,MPU2
4.12214,-4.70229,-4.58015,-0.13623,-0.23291,0.93506,MPU1
0.87023,-4.0916,-4.42748,0.01245,-0.37256,0.89087,MPU2
1.20611,0.33588,-2.9313,-0.13599,-0.21899,0.90723,MPU1
-2.18321,-0.61069,-0.19847,-0.00122,-0.3584,0.87134,MPU2
-2.36641,-1.46565,-0.01527,-0.16211,-0.21973,0.91382,MPU1
-4.1374,-2.76336,0.01527,-0.01465,-0.39062,0.91382,MPU2
0.0458,-0.61069,1.58779,-0.14917,-0.25269,0.96484,MPU1
-2.58015,-1.38931,2.8855,-0.01562,-0.41089,0.92456,MPU2
1.46565,-1.64885,3.92366,-0.13989,-0.25708,0.98022,MPU1
-1.9084,-4.07634,2.44275,0.01318,-0.37207,0.89502,MPU2
1.12977,-3.41985,0.96183,-0.1062,-0.22949,0.95605,MPU1
-4.0,-4.33588,-1.28244,0.02515,-0.36182,0.88867,MPU2
-0.82443,-1.12977,-1.1145,-0.12378,-0.22241,0.93066,MPU1
-5.20611,-0.06107,-0.0458,0.01489,-0.38501,0.8938,MPU2
-1.43511,0.65649,-0.06107,-0.14746,-0.24976,0.93896,MPU1
-2.90076,-1.96947,0.27481,-0.01025,-0.40161,0.90332,MPU2
-1.20611,0.54962,0.18321,-0.14233,-0.25415,0.93799,MPU1
-6.0458,3.26718,3.16031,-0.0188,-0.41357,0.9082,MPU2
-2.87023,5.93893,4.10687,-0.16162,-0.26318,0.97144,MPU1
-1.80153,2.61069,2.53435,0.01074,-0.4082,0.93433,MPU2
2.07634,1.75573,2.82443,-0.14819,-0.26855,0.98535,MPU1
-0.19847,0.56489,3.9542,0.00342,-0.41724,0.93262,MPU2
2.68702,1.0687,3.63359,-0.12915,-0.26367,0.95215,MPU1
-0.82443,-2.50382,0.85496,0.0166,-0.38306,0.89404,MPU2
1.98473,-1.37405,1.48092,-0.13208,-0.2417,0.94653,MPU1
0.06107,-0.22901,1.84733,0.0,-0.38477,0.90259,MPU2
0.47328,0.19847,0.61069,-0.11426,-0.23804,0.94238,MPU1
-3.0687,-0.33588,-0.83969,0.01929,-0.37622,0.90186,MPU2
1.93893,-0.10687,-0.58015,-0.13867,-0.24268,0.95679,MPU1
-3.32824,-0.71756,0.21374,-0.0083,-0.396,0.89014,MPU2
-1.80153,0.99237,0.41221,-0.14746,-0.25415,0.92554,MPU1
-3.45038,-0.67176,0.42748,0.01025,-0.40015,0.91406,MPU2
2.0458,1.28244,0.16794,-0.14136,-0.25537,0.96143,MPU1
-2.45802,-0.15267,-1.40458,0.02637,-0.3855,0.89136,MPU2
-0.03053,1.41985,-1.77099,-0.13208,-0.25195,0.93018,MPU1
-6.87023,1.28244,0.38168,-0.01465,-0.39795,0.88574,MPU2
0.35115,-0.22901,-1.16031,-0.146,-0.27759,0.99146,MPU1
1.67939,-5.54198,-2.35115,-0.02173,-0.43091,0.93579,MPU2
3.37405,-1.52672,0.0458,-0.15479,-0.25122,0.93091,MPU1
-4.0,0.76336,1.92366,0.00098,-0.39282,0.90186,MPU2
0.58015,0.1374,1.54198,-0.14868,-0.24146,0.9834,MPU1
2.10687,-4.54962,-1.03817,0.00122,-0.39502,0.94287,MPU2
7.28244,-1.9084,0.27481,-0.15137,-0.26465,0.96021,MPU1
2.01527,2.22901,2.65649,-0.03296,-0.42334,0.92065,MPU2
2.90076,4.0,3.8626,-0.16968,-0.27539,0.93994,MPU1
2.65649,-1.14504,2.64122,-0.02148,-0.41382,0.89648,MPU2
7.38931,0.32061,4.27481,-0.15698,-0.26489,0.94751,MPU1
2.0458,0.50382,4.80916,-0.00098,-0.39502,0.88037,MPU2
1.09924,1.34351,5.35878,-0.11987,-0.24219,0.91626,MPU1
-2.67176,0.24427,1.96947,0.04761,-0.36304,0.88037,MPU2
3.19084,-1.23664,0.96183,-0.12769,-0.23901,0.97705,MPU1
0.58015,-2.87023,-0.48855,0.02075,-0.37451,0.92139,MPU2
2.9313,0.59542,0.39695,-0.13208,-0.23462,0.92407,MPU1
-1.35878,1.81679,-0.15267,0.00903,-0.3728,0.90308,MPU2
3.96947,-0.83969,-2.94656,-0.13037,-0.23071,0.96484,MPU1
1.96947,-2.42748,0.06107,-0.02808,-0.38745,0.91479,MPU2
6.53435,-0.9313,7.16031,-0.19946,-0.22974,0.95312,MPU1
-2.25954,-0.54962,1.12977,-0.00977,-0.36548,0.85815,MPU2
-0.53435,-0.32061,0.58015,-0.1521,-0.23169,0.93457,MPU1
-1.78626,-0.65649,-0.21374,0.00269,-0.38843,0.9292,MPU2
0.01527,-2.30534,1.1145,-0.14893,-0.23486,0.95459,MPU1
-5.46565,-1.45038,0.30534,0.01172,-0.38159,0.89966,MPU2
0.16794,0.29008,0.0916,-0.12891,-0.23242,0.95703,MPU1
-4.47328,-0.42748,-1.45038,0.02441,-0.36816,0.89722,MPU2
-0.51908,-1.52672,-2.83969,-0.1272,-0.22632,0.94922,MPU1
-4.61069,-1.9084,-2.16794,-0.00781,-0.38257,0.90674,MPU2
-0.94656,1.48092,-0.85496,-0.16699,-0.25171,0.94507,MPU1
-2.21374,1.78626,-0.48855,-0.00952,-0.41064,0.93042,MPU2
1.87786,1.52672,2.07634,-0.18311,-0.27051,0.94824,MPU1
-2.0,-1.52672,1.74046,-0.04663,-0.43091,0.91772,MPU2
6.47328,-8.0458,9.67939,-0.24487,-0.2915,1.01538,MPU1
3.66412,-4.85496,4.85496,-0.02539,-0.42603,0.94922,MPU2
2.62595,1.03817,8.68702,-0.1582,-0.24341,0.9353,MPU1
1.41985,4.36641,-3.78626,-0.09277,-0.52539,0.93848,MPU2
27.20611,-22.77863,59.08397,-0.78223,-0.49414,1.20312,MPU1
33.20611,-0.32061,45.28244,-0.5874,-0.85767,1.08716,MPU2
52.42748,11.93893,160.229,-2.07227,-1.19287,1.41626,MPU1
59.22137,-278.50381,500.25955,-3.99731,-2.52661,1.36572,MPU2
58.13741,-251.61832,500.25955,-0.45215,-1.64087,0.36279,MPU1
97.25191,-48.25954,355.41986,1.80908,-0.84253,-0.67773,MPU2
-44.35115,-64.58015,327.34351,0.16553,-0.8728,0.21631,MPU1
7.96947,-188.29007,241.57253,1.25635,-0.75952,0.48633,MPU2
35.0687,-54.47328,187.87787,2.0752,-0.90308,0.62622,MPU1
35.1145,-20.9313,150.62596,1.64209,-0.57031,0.64355,MPU2
-2.8855,40.68702,61.51145,1.5415,-0.34888,0.44141,MPU1
-20.65649,17.08397,5.14504,1.54053,-0.08618,0.48901,MPU2
-17.1145,31.38931,-68.12214,0.99927,-0.23218,0.95776,MPU1
-9.69466,31.37405,-12.50382,0.34058,-0.33594,1.04517,MPU2
2.1374,51.19084,-31.16031,-0.19873,-0.04272,1.05713,MPU1
-17.58779,22.50382,-19.78626,0.12012,-0.20532,0.88428,MPU2
-10.29008,8.21374,-24.39695,-0.24023,-0.09277,1.09399,MPU1
-0.58015,1.37405,-4.30534,0.00024,-0.36841,1.0769,MPU2
6.73282,-1.03817,18.56489,-0.14502,-0.09351,0.98901,MPU1
1.57252,1.8626,7.41985,0.14526,-0.29248,0.88501,MPU2
5.45038,-0.30534,-2.35115,0.0979,-0.10498,1.02905,MPU1
-5.93893,-0.79389,-17.1145,0.22803,-0.25537,0.85327,MPU2
-3.96947,-5.61832,-13.37405,0.00049,-0.08472,0.91528,MPU1
7.40458,6.19847,-6.85496,0.0127,-0.31128,0.99854,MPU2
-8.06107,3.49618,4.44275,-0.08765,-0.06323,1.00488,MPU1
-1.43511,0.50382,-3.34351,0.20483,-0.2688,0.96313,MPU2
6.21374,-1.52672,-6.56489,-0.00586,-0.10693,1.03271,MPU1
-3.54198,4.58015,-10.19847,0.14331,-0.26636,0.9519,MPU2
1.32824,2.29008,2.61069,-0.01294,-0.07227,0.97852,MPU1
11.1145,10.24428,-5.96947,0.14746,-0.27466,0.96411,MPU2
4.54962,4.99237,-5.92366,0.04492,-0.08545,0.97461,MPU1
-8.82443,3.84733,-4.85496,0.10327,-0.2373,0.8772,MPU2
-0.68702,-0.39695,1.23664,-0.06543,-0.06079,1.03174,MPU1
0.29008,1.98473,-2.94656,0.125,-0.27075,0.98755,MPU2
3.22137,3.70992,-4.96183,-0.0376,-0.09424,0.99487,MPU1
-2.12214,3.0229,-6.1374,0.10132,-0.26562,0.94629,MPU2
1.29771,1.28244,-3.23664,-0.04053,-0.0918,1.00757,MPU1
0.47328,-1.49618,-3.08397,0.08765,-0.27295,0.94409,MPU2
1.23664,5.45038,-2.82443,-0.0332,-0.09766,0.97559,MPU1
-0.74809,1.60305,4.19847,0.10034,-0.27686,0.94849,MPU2
0.41221,0.42748,2.76336,-0.02686,-0.08813,1.00049,MPU1
-7.51145,-1.75573,-2.68702,0.15869,-0.24487,0.90625,MPU2
-2.35115,4.0,-2.33588,-0.04004,-0.07715,0.96191,MPU1
-10.70229,1.29771,-1.38931,0.10938,-0.27563,0.9436,MPU2
2.53435,-1.16031,-2.61069,-0.03882,-0.10205,1.03687,MPU1
2.18321,0.76336,-1.12977,0.1106,-0.28882,0.97168,MPU2
-1.26718,0.70229,-0.44275,-0.04883,-0.08862,0.96729,MPU1
-3.92366,-0.30534,2.33588,0.10254,-0.28345,0.95044,MPU2
1.35878,2.25954,1.35878,0.0061,-0.10498,0.97949,MPU1
-4.53435,1.35878,-3.1145,0.1814,-0.25415,0.89307,MPU2
-2.07634,0.61069,-2.91603,-0.02441,-0.08521,0.96875,MPU1
-9.72519,5.09924,-6.53435,0.11157,-0.28052,0.94019,MPU2
1.37405,1.83206,-0.39695,-0.0835,-0.0957,1.00488,MPU1
-0.24427,0.73282,-0.83969,0.08228,-0.29517,0.96826,MPU2
3.43511,1.83206,3.75573,-0.1167,-0.09473,1.00977,MPU1
6.83969,-0.1374,3.80153,0.09595,-0.29297,0.97876,MPU2
5.72519,-0.21374,-1.9542,-0.00708,-0.10571,1.00952,MPU1
-2.0458,-4.35115,-2.44275,0.10474,-0.27637,0.93506,MPU2
2.27481,-0.68702,4.62595,-0.10107,-0.0896,0.9939,MPU1
0.22901,-4.30534,1.84733,0.11035,-0.29907,0.97388,MPU2
7.23664,-2.53435,10.15267,-0.02051,-0.11035,1.02686,MPU1
5.12977,-2.9313,3.9084,0.15259,-0.26147,0.94043,MPU2
0.82443,-2.36641,4.90076,0.02051,-0.07251,0.95361,MPU1
-3.77099,-2.38168,-4.22901,0.16235,-0.23291,0.86768,MPU2
-2.83969,1.57252,-4.47328,-0.05835,-0.08203,0.96973,MPU1
-0.96183,-1.08397,2.8855,0.09912,-0.28394,0.99634,MPU2
1.61832,3.74046,2.25954,-0.01221,-0.0791,0.97461,MPU1
-4.36641,1.12977,0.30534,0.14941,-0.24561,0.88013,MPU2
-0.79389,2.80916,-1.64885,-0.03345,-0.07666,0.97021,MPU1
-5.31298,0.71756,1.46565,0.12646,-0.27344,0.95239,MPU2
2.21374,2.29008,-4.0,-0.05884,-0.1145,1.03955,MPU1
0.71756,0.83969,-1.00763,0.10693,-0.32227,0.97705,MPU2
3.66412,-0.91603,3.31298,-0.08643,-0.11328,0.99316,MPU1
0.94656,-1.16031,-0.83969,0.13428,-0.27295,0.9126,MPU2
-0.27481,-0.22901,-4.0916,0.02441,-0.08594,0.93994,MPU1
-3.40458,3.20611,-4.27481,0.14355,-0.25537,0.92578,MPU2
0.76336,8.74809,-2.07634,-0.07202,-0.07788,0.97559,MPU1
-1.58779,5.87786,0.71756,0.10107,-0.26758,0.9646,MPU2
1.14504,2.70229,-1.77099,-0.08398,-0.09009,1.03003,MPU1
-2.50382,0.36641,-0.91603,0.08618,-0.27197,0.9707,MPU2
2.70229,-0.42748,0.61069,-0.10645,-0.08643,1.03223,MPU1
-1.23664,-3.48092,0.61069,0.09082,-0.27222,0.97046,MPU2
1.09924,-4.62595,4.44275,-0.06958,-0.07593,0.99829,MPU1
-2.73282,-4.27481,0.82443,0.0957,-0.26733,0.94165,MPU2
-4.19847,-4.10687,5.9084,-0.05127,-0.08838,0.97363,MPU1
-1.19084,-2.99237,3.05344,0.10986,-0.28979,0.96802,MPU2
0.45802,3.00763,5.75573,-0.00122,-0.09644,0.94873,MPU1
-5.46565,-0.16794,2.44275,0.14038,-0.24634,0.86011,MPU2
-2.56489,3.58779,-0.45802,-0.00879,-0.09595,0.9751,MPU1
-2.35115,2.22901,2.35115,0.10815,-0.29272,0.95483,MPU2
1.77099,2.30534,0.9771,-0.052,-0.12256,0.99902,MPU1
1.1145,1.9084,3.84733,0.12183,-0.29419,0.96973,MPU2
1.93893,3.49618,3.31298,-0.06323,-0.10181,0.95605,MPU1
-1.87786,3.9084,1.34351,0.11401,-0.2644,0.92603,MPU2
0.42748,2.62595,-4.16794,-0.0625,-0.11792,1.01245,MPU1
-5.12977,0.47328,2.0916,0.07568,-0.31787,0.98657,MPU2
1.80153,3.28244,4.80916,-0.08325,-0.12695,1.01099,MPU1
0.54962,5.46565,-0.35115,0.13501,-0.28784,0.91528,MPU2
-3.34351,7.83206,-9.51145,0.00903,-0.12476,0.89966,MPU1
-11.75572,5.96947,-3.52672,0.08887,-0.27881,0.88306,MPU2
-1.8626,9.72519,-5.08397,-0.04883,-0.0918,0.96973,MPU1
-6.62595,6.99237,-2.73282,0.07446,-0.25781,0.94604,MPU2
1.74046,7.09924,-3.48092,-0.13306,-0.09863,1.0708,MPU1
4.62595,0.16794,-2.35115,0.02588,-0.30688,1.02979,MPU2
10.70229,-4.94656,4.07634,-0.19971,-0.10791,1.06396,MPU1
12.06107,-3.31298,6.25954,0.02637,-0.31128,1.00024,MPU2
8.41221,-3.05344,6.71756,-0.09229,-0.10645,0.95483,MPU1
-1.19084,-3.0229,0.19847,0.13281,-0.25757,0.88647,MPU2
2.82443,0.51908,2.80916,-0.06958,-0.1062,0.96802,MPU1
4.8855,-0.39695,-0.58015,0.14111,-0.26953,0.96948,MPU2
1.37405,0.64122,-2.24427,-0.04517,-0.08984,0.96948,MPU1
-6.71756,0.1374,-2.77863,0.10938,-0.23682,0.91064,MPU2
-3.32824,4.10687,-3.49618,-0.07007,-0.08911,0.97046,MPU1
-6.42748,0.41221,2.8855,0.06763,-0.27417,0.95093,MPU2
-1.45038,-0.06107,3.26718,-0.10132,-0.09253,1.00317,MPU1
-2.44275,0.48855,3.55725,0.07642,-0.28467,0.96191,MPU2
3.60305,3.80153,1.75573,-0.08643,-0.10083,0.99341,MPU1
-1.1145,0.39695,2.1374,0.07593,-0.26758,0.91602,MPU2
1.32824,3.58779,-0.32061,-0.10229,-0.10864,0.95972,MPU1
1.67939,1.31298,3.22137,0.05054,-0.30664,0.98096,MPU2
7.70992,-1.48092,1.14504,-0.12012,-0.13306,1.05322,MPU1
-0.0458,-3.61832,0.0,0.06226,-0.29761,0.92041,MPU2
1.46565,-3.9542,-1.0229,-0.06445,-0.11304,0.95483,MPU1
-5.89313,-0.47328,-4.91603,0.13501,-0.25293,0.88013,MPU2
-2.48855,3.32824,-2.32061,-0.07031,-0.08276,0.92798,MPU1
