gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
2.18321,0.99237,1.00763,-0.33862,0.06641,0.94409,MPU1
-0.74809,-0.15267,-0.0916,-0.20996,-0.36133,0.88062,MPU2
0.45802,-3.09924,2.19847,-0.35034,0.06738,0.93188,MPU1
-1.45038,-2.0916,0.54962,-0.21362,-0.34814,0.8772,MPU2
0.07634,-0.53435,-0.15267,-0.32324,0.06543,0.93506,MPU1
-1.08397,0.12214,-0.58015,-0.21533,-0.35791,0.90918,MPU2
1.40458,-2.79389,1.58779,-0.35278,0.06738,0.94604,MPU1
-2.51908,-2.03053,0.42748,-0.21924,-0.34375,0.88721,MPU2
3.63359,-1.16031,0.50382,-0.31445,0.06079,0.97192,MPU1
0.32061,-3.54198,0.03053,-0.23071,-0.35547,0.89111,MPU2
5.28244,-1.66412,1.96947,-0.33252,0.06689,0.94482,MPU1
-1.19084,0.77863,1.19084,-0.20264,-0.35034,0.88916,MPU2
3.98473,1.43511,1.00763,-0.31958,0.0625,0.9668,MPU1
0.77863,-2.33588,0.35115,-0.22778,-0.34204,0.87305,MPU2
0.47328,-2.77863,1.38931,-0.32495,0.0708,0.93042,MPU1
-2.48855,-2.12214,0.61069,-0.20874,-0.3479,0.89331,MPU2
1.78626,-1.57252,0.50382,-0.31934,0.07202,0.95312,MPU1
-2.24427,-3.38931,-0.0458,-0.21826,-0.34326,0.88306,MPU2
1.63359,-1.17557,1.51145,-0.32495,0.06567,0.95801,MPU1
-0.27481,-1.23664,0.82443,-0.21045,-0.35815,0.90161,MPU2
3.17557,-0.62595,1.34351,-0.32007,0.0625,0.95459,MPU1
-1.19084,-2.12214,0.8855,-0.20679,-0.34277,0.86279,MPU2
1.16031,-2.73282,2.54962,-0.29761,0.05249,0.92944,MPU1
-2.21374,-3.03817,0.64122,-0.11206,-0.31372,0.8291,MPU2
-4.1374,11.45038,-8.22901,0.01587,-0.00806,1.01001,MPU1
7.61832,63.31298,-6.10687,0.57446,-0.50049,1.30688,MPU2
45.35878,43.93893,-72.41222,0.92798,-0.23706,1.53516,MPU1
54.90076,82.42748,-112.12214,1.2041,-0.61206,1.48999,MPU2
144.67175,20.70229,-184.229,1.01929,-0.47266,1.93262,MPU1
160.229,126.65649,-223.08397,1.2666,-0.98657,1.44043,MPU2
238.04581,1.48092,-287.75574,0.7063,-0.99292,1.62769,MPU1
233.51144,147.00763,-308.62595,0.74536,-1.47217,1.02393,MPU2
258.8855,-6.58015,-332.64124,-0.25317,-1.33179,1.14453,MPU1
199.93893,121.46565,-310.07632,-0.45703,-1.69604,0.42261,MPU2
198.45801,-27.87786,-306.48856,-1.16089,-1.21143,0.6167,MPU1
138.96184,88.76336,-264.44275,-1.22412,-1.58008,0.21362,MPU2
146.45801,-26.38168,-200.0,-1.83008,-0.70215,0.48901,MPU1
107.54198,45.96947,-141.32825,-1.3999,-0.99023,0.05371,MPU2
84.25954,-38.65649,-102.87023,-1.30933,-0.30835,0.10132,MPU1
40.33588,17.49618,-96.1832,-0.95752,-0.5166,0.0144,MPU2
19.86259,6.70229,-91.41985,-0.98462,-0.1189,0.07666,MPU1
-14.16794,49.84733,-66.87023,-0.89502,-0.35083,0.12402,MPU2
-7.14504,-0.8855,-59.60305,-1.05054,0.02051,0.37036,MPU1
-21.58779,-1.49618,-38.30534,-0.91284,-0.39404,0.40991,MPU2
-29.19084,1.9542,-27.0687,-0.92065,0.11377,0.45654,MPU1
-46.25954,1.89313,-13.69466,-0.81348,-0.33594,0.5332,MPU2
-33.54198,-0.90076,-2.48855,-0.90356,0.11914,0.77588,MPU1
-21.64886,-12.16794,8.76336,-0.73706,-0.3894,0.78223,MPU2
-19.9542,-5.16031,14.22901,-0.729,0.12134,0.7605,MPU1
-18.50382,-11.41985,4.94656,-0.54272,-0.31641,0.73682,MPU2
-17.08397,-14.10687,5.03817,-0.59741,0.11719,0.83228,MPU1
