gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
2.10687,0.56489,0.07634,-0.22852,0.15771,0.95801,MPU1
-1.87786,-0.42748,-1.40458,-0.07397,-0.21436,0.93408,MPU2
2.70229,1.63359,-0.33588,-0.24805,0.14453,0.97729,MPU1
-0.83969,0.0458,1.40458,-0.10107,-0.2207,0.9563,MPU2
2.32061,1.70992,1.05344,-0.23145,0.14478,0.96777,MPU1
-1.83206,-3.46565,0.68702,-0.08984,-0.21338,0.92725,MPU2
1.61832,-2.1374,1.35878,-0.24072,0.146,0.97461,MPU1
-1.43511,-1.0229,-0.25954,-0.06738,-0.20288,0.93823,MPU2
1.8626,-1.87786,-0.07634,-0.23657,0.14136,0.96606,MPU1
-1.60305,-1.08397,-0.12214,-0.08154,-0.21851,0.96069,MPU2
2.96183,-0.16794,0.51908,-0.24097,0.14136,0.97583,MPU1
-1.0687,-1.12977,-0.10687,-0.08447,-0.21558,0.94458,MPU2
0.44275,-0.68702,0.41221,-0.23926,0.1521,0.95972,MPU1
-3.46565,0.39695,0.29008,-0.08472,-0.20801,0.93848,MPU2
1.41985,-1.08397,1.74046,-0.24536,0.15796,0.97852,MPU1
-1.87786,0.07634,1.54198,-0.08203,-0.21436,0.94702,MPU2
1.46565,1.46565,0.91603,-0.22949,0.14551,0.97363,MPU1
-1.9084,0.68702,1.09924,-0.08472,-0.2251,0.95361,MPU2
2.62595,-0.77863,2.24427,-0.24658,0.14453,0.98242,MPU1
-0.73282,0.91603,0.73282,-0.07324,-0.21533,0.9397,MPU2
0.67176,-0.9313,0.82443,-0.22656,0.14722,0.96167,MPU1
-1.43511,-0.94656,0.03053,-0.07397,-0.2312,0.9563,MPU2
3.83206,0.18321,1.25191,-0.24316,0.15063,0.98682,MPU1
-2.0458,-0.39695,0.8855,-0.08643,-0.20898,0.9314,MPU2
3.26718,1.9084,0.10687,-0.23438,0.14185,0.98413,MPU1
0.29008,-0.07634,-0.50382,-0.0791,-0.21753,0.95654,MPU2
2.0916,0.74809,-0.73282,-0.23755,0.14624,0.95703,MPU1
-1.81679,0.83969,-0.32061,-0.08984,-0.21973,0.94287,MPU2
1.81679,-0.96183,0.24427,-0.24536,0.15308,0.97461,MPU1
-1.51145,0.99237,0.65649,-0.09351,-0.21826,0.94849,MPU2
0.35115,0.50382,0.32061,-0.23145,0.14453,0.95581,MPU1
-3.46565,0.07634,-0.76336,-0.0769,-0.21265,0.94189,MPU2
1.61832,-1.41985,0.22901,-0.24634,0.15283,0.97876,MPU1
-0.83969,-1.32824,0.18321,-0.09644,-0.21265,0.9624,MPU2
1.38931,2.70229,-0.27481,-0.2334,0.14771,0.95386,MPU1
-1.17557,-1.46565,-0.90076,-0.08569,-0.21729,0.95557,MPU2
3.08397,-1.29771,0.18321,-0.25146,0.15649,0.97559,MPU1
-0.25954,-0.65649,-0.07634,-0.08521,-0.22266,0.96436,MPU2
3.92366,-1.55725,1.22137,-0.24683,0.14453,0.97778,MPU1
0.03053,-3.46565,-1.19084,-0.07031,-0.2085,0.93823,MPU2
4.1374,-4.74809,-0.59542,-0.22095,0.1499,0.97705,MPU1
2.77863,-3.08397,-5.22137,-0.0415,-0.20337,0.96167,MPU2
4.27481,-5.14504,-4.99237,-0.19971,0.14307,0.97192,MPU1
3.87786,-3.28244,-6.85496,-0.07446,-0.21631,0.96924,MPU2
5.63359,-3.20611,-3.19084,-0.24951,0.15527,0.96826,MPU1
0.22901,-2.35115,-4.36641,-0.08984,-0.20874,0.94141,MPU2
5.58779,-3.19084,-2.10687,-0.24341,0.15796,0.98755,MPU1
0.73282,-2.42748,-2.07634,-0.09741,-0.20898,0.94556,MPU2
2.67176,-0.44275,-0.25954,-0.24365,0.15918,0.95483,MPU1
2.01527,-3.34351,-1.20611,-0.08618,-0.19922,0.95239,MPU2
4.74809,-3.00763,0.96183,-0.23975,0.1604,0.96411,MPU1
-1.28244,-0.82443,0.19847,-0.07544,-0.19409,0.94067,MPU2
2.45802,-2.41221,0.22901,-0.21924,0.15479,0.9668,MPU1
0.24427,-1.61832,0.41221,-0.08008,-0.20605,0.95923,MPU2
5.17557,2.68702,-0.70229,-0.19409,0.17017,0.99121,MPU1
0.74809,0.18321,-3.00763,-0.04663,-0.18726,0.95435,MPU2
4.1374,-1.46565,-3.72519,-0.19556,0.16016,0.98657,MPU1
4.18321,1.16031,-4.15267,-0.06445,-0.20898,0.99341,MPU2
8.38168,-1.92366,-1.19084,-0.24341,0.1665,0.98218,MPU1
3.64885,-1.83206,-3.05344,-0.07227,-0.19385,0.92993,MPU2
4.82443,-1.40458,-1.58779,-0.22607,0.16431,0.93384,MPU1
0.68702,-1.92366,-1.40458,-0.08423,-0.1958,0.92212,MPU2
2.65649,-0.03053,0.19847,-0.23975,0.16479,0.9231,MPU1
-2.90076,-0.73282,-0.50382,-0.07788,-0.18579,0.92041,MPU2
-0.50382,-2.62595,0.79389,-0.24243,0.17334,0.95337,MPU1
-2.41221,1.05344,1.77099,-0.08716,-0.19263,0.97388,MPU2
