gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
0.67176,0.85496,2.33588,-0.21558,-0.14746,0.95166,MPU1
-3.66412,-2.36641,-0.24427,0.13623,-0.24414,0.9082,MPU2
-0.68702,-2.22901,-1.19084,-0.24048,-0.15527,0.94263,MPU1
-2.8855,-0.18321,1.08397,0.11377,-0.29761,0.97485,MPU2
2.53435,0.51908,2.35115,-0.24341,-0.15283,0.9541,MPU1
-0.35115,-1.32824,0.27481,0.13135,-0.25928,0.93579,MPU2
0.30534,0.0,-0.24427,-0.22681,-0.14746,0.93433,MPU1
-2.76336,0.32061,-1.51145,0.13916,-0.26855,0.94165,MPU2
3.70992,0.32061,-0.15267,-0.24951,-0.15137,0.96436,MPU1
2.65649,0.38168,-0.36641,0.10645,-0.27173,0.95361,MPU2
0.39695,-0.39695,-0.06107,-0.22925,-0.12793,0.91211,MPU1
-5.19084,-2.01527,1.0229,0.104,-0.26147,0.93628,MPU2
-0.29008,1.03817,1.28244,-0.25391,-0.15112,0.96021,MPU1
-3.09924,0.0916,0.99237,0.12085,-0.26782,0.94873,MPU2
0.65649,-0.21374,1.46565,-0.24658,-0.14917,0.97437,MPU1
-2.68702,-0.64122,0.39695,0.13135,-0.2666,0.95215,MPU2
0.71756,-0.01527,0.03053,-0.23633,-0.14917,0.96045,MPU1
1.54198,-0.91603,0.67176,0.11768,-0.29004,0.98242,MPU2
4.74809,-0.68702,1.52672,-0.24072,-0.16309,0.9624,MPU1
-1.03817,-0.44275,0.25954,0.11694,-0.25977,0.93188,MPU2
-0.0916,0.42748,0.21374,-0.22534,-0.146,0.927,MPU1
-4.73282,-1.52672,0.0916,0.10254,-0.26978,0.92456,MPU2
0.65649,-0.73282,-0.0458,-0.24023,-0.15039,0.95117,MPU1
-2.82443,-2.30534,-0.67176,0.1228,-0.27783,0.96704,MPU2
0.10687,-0.30534,0.73282,-0.24805,-0.15332,0.96851,MPU1
-2.01527,0.0,0.35115,0.14111,-0.27051,0.95215,MPU2
2.50382,0.9313,-0.77863,-0.21875,-0.15015,0.94653,MPU1
-3.98473,1.08397,0.27481,0.10547,-0.25098,0.90332,MPU2
-3.60305,1.98473,0.27481,-0.24536,-0.14111,0.90625,MPU1
-9.61832,-0.03053,3.80153,0.10596,-0.25879,0.89136,MPU2
-11.29771,4.61069,2.53435,-0.22998,-0.14404,0.88599,MPU1
-14.0,3.77099,8.45802,0.14062,-0.26904,0.89355,MPU2
-19.45038,8.82443,5.69466,-0.19507,-0.14453,0.86279,MPU1
-52.91603,1.0229,27.45038,0.06055,-0.24585,0.85107,MPU2
-60.53435,73.83206,60.71756,-0.54712,-0.23267,1.30933,MPU1
-7.83206,6.85496,58.99237,0.44409,-1.55298,3.14478,MPU2
221.81679,-30.18321,30.90076,-0.50342,-1.29175,3.52344,MPU1
331.98474,60.01527,-81.98473,0.00586,-1.41187,2.25928,MPU2
275.48093,-99.48092,54.67176,-1.08911,-0.85645,1.57544,MPU1
346.39694,-48.06107,-31.28244,-0.26343,-0.9873,0.91431,MPU2
334.80917,-147.12978,81.84733,-0.53662,-0.63867,0.35449,MPU1
324.29007,-61.1145,21.51145,-0.31787,-0.42871,-0.12476,MPU2
289.25192,-127.43511,108.30534,-0.24072,-0.10156,-0.25781,MPU1
267.80151,-90.13741,-1.1145,-0.03931,0.16797,-0.42505,MPU2
214.85497,-149.74046,46.83969,0.17017,0.30957,-0.45874,MPU1
190.53435,-96.24428,-50.03053,0.17505,0.59277,-0.46484,MPU2
167.57253,-131.35878,30.47328,0.35962,0.64355,-0.33862,MPU1
105.45038,-72.53435,-3.57252,0.10669,0.95264,-0.60522,MPU2
49.41985,-53.80153,-3.67939,0.38843,0.92065,-0.59253,MPU1
26.87023,-26.53435,-37.93893,0.20264,0.86719,-0.04321,MPU2
18.35114,-54.76336,-16.70229,0.11499,0.88159,0.15479,MPU1
4.99237,-36.07634,-10.18321,0.09277,0.9165,0.08008,MPU2
-1.16031,-11.48092,1.84733,0.28247,0.99512,0.04004,MPU1
-11.70992,1.20611,4.03053,0.25977,0.94995,0.26758,MPU2
1.28244,-7.60305,-1.70992,0.27905,0.89966,0.4292,MPU1
11.43511,-24.42748,-8.15267,0.198,0.88794,0.36133,MPU2
11.19084,-26.21374,5.66412,0.2583,0.9895,0.29199,MPU1
-0.85496,2.83969,0.94656,0.30835,0.98169,0.21729,MPU2
7.45038,10.9771,-4.85496,0.34521,0.96729,0.22412,MPU1
5.46565,9.22137,-8.32061,0.23584,0.91406,0.26904,MPU2
18.38168,-7.28244,-2.50382,0.24829,0.96191,0.24634,MPU1
0.9313,-7.35878,-4.85496,0.17773,0.96045,0.14404,MPU2
1.45038,-3.67939,-7.54198,0.29053,0.96338,0.17749,MPU1
-18.22901,3.57252,-7.57252,0.18042,0.91895,0.20874,MPU2
-3.35878,2.70229,-6.22901,0.2356,0.9519,0.22095,MPU1
-0.58015,-7.66412,-2.01527,0.12183,0.8916,0.24951,MPU2
-0.94656,-9.26718,1.78626,0.22192,0.95532,0.26172,MPU1
-5.96947,-3.14504,-3.23664,0.21802,0.94189,0.23413,MPU2
-9.17557,1.58779,-7.72519,0.2959,0.9751,0.19287,MPU1
-6.44275,-0.18321,-4.58015,0.16919,0.9082,0.26392,MPU2
6.27481,-3.09924,-2.65649,0.20874,0.93604,0.29688,MPU1
-0.30534,-6.91603,-5.20611,0.15674,0.94019,0.21973,MPU2
-4.16794,-3.55725,-4.01527,0.26416,0.99487,0.17383,MPU1
-13.38931,1.77099,-2.94656,0.17212,0.92896,0.2229,MPU2
2.62595,8.80916,0.22901,0.22998,0.94946,0.26343,MPU1
4.48855,-4.35115,-0.50382,0.14746,0.9231,0.22974,MPU2
-2.0916,-7.93893,0.33588,0.22607,0.99878,0.19775,MPU1
-10.9771,-0.9313,-0.0458,0.17554,0.94897,0.2395,MPU2
-1.41985,4.33588,-2.44275,0.23804,0.94922,0.27539,MPU1
6.47328,-0.45802,0.58015,0.15674,0.86572,0.33691,MPU2
4.85496,-4.25954,3.40458,0.20557,0.97192,0.27979,MPU1
-4.8855,1.84733,-0.10687,0.17432,0.9436,0.23071,MPU2
