gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
1.0229,-0.9313,-0.73282,-0.09595,0.11353,0.98877,MPU1
0.9771,0.94656,-0.90076,-0.07275,-0.19482,0.97705,MPU2
2.21374,0.68702,-0.0916,-0.11084,0.12134,0.96533,MPU1
-2.9771,-0.22901,-0.10687,-0.0896,-0.18945,0.92773,MPU2
-0.25954,-0.0916,0.65649,-0.11768,0.11719,0.95923,MPU1
-3.26718,-1.67939,0.8855,-0.09302,-0.18896,0.93579,MPU2
0.59542,0.71756,0.50382,-0.10767,0.12354,0.98706,MPU1
-3.8626,-1.40458,0.50382,-0.08179,-0.18433,0.95752,MPU2
1.61832,0.1374,1.45038,-0.11255,0.12622,1.01392,MPU1
-1.55725,2.03053,1.74046,-0.08667,-0.19287,0.97607,MPU2
0.9313,1.8626,1.38931,-0.10181,0.11719,0.98853,MPU1
-1.49618,-1.89313,0.54962,-0.06763,-0.18994,0.95312,MPU2
2.73282,1.09924,1.29771,-0.09766,0.10449,0.9917,MPU1
-1.38931,4.18321,0.83969,-0.07227,-0.18726,0.95728,MPU2
0.68702,2.06107,0.18321,-0.12402,0.11548,0.96436,MPU1
-4.74809,-3.8626,-1.17557,-0.08691,-0.18335,0.92993,MPU2
-0.39695,0.8855,0.54962,-0.1228,0.1123,0.98145,MPU1
-3.03817,0.87023,0.94656,-0.08887,-0.2019,0.98364,MPU2
1.16031,0.47328,0.56489,-0.125,0.11353,1.01343,MPU1
-1.38931,-2.22901,-0.15267,-0.09595,-0.20337,0.95483,MPU2
0.74809,-0.47328,1.96947,-0.13135,0.11499,0.98267,MPU1
0.38168,1.41985,2.45802,-0.0769,-0.19531,0.97778,MPU2
3.81679,-0.10687,0.64122,-0.09717,0.11572,0.9917,MPU1
-1.70992,-2.59542,-2.22901,-0.06665,-0.17676,0.93262,MPU2
1.09924,-1.51145,0.0,-0.12769,0.1189,0.97876,MPU1
-0.80916,-0.1374,1.58779,-0.104,-0.20728,0.98145,MPU2
2.15267,1.81679,2.25954,-0.12573,0.10986,1.00537,MPU1
-0.80916,-0.25954,1.9542,-0.07471,-0.2019,0.97144,MPU2
0.91603,-2.12214,2.07634,-0.09741,0.10376,0.97803,MPU1
-2.51908,-2.61069,0.48855,-0.06567,-0.19336,0.9458,MPU2
3.70992,0.94656,0.33588,-0.10181,0.0979,1.01221,MPU1
