gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-0.15267,1.05344,-0.42748,-0.2019,-0.0061,0.99292,MPU1
-1.96947,-3.0229,-0.61069,-0.23242,-0.2981,0.9126,MPU2
-3.62595,1.9313,-0.42748,-0.32471,-0.40796,0.80322,MPU2
-0.27481,-2.64122,0.1374,-0.26562,0.02515,0.96436,MPU1
-2.1374,-1.62595,-0.67939,-0.32251,-0.42432,0.82495,MPU2
1.89313,1.57252,0.03053,-0.26562,0.02686,0.96631,MPU1
0.68702,-1.26718,0.0916,-0.33496,-0.4314,0.8418,MPU2
2.99237,-0.07634,-2.39695,-0.23999,0.02759,0.96851,MPU1
-4.19847,-1.32824,-0.78626,-0.34521,-0.40405,0.80859,MPU2
1.28244,-1.34351,1.80153,-0.2771,0.02954,0.98853,MPU1
-0.16031,-0.22137,2.51908,-0.34155,-0.43359,0.83984,MPU2
1.74046,0.96183,0.59542,-0.24243,0.03394,0.96143,MPU1
-3.92366,-0.58015,0.57252,-0.3291,-0.4104,0.81812,MPU2
2.71756,-1.20611,1.89313,-0.26807,0.03369,0.9873,MPU1
1.9771,-0.71756,1.77863,-0.33228,-0.42725,0.84351,MPU2
2.90076,-0.30534,1.0229,-0.2522,0.02808,0.9646,MPU1
0.01527,0.35878,-0.03053,-0.3186,-0.4187,0.84058,MPU2
3.00763,-1.22137,2.01527,-0.27271,0.04028,0.98096,MPU1
-0.42748,-0.70992,0.34351,-0.31323,-0.4082,0.82837,MPU2
4.01527,0.45802,-1.69466,-0.23291,0.02661,0.98364,MPU1
0.18321,-2.38931,-1.35878,-0.33423,-0.40356,0.79834,MPU2
2.18321,-0.32061,-1.26718,-0.24243,0.02905,0.94238,MPU1
-2.03817,0.26718,-1.65649,-0.32837,-0.41016,0.80469,MPU2
2.65649,0.25954,-0.76336,-0.28442,0.03711,0.97266,MPU1
-3.41985,0.96183,-0.25954,-0.34082,-0.39673,0.79858,MPU2
1.17557,0.9313,-1.19084,-0.26245,0.03638,0.96826,MPU1
-2.74046,-3.44275,1.19847,-0.3667,-0.4231,0.81567,MPU2
1.35878,3.48092,2.77863,-0.27686,0.03711,0.97363,MPU1
-3.31298,1.71756,2.16031,-0.3335,-0.41333,0.81543,MPU2
