gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-0.22681,0.06592,0.96411,0.82443,0.07634,1.78626,MPU1
-0.21069,-0.40112,0.86719,-1.66412,-2.80916,0.94656,MPU2
-0.22314,0.07007,0.97168,1.0229,-1.93893,1.19084,MPU1
-0.2041,-0.39136,0.8855,-0.91603,0.39695,0.19847,MPU2
-0.24072,0.07495,0.97705,2.9771,-0.0458,-0.0458,MPU1
-0.20972,-0.39526,0.88232,-0.59542,-1.28244,0.1374,MPU2
-0.23755,0.07666,0.98022,3.17557,-0.76336,0.99237,MPU1
-0.23584,-0.39746,0.89136,0.06107,-0.22901,1.57252,MPU2
-0.23804,0.07886,0.98047,4.54962,-0.15267,1.41985,MPU1
-0.22705,-0.3833,0.85791,-0.65649,-2.54962,0.65649,MPU2
-0.24585,0.07764,0.97729,2.9313,-0.42748,1.72519,MPU1
-0.20996,-0.40308,0.89502,0.15267,2.67176,1.37405,MPU2
-0.25269,0.08008,0.99756,6.44275,1.48092,1.57252,MPU1
-0.21387,-0.36865,0.85767,0.48855,-2.32061,1.31298,MPU2
-0.23389,0.09058,0.96899,3.29771,-1.35878,1.37405,MPU1
-0.21729,-0.37939,0.88086,0.82443,-0.51908,1.16031,MPU2
-0.23779,0.08911,0.97217,4.83969,0.85496,2.27481,MPU1
-0.23877,-0.37231,0.86084,-0.29008,0.22901,2.0,MPU2
-0.24341,0.08887,0.98364,4.16794,1.55725,0.79389,MPU1
-0.23511,-0.38232,0.87891,0.61069,-1.72519,1.63359,MPU2
-0.27271,0.09546,0.97852,3.16031,-4.03053,5.75573,MPU1
-0.22046,-0.38184,0.89136,1.09924,-0.30534,3.58779,MPU2
-0.24878,0.09375,0.9563,2.47328,-2.32061,3.61832,MPU1
-0.21655,-0.36743,0.8772,0.18321,-4.03053,2.38168,MPU2
-0.229,0.09863,0.98535,5.25191,1.29771,2.62595,MPU1
-0.22144,-0.3606,0.86548,-0.53435,-1.98473,4.24427,MPU2
-0.22461,0.09058,0.9812,3.12977,-1.8626,3.54198,MPU1
-0.21265,-0.3645,0.87207,0.07634,-0.32061,3.03817,MPU2
-0.21899,0.09326,0.97632,5.25191,2.58015,-1.25191,MPU1
-0.21533,-0.36206,0.8623,-1.0229,-0.25954,-0.18321,MPU2
-0.26294,0.10522,0.96777,3.38931,1.09924,2.07634,MPU1
-0.20532,-0.36011,0.8877,0.24427,0.33588,1.28244,MPU2
-0.21899,0.09814,0.97485,2.79389,-0.91603,-0.47328,MPU1
-0.20532,-0.35791,0.87036,-2.67176,-0.65649,0.67176,MPU2
-0.2085,0.09326,0.98901,4.8855,1.69466,-3.31298,MPU1
-0.21777,-0.35278,0.87842,-0.36641,-2.9313,-1.80153,MPU2
