gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-0.53435,-1.09924,1.64885,-0.13452,-0.17285,0.99438,MPU1
-1.29771,-0.30534,1.57252,0.12134,-0.17163,0.99414,MPU2
3.20611,-1.67939,1.17557,-0.11401,-0.18359,1.02026,MPU1
0.82443,-0.76336,-0.07634,0.1228,-0.16187,0.96948,MPU2
2.82443,-0.74809,1.1145,-0.12061,-0.17456,0.96436,MPU1
0.29008,-0.64122,0.79389,0.12476,-0.16211,0.94434,MPU2
2.19847,-0.41221,0.70229,-0.10742,-0.16431,0.97266,MPU1
-2.01527,-0.22901,-1.34351,0.12915,-0.13916,0.92944,MPU2
0.25954,-0.82443,-1.31298,-0.12085,-0.15869,0.96631,MPU1
-3.41985,-0.53435,-0.38168,0.10645,-0.16162,0.96338,MPU2
0.27481,-0.39695,1.1145,-0.14941,-0.17163,0.99438,MPU1
-1.19084,-0.25954,1.64885,0.1084,-0.16626,0.97974,MPU2
2.0916,0.06107,1.87786,-0.1167,-0.177,1.0022,MPU1
-1.78626,-0.62595,0.74809,0.12256,-0.15527,0.96362,MPU2
1.9542,-0.53435,0.53435,-0.10449,-0.17529,0.98022,MPU1
-0.36641,-1.35878,-0.36641,0.11963,-0.15771,0.94189,MPU2
1.78626,-1.31298,0.27481,-0.12305,-0.17236,0.98389,MPU1
-2.29008,-1.37405,-0.22901,0.11743,-0.15332,0.96143,MPU2
1.57252,-2.32061,1.09924,-0.14038,-0.17944,0.99805,MPU1
-0.85496,-1.31298,1.72519,0.10938,-0.17627,0.96313,MPU2
1.60305,0.50382,1.09924,-0.0957,-0.17065,0.979,MPU1
-2.83969,-2.36641,-0.12214,0.12671,-0.14966,0.94116,MPU2
2.07634,0.99237,1.45038,-0.11011,-0.16821,0.97021,MPU1
-2.06107,0.68702,-0.18321,0.1272,-0.15576,0.95703,MPU2
2.30534,0.29008,0.41221,-0.12354,-0.17432,0.99316,MPU1
-3.49618,0.36641,0.94656,0.10913,-0.16382,0.94727,MPU2
0.58015,1.63359,1.03817,-0.12061,-0.18042,0.99048,MPU1
-2.64122,-0.27481,-0.65649,0.13232,-0.15576,0.96362,MPU2
0.59542,-0.10687,-1.20611,-0.1189,-0.17773,0.98242,MPU1
-3.09924,-1.98473,-0.58015,0.10376,-0.1687,0.97461,MPU2
1.20611,-0.9313,0.27481,-0.12891,-0.18066,0.99365,MPU1
-0.36641,-1.03817,0.1374,0.11035,-0.17114,0.97925,MPU2
2.85496,-2.68702,1.12977,-0.13403,-0.17944,0.98804,MPU1
0.79389,0.0,1.75573,0.11304,-0.1604,0.96655,MPU2
1.72519,-0.62595,1.23664,-0.10791,-0.16504,0.96582,MPU1
