gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
0.62595,0.42748,0.77863,-0.08228,-0.23682,0.94849,MPU1
-1.90840,-1.60305,-0.39695,0.02148,-0.38916,0.89258,MPU2
1.35878,-0.16794,1.60305,-0.09546,-0.24780,0.96753,MPU1
-2.24427,0.13740,1.08397,0.00439,-0.39697,0.90918,MPU2
0.94656,0.15267,1.06870,-0.07178,-0.24121,0.96411,MPU1
-1.22137,-0.64122,0.51908,0.03589,-0.38525,0.92847,MPU2
1.51145,1.14504,0.24427,-0.07495,-0.24414,0.96704,MPU1
-2.71756,-1.09924,0.21374,0.01465,-0.38916,0.90161,MPU2
0.45802,1.38931,1.11450,-0.08032,-0.24219,0.96191,MPU1
-1.70992,-0.06107,-0.42748,0.03101,-0.38159,0.89722,MPU2
1.02290,-1.80153,-0.30534,-0.08350,-0.24390,0.94165,MPU1
-3.48092,-1.89313,0.61069,0.02734,-0.38647,0.88574,MPU2
-2.12214,1.22137,2.15267,-0.09131,-0.25366,0.94287,MPU1
-4.91603,-1.16031,1.06870,0.03296,-0.39014,0.92017,MPU2
1.25191,-2.59542,0.33588,-0.08252,-0.25342,0.99658,MPU1
-0.68702,-3.93893,-3.38931,0.00342,-0.42456,0.92798,MPU2
14.87023,29.49618,-22.13741,-0.26953,-0.42505,1.10522,MPU1
18.74809,2.97710,11.90840,-0.85400,-1.05127,1.18726,MPU2
60.27481,-36.58015,137.69466,-1.67212,-0.83911,1.26709,MPU1
74.58015,-91.61832,197.75572,-1.86475,-1.46558,0.83350,MPU2
49.93893,-130.87022,290.16794,-1.53271,-0.90063,0.74219,MPU1
53.43512,-196.18321,346.53436,-0.58179,-1.19165,0.47363,MPU2
30.38168,-222.77863,369.48093,-0.16553,-0.98730,0.66089,MPU1
37.89313,-152.90076,242.29007,1.00488,-0.80371,0.31689,MPU2
14.85496,-93.72519,242.00000,0.60815,-0.76440,0.55225,MPU1
-4.76336,-83.54198,191.00763,1.12231,-0.69043,0.59473,MPU2
20.67175,-56.65649,186.82443,1.05298,-0.63965,0.83984,MPU1
37.20611,-49.81680,148.74809,1.21753,-0.45215,0.82935,MPU2
41.25191,1.57252,161.25191,1.16626,-0.33667,0.72681,MPU1
38.94656,-9.40458,125.72519,1.40601,-0.19702,0.64990,MPU2
34.54962,-24.59542,21.49618,1.46777,-0.22729,0.59619,MPU1
24.83969,2.90076,-83.78626,1.17212,0.19409,0.13843,MPU2
-20.13741,36.67176,-81.84733,0.32983,-0.07788,0.53027,MPU1
-59.55725,59.02290,-39.84733,0.07544,-0.33472,0.85815,MPU2
-48.56488,60.87023,-14.90076,-0.14551,-0.11304,0.90332,MPU1
-31.81679,16.45802,13.37405,0.02319,-0.35815,1.05786,MPU2
-4.35115,-9.51145,6.44275,-0.15308,-0.19849,1.32349,MPU1
-19.75573,-4.04580,7.26718,0.06689,-0.42847,1.08521,MPU2
0.51908,-3.38931,28.61069,0.01733,-0.21143,1.04224,MPU1
28.96183,-10.74809,21.26718,0.31982,-0.33838,1.02783,MPU2
15.87786,-15.14504,-5.64885,0.26050,-0.21021,1.01245,MPU1
-8.29008,-9.35878,-13.20611,0.29712,-0.25952,0.75269,MPU2
0.22901,0.94656,-2.33588,0.09766,-0.14624,0.87598,MPU1
4.47328,-2.59542,-0.48855,0.22192,-0.32886,0.95435,MPU2
2.19847,-0.25954,-5.60305,0.12402,-0.17749,0.96509,MPU1
-2.39695,0.24427,-8.47328,0.25391,-0.27881,0.87158,MPU2
-0.13740,1.84733,-3.80153,0.07739,-0.15625,0.96167,MPU1
-9.31298,0.19847,2.97710,0.20361,-0.33301,0.93823,MPU2
5.29771,-0.73282,-0.19847,0.12183,-0.18726,1.02783,MPU1
5.03817,-2.32061,-2.44275,0.24048,-0.31494,0.90161,MPU2
6.16794,-3.40458,-4.65649,0.09473,-0.16992,0.96558,MPU1
-1.86260,-0.19847,-2.48855,0.20386,-0.31714,0.89990,MPU2
0.70229,-0.91603,4.38168,0.03931,-0.15869,0.97412,MPU1
4.59542,-1.78626,7.16031,0.22437,-0.31177,0.95020,MPU2
0.07634,-3.08397,1.87786,0.15112,-0.16382,0.94287,MPU1
-10.32061,0.56489,-4.27481,0.26758,-0.27686,0.86377,MPU2
-0.91603,1.22137,-3.75573,0.10376,-0.16455,0.97949,MPU1
-0.79389,0.01527,0.07634,0.20898,-0.32739,0.95068,MPU2
5.52672,0.25954,1.20611,0.08667,-0.17383,1.00879,MPU1
2.71756,0.65649,0.54962,0.24316,-0.29858,0.90967,MPU2
1.35878,0.70229,-1.74046,0.09058,-0.15771,0.96631,MPU1
-0.88550,1.12977,2.54962,0.21021,-0.30981,0.93677,MPU2
2.54962,2.83969,2.47328,0.10571,-0.14478,0.96094,MPU1
-7.16031,4.29008,-0.65649,0.25659,-0.28418,0.87476,MPU2
-0.13740,4.87023,-8.96183,0.11865,-0.17017,1.00000,MPU1
-1.28244,-0.35115,-1.86260,0.17188,-0.34424,0.95679,MPU2
2.79389,-3.40458,5.26718,0.00586,-0.17212,1.00708,MPU1
0.74809,-2.29008,4.71756,0.24219,-0.31299,0.91406,MPU2
0.27481,-0.35115,0.16794,0.16650,-0.15479,0.94946,MPU1
-1.17557,-0.04580,-0.61069,0.26196,-0.28687,0.90479,MPU2
0.24427,0.70229,-3.08397,0.10303,-0.16626,0.99048,MPU1
0.25954,-0.90076,0.93130,0.19678,-0.34424,0.95728,MPU2
8.68702,-1.90840,3.09924,0.06909,-0.17847,1.00903,MPU1
5.74046,-2.68702,4.85496,0.23022,-0.30957,0.91162,MPU2
4.59542,0.65649,-0.25954,0.16504,-0.15869,0.93188,MPU1
-4.03053,0.59542,-5.67939,0.27075,-0.27759,0.86987,MPU2
2.51908,3.49618,-3.35878,0.09937,-0.15723,0.98022,MPU1
0.56489,2.01527,-0.82443,0.20483,-0.31689,0.93384,MPU2
1.34351,0.56489,-2.13740,0.08716,-0.15601,0.99268,MPU1
-2.18321,-1.86260,-2.50382,0.18921,-0.30786,0.91357,MPU2
1.17557,-2.44275,0.44275,0.06445,-0.14575,0.99634,MPU1
0.80916,-3.20611,0.79389,0.20386,-0.30396,0.93604,MPU2
2.19847,0.00000,2.42748,0.10547,-0.14282,0.97144,MPU1
-1.96947,-0.73282,-0.01527,0.25439,-0.26587,0.90063,MPU2
0.96183,-1.49618,-1.03817,0.11230,-0.14209,0.97290,MPU1
-0.39695,-1.74046,-0.03053,0.20728,-0.31201,0.93237,MPU2
3.92366,0.07634,4.68702,0.07227,-0.15649,0.98267,MPU1
3.49618,-0.01527,2.15267,0.24365,-0.29053,0.92725,MPU2
2.32061,-0.96183,-4.30534,0.13745,-0.16113,0.96631,MPU1
0.27481,-1.38931,-1.84733,0.21411,-0.29736,0.94067,MPU2
2.67176,0.62595,0.56489,0.08374,-0.14380,0.98218,MPU1
-3.31298,-0.87023,0.88550,0.22729,-0.28857,0.90601,MPU2
-0.73282,-0.24427,-0.77863,0.09814,-0.14893,0.97632,MPU1
-2.07634,-2.19847,0.16794,0.23682,-0.28906,0.91797,MPU2
-0.48855,-0.62595,1.51145,0.11279,-0.14233,0.96484,MPU1
-5.28244,-1.28244,-2.25954,0.25732,-0.28101,0.90771,MPU2
1.14504,0.19847,-4.80916,0.10547,-0.14526,0.99487,MPU1
-0.87023,-1.93893,-1.11450,0.18384,-0.30371,0.93774,MPU2
2.90076,-0.96183,1.87786,0.05615,-0.15015,0.98584,MPU1
1.31298,-1.35878,2.47328,0.21777,-0.29834,0.93433,MPU2
4.04580,0.22901,1.23664,0.13818,-0.14917,0.97925,MPU1
-2.56489,-0.15267,-0.41221,0.27222,-0.26562,0.89233,MPU2
2.82443,0.44275,-1.74046,0.11841,-0.14990,0.97559,MPU1
0.13740,-0.27481,-0.07634,0.20312,-0.30811,0.93994,MPU2
3.63359,-0.04580,2.73282,0.06299,-0.14258,0.98608,MPU1
0.16794,-0.64122,2.19847,0.21362,-0.28857,0.91846,MPU2
1.55725,0.06107,0.93130,0.12598,-0.14185,0.95288,MPU1
-5.61832,0.32061,-2.21374,0.24194,-0.27759,0.89453,MPU2
0.82443,0.12214,-2.32061,0.09790,-0.16309,1.01343,MPU1
0.44275,-3.29771,1.17557,0.16870,-0.31982,0.96313,MPU2
4.99237,-5.34351,3.46565,0.07031,-0.14624,1.01074,MPU1
0.39695,-1.23664,1.49618,0.25195,-0.27832,0.90991,MPU2
-0.29008,2.25954,-2.47328,0.14209,-0.14746,0.94385,MPU1
-6.67176,-0.19847,-2.35115,0.23047,-0.28711,0.90430,MPU2
2.12214,0.99237,0.93130,0.07373,-0.14404,1.00024,MPU1
2.25954,-0.07634,2.19847,0.23926,-0.28760,0.94604,MPU2
1.70992,-1.19084,-2.41221,0.12769,-0.15234,0.98145,MPU1
-3.51145,-1.38931,0.25954,0.20117,-0.29614,0.91992,MPU2
1.84733,0.77863,3.41985,0.09619,-0.14087,0.97754,MPU1
-0.03053,-0.41221,2.44275,0.24512,-0.26099,0.89893,MPU2
0.10687,4.09160,-1.78626,0.15356,-0.14209,0.94678,MPU1
-6.80916,1.87786,-2.76336,0.24414,-0.28052,0.89795,MPU2
1.54198,2.04580,2.27481,0.04712,-0.14355,1.00977,MPU1
1.93893,-0.61069,2.79389,0.20312,-0.31030,0.96484,MPU2
3.26718,-2.22901,2.48855,0.09473,-0.14600,0.98486,MPU1
-1.46565,-2.06107,1.58779,0.24561,-0.27783,0.90259,MPU2
-0.15267,-0.80916,-1.22137,0.13403,-0.13647,0.95654,MPU1
-4.32061,0.18321,-1.89313,0.21460,-0.30371,0.92041,MPU2
1.17557,1.06870,1.46565,0.06104,-0.15698,0.99390,MPU1
1.05344,-1.51145,2.29008,0.22388,-0.30298,0.93823,MPU2
1.83206,-1.43511,0.33588,0.13013,-0.13623,0.95483,MPU1
-5.25191,-1.16031,-2.44275,0.24927,-0.27295,0.87744,MPU2
-1.16031,2.13740,-1.54198,0.10254,-0.14844,0.97485,MPU1
-1.54198,2.71756,2.41221,0.20972,-0.31274,0.93750,MPU2
0.71756,2.62595,2.24427,0.08545,-0.15161,0.97876,MPU1
-1.49618,2.01527,2.39695,0.20825,-0.28931,0.91235,MPU2
0.83969,5.06870,1.28244,0.13159,-0.13965,0.96582,MPU1
-4.30534,4.45802,-0.88550,0.24341,-0.27686,0.89624,MPU2
-2.35115,1.00763,-2.16794,0.06494,-0.16357,1.00513,MPU1
-2.18321,0.44275,2.12214,0.18188,-0.32495,0.96875,MPU2
3.66412,-2.19847,0.59542,0.07056,-0.16284,1.04077,MPU1
-1.74046,-5.12977,-0.97710,0.19531,-0.29565,0.91187,MPU2
2.38168,-1.38931,0.65649,0.09717,-0.15015,0.97510,MPU1
-1.57252,-2.36641,-1.41985,0.21680,-0.28784,0.90259,MPU2
0.71756,-2.53435,0.44275,0.08496,-0.13989,0.96436,MPU1
-1.92366,0.09160,0.35115,0.23511,-0.28369,0.92847,MPU2
0.41221,0.76336,-0.93130,0.09839,-0.14746,0.96289,MPU1
-3.14504,-2.00000,-1.57252,0.22363,-0.29321,0.91870,MPU2
2.10687,0.29008,0.68702,0.06934,-0.15894,0.97876,MPU1
-0.18321,-0.41221,1.46565,0.22119,-0.28979,0.91919,MPU2
0.38168,0.56489,2.33588,0.08691,-0.14600,0.97852,MPU1
-0.54962,0.79389,0.03053,0.24048,-0.29712,0.93628,MPU2
2.04580,-1.38931,-2.56489,0.10791,-0.16504,0.99243,MPU1
-1.96947,-2.42748,-2.00000,0.20044,-0.30762,0.91431,MPU2
0.93130,-0.97710,1.66412,0.06006,-0.14893,0.96606,MPU1
-2.62595,-0.25954,0.91603,0.22656,-0.28394,0.91504,MPU2
1.05344,0.35115,-1.37405,0.12085,-0.15552,0.98828,MPU1
-2.42748,-1.90840,-1.83206,0.20020,-0.30957,0.91821,MPU2
1.84733,-1.32824,2.53435,0.05591,-0.15332,1.00293,MPU1
-0.25954,-0.93130,3.06870,0.22778,-0.28418,0.91602,MPU2
1.23664,1.63359,-0.80916,0.13403,-0.14087,0.95117,MPU1
-5.46565,0.85496,-3.45038,0.25732,-0.27051,0.89526,MPU2
-0.73282,1.60305,-1.81679,0.07300,-0.16187,0.98438,MPU1
-1.57252,-0.16794,1.58779,0.18262,-0.32471,0.94678,MPU2
3.16031,-0.91603,2.94656,0.07593,-0.15771,1.01807,MPU1
0.19847,-2.91603,1.00763,0.22876,-0.29395,0.90381,MPU2
1.16031,-0.97710,1.75573,0.10522,-0.14722,0.95605,MPU1
-3.17557,-0.39695,-0.82443,0.25806,-0.27954,0.90137,MPU2
-0.61069,0.30534,-1.60305,0.09229,-0.15527,0.97827,MPU1
-5.03817,-0.47328,0.19847,0.18311,-0.30078,0.92017,MPU2
-0.24427,0.00000,2.67176,0.06567,-0.16284,0.99756,MPU1
3.19084,-1.72519,1.00763,0.21973,-0.31177,0.96167,MPU2
