gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-0.10352,0.05615,1.00977,1.34351,0.10687,0.12214,MPU1
-0.22021,-0.35156,0.89893,-1.12977,0.62595,1.34351,MPU2
-0.09497,0.05493,1.0188,3.48092,-1.72519,0.61069,MPU1
-0.21191,-0.34302,0.87988,-0.0458,-2.42748,0.36641,MPU2
-0.10425,0.05444,1.0,2.16794,-0.18321,1.69466,MPU1
-0.20337,-0.34033,0.89209,-1.14504,-1.54198,0.30534,MPU2
-0.0918,0.05249,1.00562,1.93893,-0.9771,0.44275,MPU1
-0.21289,-0.34839,0.88208,-1.83206,-2.38168,0.0458,MPU2
-0.09717,0.05469,1.00635,2.25954,-1.67939,1.69466,MPU1
-0.20337,-0.33057,0.88428,-2.27481,-2.59542,0.10687,MPU2
-0.09668,0.04858,1.01001,1.57252,-0.85496,0.94656,MPU1
-0.20752,-0.35278,0.90381,-0.53435,-0.96183,0.9771,MPU2
-0.10083,0.04688,1.01514,2.16794,-1.19084,2.07634,MPU1
-0.198,-0.3479,0.896,-0.21374,-1.35878,1.20611,MPU2
-0.08691,0.05273,0.98096,1.96947,-1.81679,1.83206,MPU1
-0.18799,-0.34009,0.89014,-1.34351,0.25954,0.82443,MPU2
-0.09155,0.05518,0.98804,1.58779,-0.19847,0.67176,MPU1
-0.20361,-0.34229,0.88232,-1.38931,-2.32061,-0.10687,MPU2
-0.07153,0.05078,1.00391,1.9084,-0.58015,-0.68702,MPU1
-0.198,-0.34277,0.89697,-2.06107,0.64122,-0.71756,MPU2
-0.10107,0.05591,1.02075,1.38931,-0.45802,0.70229,MPU1
-0.19922,-0.34644,0.89014,-1.25191,-1.92366,-0.47328,MPU2
-0.09204,0.052,0.99585,0.54962,-0.38168,0.53435,MPU1
-0.1936,-0.3396,0.89722,-0.50382,0.18321,-0.47328,MPU2
-0.08618,0.05176,0.99902,1.14504,-1.48092,0.0,MPU1
-0.19897,-0.33594,0.88477,-2.70229,-2.21374,-1.25191,MPU2
-0.09424,0.05908,1.02173,1.64885,0.01527,-0.15267,MPU1
-0.20898,-0.34204,0.90161,-1.08397,0.24427,-0.38168,MPU2
-0.10498,0.05029,1.01172,1.60305,-1.00763,0.29008,MPU1
-0.20703,-0.35522,0.90137,-1.05344,-2.29008,1.05344,MPU2
-0.08008,0.04468,1.01172,4.73282,-0.32061,1.77099,MPU1
-0.18823,-0.3291,0.87256,-0.54962,-0.73282,0.56489,MPU2
-0.07935,0.05859,0.97754,1.19084,-0.29008,0.70229,MPU1
-0.19189,-0.3457,0.89673,-1.08397,1.00763,0.74809,MPU2
-0.09375,0.05322,0.98926,2.0916,-0.32061,0.79389,MPU1
-0.1875,-0.33057,0.88647,-2.62595,-0.36641,-0.76336,MPU2
-0.09668,0.06372,1.01709,0.96183,0.15267,0.12214,MPU1
-0.20557,-0.3457,0.90967,-0.48855,-0.44275,-0.68702,MPU2
-0.09448,0.05884,1.00757,2.51908,0.22901,-0.25954,MPU1
-0.21948,-0.34521,0.88013,-2.45802,-2.22901,0.33588,MPU2
-0.08252,0.05273,1.00806,2.41221,-1.0687,0.19847,MPU1
-0.20947,-0.33618,0.87817,-1.55725,-2.32061,0.0,MPU2
-0.09766,0.05078,0.99268,0.68702,0.42748,1.93893,MPU1
-0.19019,-0.34082,0.89355,-2.30534,-0.22901,0.76336,MPU2
-0.08032,0.04688,1.01221,1.87786,-2.0916,0.68702,MPU1
-0.19653,-0.34131,0.89478,-2.21374,-0.39695,0.48855,MPU2
-0.08618,0.05273,1.0061,1.37405,0.64122,1.0229,MPU1
-0.20679,-0.34058,0.88794,-2.27481,-1.29771,0.62595,MPU2
-0.08984,0.04565,1.01147,1.72519,-0.21374,0.94656,MPU1
-0.18579,-0.34912,0.88281,-0.80916,-1.0229,-0.06107,MPU2
-0.1001,0.05347,0.98169,-0.01527,0.61069,1.84733,MPU1
-0.19531,-0.35083,0.89868,-2.54962,0.03053,0.85496,MPU2
-0.08887,0.05225,1.00806,1.08397,-1.78626,1.34351,MPU1
-0.19287,-0.34155,0.89087,-2.03053,-0.22901,0.0,MPU2
-0.10059,0.05981,1.00073,1.37405,0.24427,1.80153,MPU1
-0.20337,-0.34546,0.89282,-1.74046,-2.30534,1.08397,MPU2
-0.08325,0.04712,1.00049,1.96947,-0.99237,0.79389,MPU1
-0.19946,-0.33911,0.8938,-2.42748,-0.73282,0.44275,MPU2
-0.10522,0.05078,0.99854,0.27481,-0.41221,1.67939,MPU1
-0.20752,-0.35498,0.88647,-2.16794,-1.93893,1.26718,MPU2
-0.09082,0.05371,0.98853,0.32061,-1.41985,2.54962,MPU1
-0.19629,-0.34009,0.88257,-4.51908,-1.22137,1.14504,MPU2
-0.09009,0.05347,1.0061,0.25954,0.50382,2.24427,MPU1
-0.19629,-0.35815,0.90796,-2.83969,-1.64885,1.49618,MPU2
-0.06079,0.04175,1.00708,0.42748,0.85496,1.08397,MPU1
-0.19629,-0.35327,0.8894,-3.43511,-1.40458,0.58015,MPU2
-0.08887,0.04175,1.03271,1.78626,-0.58015,1.8626,MPU1
-0.18652,-0.35327,0.90137,-1.34351,-1.72519,0.01527,MPU2
-0.07666,0.04175,1.00122,0.90076,-1.17557,0.73282,MPU1
-0.18262,-0.35938,0.90405,-1.58779,-0.01527,0.58015,MPU2
-0.07129,0.04077,1.01318,2.83969,-0.71756,-0.64122,MPU1
-0.19141,-0.34326,0.85742,-1.17557,-1.64885,-2.30534,MPU2
-0.10107,0.03711,0.96802,-0.42748,-1.19084,-0.07634,MPU1
-0.19043,-0.3584,0.86694,-3.49618,-1.16031,-1.31298,MPU2
-0.09497,0.04834,0.96362,-2.22901,-0.62595,0.79389,MPU1
-0.1958,-0.33521,0.85791,-6.32061,-3.96947,-1.89313,MPU2
-0.07544,0.03467,0.99512,-3.41985,0.01527,0.94656,MPU1
-0.14771,-0.37085,0.91357,-8.44275,2.07634,1.1145,MPU2
0.24854,-0.03955,1.177,-1.23664,-28.41221,-4.47328,MPU1
1.15527,-0.42212,1.6792,9.12977,65.70992,-74.70229,MPU2
1.83496,-0.52051,1.8728,90.71756,106.65649,-200.12213,MPU1
1.80273,-0.83887,1.82202,140.91603,212.58015,-221.28244,MPU2
1.62524,-1.17676,1.84424,216.94656,41.41985,-378.96182,MPU1
1.17993,-1.39966,1.00903,265.86261,226.56488,-302.06107,MPU2
0.53857,-1.60864,0.71875,227.45038,31.05343,-432.35114,MPU1
0.20898,-1.63525,0.00366,233.2061,164.87022,-340.33588,MPU2
-0.78247,-1.29907,0.67017,161.67938,-12.68702,-381.05344,MPU1
-0.94238,-1.5957,-0.22925,159.31297,104.54962,-266.50381,MPU2
-1.71338,-0.93091,0.45508,73.25191,-62.10687,-249.12978,MPU1
-1.59253,-1.23657,-0.11157,86.06107,-29.31298,-151.26718,MPU2
-1.50903,-0.37549,0.70825,39.51145,-96.32061,-79.03817,MPU1
-0.9856,-0.78857,0.13281,29.45038,-45.03817,-69.92367,MPU2
-0.89966,-0.22949,0.58911,-29.19084,-50.80916,-50.1832,MPU1
-0.87256,-0.68579,0.46509,-16.9771,-5.78626,-51.38931,MPU2
-0.90576,-0.07788,0.84741,-5.46565,-9.61832,-29.64886,MPU1
-0.94653,-0.48364,0.32007,-6.27481,-33.83206,-13.31298,MPU2
-0.58887,0.052,0.69873,-15.09924,-19.41985,-1.41985,MPU1
-0.6665,-0.34619,0.59277,-20.41221,-29.60305,-9.98473,MPU2
-0.48853,0.14697,0.91406,-19.55725,-18.29008,8.29008,MPU1
-0.50171,-0.34106,0.79541,-19.43511,-9.22137,-2.58015,MPU2
-0.34277,0.14844,0.98389,-21.9084,-3.12977,1.67939,MPU1
-0.47241,-0.36865,0.93701,-14.59542,-5.14504,-1.72519,MPU2
-0.31787,0.13281,1.07275,-6.44275,2.0916,2.58015,MPU1
-0.48071,-0.36816,0.89185,-2.16794,-13.92366,-1.28244,MPU2
-0.38696,0.14941,0.99707,-4.64122,-10.61069,14.27481,MPU1
-0.45874,-0.36841,0.85938,-9.40458,-15.0229,9.51145,MPU2
-0.26172,0.11353,1.12354,3.34351,-18.36641,12.99237,MPU1
-0.44824,-0.40527,0.87402,5.54198,-8.61069,13.67939,MPU2
-0.3208,0.10962,0.9585,6.24427,-6.80916,19.80153,MPU1
-0.46973,-0.38477,0.82764,6.68702,-19.26718,19.49618,MPU2
-0.2832,0.11646,1.00415,15.72519,-17.19084,26.58015,MPU1
-0.41895,-0.35547,0.80396,12.12214,-32.38168,19.49618,MPU2
-0.23364,0.12207,0.92944,7.23664,-29.87786,25.34351,MPU1
-0.32349,-0.31396,0.85596,11.08397,-33.98473,8.29008,MPU2
-0.21924,0.13306,0.98877,9.08397,-31.37405,20.22901,MPU1
-0.30396,-0.28589,0.84937,4.0916,-28.21374,8.58015,MPU2
-0.11304,0.15234,0.97607,6.67176,-16.47328,9.61832,MPU1
-0.26196,-0.27881,0.83252,-0.27481,-4.15267,2.80916,MPU2
-0.15894,0.16064,0.93945,-1.78626,2.91603,2.80916,MPU1
-0.3125,-0.31128,0.85522,-4.94656,0.0,1.38931,MPU2
-0.18066,0.13159,0.97632,0.73282,1.87786,3.72519,MPU1
-0.32251,-0.31665,0.83862,-2.9313,-5.98473,1.78626,MPU2
-0.16431,0.13306,0.94458,-2.41221,1.19084,4.41221,MPU1
-0.29443,-0.30762,0.86841,-7.32824,3.03817,2.25954,MPU2
-0.21826,0.14941,0.98413,-2.0916,3.19084,7.34351,MPU1
-0.34497,-0.31958,0.83594,-8.10687,-3.31298,8.03053,MPU2
-0.13696,0.13257,0.99976,-0.12214,2.9313,5.25191,MPU1
-0.33252,-0.3335,0.88916,-2.71756,-0.85496,5.84733,MPU2
-0.19165,0.14624,0.96094,-1.48092,3.89313,9.19084,MPU1
-0.31128,-0.31299,0.86694,-5.9084,-5.14504,4.19847,MPU2
-0.16602,0.14355,0.99146,-1.17557,-0.41221,6.22901,MPU1
-0.31812,-0.3208,0.85815,-6.33588,-5.72519,3.37405,MPU2
-0.17065,0.12817,0.99902,-3.96947,-4.9313,6.61069,MPU1
-0.3103,-0.32959,0.90698,-3.26718,-1.87786,4.01527,MPU2
-0.17603,0.13232,1.0022,-0.56489,-3.37405,9.64886,MPU1
-0.2981,-0.31812,0.86792,-3.37405,-0.44275,6.91603,MPU2
-0.17456,0.1311,0.98511,1.54198,-8.35114,7.03817,MPU1
-0.30005,-0.31079,0.85596,-3.8626,-8.21374,2.36641,MPU2
-0.15552,0.12793,1.01367,3.78626,-3.31298,6.33588,MPU1
-0.30591,-0.32349,0.85791,-0.22901,-7.64885,3.9542,MPU2
-0.14062,0.14087,0.98755,2.62595,-3.9542,5.37405,MPU1
