gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-0.17261,0.28979,0.96631,1.38931,-0.99237,2.27481,MPU1
-0.07544,-0.08643,0.95703,-2.33588,-1.1145,2.36641,MPU2
-0.16992,0.28857,0.97217,2.90076,2.54962,1.98473,MPU1
-0.07031,-0.08105,0.97046,0.68702,-3.55725,1.98473,MPU2
-0.14893,0.2876,0.93018,0.54962,-0.62595,1.67939,MPU1
-0.05054,-0.07739,0.95239,-4.74809,-0.35115,0.68702,MPU2
-0.17261,0.29736,0.98022,1.92366,-3.0687,1.84733,MPU1
-0.06616,-0.09473,0.96704,-2.79389,-1.0229,0.68702,MPU2
-0.15015,0.29224,0.95264,0.44275,1.41985,1.12977,MPU1
-0.06494,-0.08496,0.97339,-0.85496,-2.51908,0.44275,MPU2
-0.15869,0.28442,0.95337,0.64122,0.96183,0.58015,MPU1
-0.05737,-0.09131,0.97681,-1.84733,1.16031,-0.18321,MPU2
-0.18091,0.29541,0.97192,3.54198,-3.70992,1.38931,MPU1
-0.06519,-0.08911,0.9585,-1.37405,-0.76336,-0.10687,MPU2
-0.1604,0.29468,0.94336,1.9084,2.15267,0.50382,MPU1
-0.06543,-0.08643,0.94165,-1.43511,-2.42748,0.12214,MPU2
-0.15576,0.28979,0.94556,0.56489,-1.70992,0.54962,MPU1
-0.07031,-0.09058,0.96826,-3.0229,0.67176,0.58015,MPU2
-0.17383,0.28857,0.95923,1.63359,-1.0229,1.22137,MPU1
-0.06421,-0.08691,0.96753,-1.16031,-0.56489,0.51908,MPU2
-0.15869,0.28442,0.95117,2.48855,0.48855,0.90076,MPU1
-0.06421,-0.08789,0.95264,-1.64885,-0.76336,-0.06107,MPU2
-0.15625,0.29126,0.95239,0.73282,1.46565,-0.47328,MPU1
-0.05664,-0.09302,0.9834,-0.8855,1.40458,-1.12977,MPU2
-0.18262,0.28589,0.95703,1.67939,-0.94656,0.19847,MPU1
-0.07837,-0.08691,0.95386,-2.82443,-0.48855,0.58015,MPU2
-0.18091,0.29419,0.93921,0.77863,1.29771,1.25191,MPU1
-0.06689,-0.07935,0.96411,-2.73282,-1.45038,0.36641,MPU2
-0.1665,0.29004,0.96362,1.08397,-1.12977,1.0687,MPU1
-0.0603,-0.0874,0.97119,-2.62595,-0.80916,0.48855,MPU2
-0.16943,0.28247,0.96899,0.65649,1.03817,0.79389,MPU1
-0.06006,-0.09473,0.96216,-1.35878,-2.0,-0.32061,MPU2
-0.1709,0.28931,0.95117,2.56489,1.05344,0.74809,MPU1
-0.07178,-0.08789,0.93433,-3.58779,-1.63359,1.09924,MPU2
-0.16382,0.28345,0.94482,-0.96183,0.87023,0.19847,MPU1
-0.06885,-0.09717,0.96313,-2.29008,-2.24427,0.42748,MPU2
-0.16992,0.28491,0.95679,0.24427,-1.12977,2.33588,MPU1
-0.06006,-0.09155,0.97583,-4.07634,0.42748,0.87023,MPU2
-0.17432,0.29224,0.97437,1.66412,-2.22901,1.64885,MPU1
-0.05737,-0.09326,0.96899,-1.43511,-2.44275,0.74809,MPU2
-0.16406,0.29102,0.96167,0.0458,0.32061,1.9084,MPU1
-0.05664,-0.09595,0.99023,-0.85496,-0.64122,0.79389,MPU2
-0.1709,0.28882,0.98218,3.61832,-2.29008,2.07634,MPU1
-0.05249,-0.09229,0.95947,-1.43511,-2.29008,1.05344,MPU2
-0.16357,0.28076,0.95532,2.0916,-0.06107,0.67176,MPU1
-0.06616,-0.10254,0.97266,1.41985,-3.34351,0.80916,MPU2
-0.16089,0.28296,0.9458,2.94656,-0.58015,1.28244,MPU1
-0.04663,-0.0957,0.96387,-1.87786,1.0229,0.38168,MPU2
-0.17749,0.28003,0.96631,0.38168,-0.64122,0.71756,MPU1
-0.06885,-0.10083,0.94995,-1.64885,-3.12977,-0.33588,MPU2
-0.17041,0.27246,0.95923,2.15267,-1.54198,0.53435,MPU1
-0.08057,-0.10229,0.94531,-3.37405,-3.17557,0.90076,MPU2
-0.17065,0.29126,0.96558,-0.51908,-4.1374,3.29771,MPU1
-0.0376,-0.09595,1.00146,1.20611,-2.76336,1.64885,MPU2
-0.16895,0.28687,0.9646,0.77863,-2.24427,3.40458,MPU1
-0.03247,-0.07178,0.96924,-2.25954,-3.0229,0.06107,MPU2
-0.15112,0.29663,0.97925,3.34351,-3.32824,2.21374,MPU1
-0.0542,-0.07861,0.95532,0.1374,-4.54962,0.80916,MPU2
-0.15869,0.29272,0.93628,1.32824,2.79389,0.61069,MPU1
-0.05908,-0.09155,0.94946,-1.9542,-5.1145,0.33588,MPU2
-0.16479,0.28687,0.93018,0.10687,6.22901,2.32061,MPU1
-0.05957,-0.104,1.09668,45.93893,14.36641,28.90076,MPU2
1.85181,-0.37866,1.47778,335.09924,127.05344,-435.95419,MPU1
-0.97388,-3.22705,0.03369,403.66412,-73.83206,500.25955,MPU2
-0.62793,0.72729,0.08398,-81.45038,-100.87023,-220.99237,MPU1
0.87231,0.16675,2.15649,-73.28244,-8.50382,53.96947,MPU2
-0.56812,0.54102,1.10327,-48.45802,-52.30534,-18.62595,MPU1
0.37988,-0.0166,1.13135,-61.52672,-33.84733,33.45038,MPU2
-0.39307,0.22925,0.93579,-34.71756,-5.37405,-5.74046,MPU1
0.48999,0.02441,1.22266,-13.58779,-5.64885,-9.0229,MPU2
-0.4563,0.2793,1.05298,5.0687,0.70229,11.72519,MPU1
0.36377,-0.01782,1.04004,2.96183,6.36641,-0.82443,MPU2
-0.21826,0.24634,0.90088,-16.15267,1.83206,-4.61069,MPU1
0.27441,-0.021,0.91699,-5.20611,-0.91603,-3.8626,MPU2
-0.33887,0.26929,0.9624,9.08397,5.25191,4.59542,MPU1
0.34131,-0.01489,0.93677,3.77099,7.20611,-4.91603,MPU2
-0.35571,0.27051,0.9834,3.43511,-3.12977,7.32824,MPU1
0.23706,-0.00488,0.9668,2.59542,-4.18321,4.90076,MPU2
-0.25854,0.23315,0.98242,9.26718,7.19084,2.9313,MPU1
0.27393,-0.03247,0.92334,-1.25191,-2.06107,1.93893,MPU2
-0.23584,0.22437,0.8938,1.16031,5.60305,-3.0229,MPU1
0.25781,-0.02393,0.87646,-4.50382,-1.55725,4.9313,MPU2
-0.22559,0.23999,0.89917,3.20611,5.19084,2.25954,MPU1
0.26001,-0.04517,0.90869,-3.41985,2.61069,-1.87786,MPU2
-0.28027,0.26807,0.97974,4.61069,-0.65649,7.29771,MPU1
0.27637,-0.03149,1.0022,5.1145,-0.35115,-4.54962,MPU2
-0.31641,0.26587,0.92798,3.46565,5.93893,6.10687,MPU1
0.30835,-0.01855,0.93188,7.23664,1.87786,-2.07634,MPU2
-0.32349,0.26074,0.96606,10.51908,-0.71756,4.54962,MPU1
0.27344,-0.01782,0.91748,-5.28244,-4.71756,-5.32824,MPU2
-0.34937,0.26611,0.85693,2.33588,5.37405,1.1145,MPU1
0.2439,-0.04688,1.00757,4.24427,0.74809,-5.8626,MPU2
-0.34937,0.28418,0.92871,-0.0916,0.59542,8.30534,MPU1
0.24121,-0.02051,0.97803,3.49618,5.84733,-3.23664,MPU2
-0.34668,0.2854,0.95825,2.90076,0.50382,24.51908,MPU1
0.27686,-0.021,0.91992,5.64885,-6.1374,-2.51908,MPU2
-0.23535,0.27612,0.89844,9.38931,9.34351,-1.75573,MPU1
0.26123,-0.00244,0.94336,6.41221,-3.09924,-2.90076,MPU2
-0.36377,0.30176,0.95044,16.83969,1.23664,9.51145,MPU1
0.31982,-0.00977,0.98047,11.29771,-2.59542,-3.52672,MPU2
-0.25977,0.28125,0.89233,5.80153,6.53435,-9.67939,MPU1
0.28101,0.01538,0.90625,-3.00763,0.42748,-3.29771,MPU2
-0.37134,0.31689,0.89966,0.8855,2.0,6.71756,MPU1
0.24048,0.01929,0.91162,-5.0687,-1.83206,2.06107,MPU2
-0.37646,0.30542,0.896,2.06107,4.25954,13.52672,MPU1
0.27417,0.03784,0.94946,1.78626,-0.36641,1.38931,MPU2
-0.32715,0.30176,0.93335,11.0687,3.03817,11.05344,MPU1
0.23999,0.02759,0.92188,1.9542,-3.67939,6.35115,MPU2
-0.16357,0.27661,0.89941,8.82443,15.51145,-13.40458,MPU1
0.27881,0.01758,0.90405,-0.91603,3.0229,-0.16794,MPU2
-0.38647,0.3396,0.93091,6.15267,0.51908,7.28244,MPU1
0.28247,0.02417,0.99854,8.48855,-0.12214,2.76336,MPU2
-0.33154,0.31885,0.88721,7.17557,6.35115,3.17557,MPU1
0.30176,0.02856,0.88965,-11.09924,-1.0687,-3.45038,MPU2
-0.38525,0.3457,0.93066,11.00763,2.25954,9.38931,MPU1
0.28955,0.01318,0.97314,5.28244,-0.39695,1.74046,MPU2
-0.31592,0.28247,0.93384,14.41221,9.20611,-18.0,MPU1
0.28906,0.00562,0.91528,-4.8855,5.69466,-2.56489,MPU2
-0.33765,0.32471,0.88281,-0.74809,3.77099,-0.99237,MPU1
