gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
1.25191,0.12214,0.99237,-0.27344,-0.06079,0.93799,MPU1
-4.42748,-1.32824,-0.10687,-0.00098,-0.16284,0.9541,MPU2
0.19847,-1.00763,1.16031,-0.28394,-0.0564,0.93701,MPU1
-1.29771,-0.50382,1.52672,-0.00269,-0.18115,0.97192,MPU2
1.14504,-0.85496,0.76336,-0.28638,-0.07227,0.94507,MPU1
-4.74809,-1.12977,0.59542,-0.01392,-0.18774,0.96851,MPU2
1.25191,-0.1374,2.99237,-0.28662,-0.06787,0.96362,MPU1
2.32061,1.57252,1.34351,0.02246,-0.18042,0.99023,MPU2
1.34351,-1.51145,-0.10687,-0.26172,-0.06641,0.95117,MPU1
-4.30534,-2.38168,-2.44275,0.00732,-0.17261,0.95923,MPU2
1.54198,-2.21374,0.33588,-0.30273,-0.05811,0.9668,MPU1
-0.80916,1.00763,1.64885,-0.01807,-0.18311,0.98291,MPU2
0.48855,0.38168,-0.65649,-0.25464,-0.06689,0.92358,MPU1
-8.70229,-2.68702,-1.38931,0.00171,-0.17896,0.93823,MPU2
1.74046,-1.35878,1.25191,-0.28955,-0.0686,0.96729,MPU1
1.54198,1.0687,1.22137,0.00977,-0.18555,0.9873,MPU2
3.41985,0.48855,1.49618,-0.28027,-0.05347,0.9519,MPU1
-3.14504,-0.51908,-0.58015,0.00488,-0.16162,0.92871,MPU2
-3.51145,-1.75573,0.51908,-0.30273,-0.04907,0.91431,MPU1
-1.77099,0.53435,2.62595,0.00073,-0.20459,1.02539,MPU2
4.12214,1.69466,2.51908,-0.27686,-0.07397,0.97412,MPU1
-3.54198,0.06107,1.19084,-0.00562,-0.17822,0.92773,MPU2
-0.56489,0.80916,0.47328,-0.26855,-0.06348,0.93896,MPU1
-4.22901,-0.62595,0.0,-0.0105,-0.19067,0.96436,MPU2
-0.07634,1.35878,0.91603,-0.2793,-0.06519,0.94629,MPU1
-5.00763,-0.9771,0.56489,0.00073,-0.17847,0.94165,MPU2
-0.0916,-2.74809,-0.39695,-0.29761,-0.06909,0.96606,MPU1
-3.00763,-2.30534,-0.06107,-0.03125,-0.21118,0.98218,MPU2
3.57252,1.41985,3.25191,-0.30542,-0.09204,0.95483,MPU1
2.48855,1.89313,3.80153,0.00171,-0.19678,0.98657,MPU2
3.31298,1.38931,2.44275,-0.25391,-0.06787,0.94165,MPU1
-3.41985,-1.78626,-0.38168,0.02222,-0.15991,0.91309,MPU2
-1.72519,-2.16794,-0.87023,-0.2688,-0.0603,0.92944,MPU1
-2.36641,-3.49618,-0.71756,-0.00317,-0.2002,1.00024,MPU2
3.52672,-1.32824,0.96183,-0.28955,-0.07983,0.97925,MPU1
1.70992,1.08397,-0.1374,-0.00317,-0.18896,0.98096,MPU2
3.31298,0.21374,0.25954,-0.27344,-0.05371,0.93506,MPU1
-2.45802,-0.50382,-1.84733,-0.0022,-0.16504,0.93457,MPU2
1.37405,-1.0229,0.48855,-0.29297,-0.05957,0.9436,MPU1
-0.12214,-2.1374,0.64122,-0.02075,-0.19922,0.97339,MPU2
1.37405,-0.0916,1.98473,-0.2937,-0.06494,0.94067,MPU1
-1.63359,-1.20611,1.54198,0.00757,-0.19629,0.95557,MPU2
2.07634,-0.12214,1.74046,-0.27271,-0.0752,0.95679,MPU1
-0.77863,-0.90076,0.67176,0.01807,-0.18066,0.97925,MPU2
1.25191,0.24427,0.29008,-0.271,-0.06567,0.93213,MPU1
-2.36641,0.35115,0.22901,-0.00757,-0.19141,0.97144,MPU2
1.78626,-0.44275,0.51908,-0.27271,-0.0603,0.92212,MPU1
-1.61832,-1.89313,-0.45802,0.01953,-0.17554,0.94434,MPU2
0.67176,-0.67176,0.54962,-0.28711,-0.06567,0.95947,MPU1
-2.29008,1.0229,0.44275,0.00293,-0.18433,0.9751,MPU2
0.33588,0.94656,0.85496,-0.27124,-0.05127,0.92969,MPU1
-3.28244,-0.36641,-1.25191,0.01514,-0.17261,0.94678,MPU2
-0.9313,-1.9084,-2.22901,-0.29004,-0.0708,0.95752,MPU1
