acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.25293,0.02246,0.98047,9.32824,2.06107,-1.38931,MPU1
-0.14722,-0.19263,0.8833,3.20611,0.71756,-3.60305,MPU2
-0.17969,-0.31982,0.89575,4.25191,1.41221,3.1145,MPU2
-0.26001,-0.06958,0.91772,5.03817,1.84733,4.45802,MPU1
-0.16968,-0.28491,0.83911,0.48855,1.67176,4.77863,MPU2
-0.21826,-0.04663,0.83838,-2.38168,5.16031,2.0916,MPU1
-0.15332,-0.24023,0.7583,-13.58015,2.69466,1.9771,MPU2
-0.23071,-0.0332,0.74097,-18.79389,10.90076,0.39695,MPU1
-0.21655,-0.23389,0.65137,-32.82443,6.42748,5.87786,MPU2
-0.28271,-0.01831,0.56934,-35.52672,23.51145,20.59542,MPU1
-0.02515,-0.08301,0.26221,-64.38168,2.40458,30.67939,MPU2
0.19653,-0.01416,0.08472,-100.91603,2.70229,17.66412,MPU1
0.27637,-0.02832,-0.11719,-154.64122,-7.91603,-11.78626,MPU2
0.25952,-0.2522,-0.43311,-211.9084,29.43511,-56.30534,MPU1
0.11328,-0.45728,-0.61694,-250.13741,-16.0916,-74.19847,MPU2
-0.37305,-1.03076,-0.66357,-370.27481,13.80153,-61.29771,MPU1
-0.31567,-1.75684,-0.50049,-250.13741,-98.90076,-20.12214,MPU2
-0.45337,-2.13062,0.34424,-332.61069,-47.66412,-0.51908,MPU1
0.16919,-2,-0.29785,-250.13741,-105.38931,-67.03053,MPU2
-0.62378,-2.53174,0.41089,-386.27481,-85.87786,-71.90839,MPU1
-0.07764,-2,0.63184,-250.13741,-202.58015,-82.80916,MPU2
-0.42871,-1.99658,2.22974,-129.771,-30.79389,-28.29008,MPU1
0.03809,-2,1.18799,17.12214,106.39695,53.23664,MPU2
-0.15405,-1.32324,0.46753,49.17557,144.25954,57.98473,MPU1
0.56836,-1.21802,-0.05542,14.43511,94.59542,41.47328,MPU2
0.14526,-1.15186,0.35986,46.21374,52.70229,-5.22137,MPU1
0.24292,-1.04346,-0.16064,33.78626,41.66412,-6.57252,MPU2
-0.06006,-0.96387,0.06396,41.49618,18.80916,-26.59542,MPU1
0.04736,-0.98853,-0.25049,35.54962,20.84733,-25.84733,MPU2
-0.30176,-0.94434,0.00513,41.19084,4.54962,-18.79389,MPU1
-0.08789,-1.0127,-0.31909,27.48855,26.10687,-2.76336,MPU2
-0.27319,-0.94604,-0.07251,34.24427,27.12977,-3.93893,MPU1
-0.04932,-0.97681,-0.33789,26.89313,28.1145,2.76336,MPU2
-0.24292,-0.92358,-0.13623,27.35878,19.9542,-2.8855,MPU1
-0.04492,-0.93652,-0.40869,9.60305,6.15267,2.28244,MPU2
-0.2583,-0.92798,-0.10498,0.65649,-17.63359,5.32824,MPU1
0.02563,-0.97852,-0.33301,-7.84733,-21.01527,2.9084,MPU2
-0.15991,-0.97632,0.02563,-5.9084,3.05344,11.9084,MPU1
0.12012,-1.03784,-0.14893,-5.76336,16.44275,13.12214,MPU2
-0.14282,-0.99585,0.10571,3.26718,21.93893,6.29008,MPU1
0.09131,-1.02295,-0.22217,-8.31298,15.65649,7.51908,MPU2
-0.16724,-0.98633,0.11279,7.31298,4.0458,4.9313,MPU1
0.08203,-1.04492,-0.15527,-1.12977,-2.99237,0.9542,MPU2
-0.18237,-0.98315,0.14209,5.12977,-3.41985,1.78626,MPU1
0.03394,-1.04126,-0.1665,1.0229,-3.56489,1.59542,MPU2
-0.16821,-0.97559,0.12134,7.28244,-5.67939,2.27481,MPU1
0.05786,-1.0354,-0.17969,4.59542,-1.38931,-0.29008,MPU2
-0.1897,-0.9668,0.10742,11.66412,-0.91603,1.60305,MPU1
0.05786,-1.01929,-0.21558,6.9313,-0.61832,-0.71756,MPU2
