acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.26611,-0.09888,0.97437,2.25954,-0.85496,0.41221,MPU1
-0.27661,-0.31494,0.87378,-1.9542,-2.19847,-1.9542,MPU2
-0.29248,-0.08594,0.97363,2.51908,-0.90076,0.22901,MPU1
-0.29321,-0.31812,0.86475,-3.70992,-0.0458,1.9084,MPU2
-0.24976,-0.08154,0.97803,2.54962,1.34351,3.77099,MPU1
-0.28418,-0.33398,0.88086,0.70229,-2.58015,0.01527,MPU2
-0.26318,-0.07764,0.95117,2.73282,0.38168,0.54962,MPU1
-0.27368,-0.30957,0.86548,-3.16031,0.51908,1.34351,MPU2
-0.24731,-0.07812,0.96484,1.51145,-1.35878,-0.64122,MPU1
-0.24756,-0.31348,0.88574,-1.0229,-1.61832,-1.78626,MPU2
-0.26416,-0.08545,0.96143,0.64122,0.06107,0.07634,MPU1
-0.28857,-0.32471,0.88428,-2.41221,1.77099,1.51145,MPU2
-0.24829,-0.08887,0.97681,1.81679,-0.0916,-1.41985,MPU1
-0.27686,-0.30811,0.88623,0.96183,-4.1374,-2.73282,MPU2
-0.27979,-0.073,0.9292,0.03053,2.48855,1.16031,MPU1
-0.302,-0.33472,0.88159,-3.74046,-1.08397,0.18321,MPU2
-0.27661,-0.09326,0.99463,4.47328,-3.69466,0.15267,MPU1
-0.27759,-0.31934,0.89307,2.16794,-0.9771,0.18321,MPU2
-0.26758,-0.07397,0.94336,2.65649,-0.16794,2.62595,MPU1
-0.28784,-0.30664,0.85596,-4.1374,-3.17557,1.00763,MPU2
-0.22461,-0.09692,0.98438,4.1374,-0.38168,-0.68702,MPU1
-0.26709,-0.31323,0.87256,-1.08397,-0.32061,0.19847,MPU2
-0.23047,-0.08545,0.96484,2.96183,3.00763,-1.60305,MPU1
-0.2854,-0.32422,0.87988,-1.40458,-5.84733,-0.9771,MPU2
-0.25171,-0.07227,0.97217,3.83206,-0.94656,-1.70992,MPU1
-0.26294,-0.31616,0.87842,-0.91603,0.38168,-1.25191,MPU2
-0.27905,-0.0835,0.96167,2.73282,0.30534,-0.33588,MPU1
-0.29541,-0.31689,0.87476,-0.03053,-2.32061,-1.51145,MPU2
-0.26855,-0.0835,0.9436,2.1374,1.52672,-1.03817,MPU1
-0.28613,-0.3125,0.87012,-3.43511,2.29008,-0.30534,MPU2
-0.31787,-0.0686,0.94824,2.39695,-2.39695,6.01527,MPU1
-0.25342,-0.30786,0.8728,-0.44275,0.48855,0.80916,MPU2
-0.24194,-0.0686,0.93237,0.67176,2.87023,-1.25191,MPU1
-0.27222,-0.31787,0.88013,-1.55725,-1.9542,-1.61832,MPU2
-0.32349,-0.06738,0.96826,1.05344,-5.20611,3.67939,MPU1
