acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.12427,0.20459,0.96558,-0.29008,-1.46565,0.96183,MPU1
-0.10815,-0.22583,0.92065,-2.96183,-1.92366,0.03053,MPU2
-0.11621,0.20337,0.98145,0.48855,0.74809,0.33588,MPU1
-0.10864,-0.23267,0.927,-2.70229,-3.81679,-0.99237,MPU2
-0.12793,0.20923,0.9646,0.16794,-1.35878,0.91603,MPU1
-0.10278,-0.23267,0.95166,-2.85496,3.29771,0.68702,MPU2
-0.12793,0.21826,0.97754,-1.87786,0.83969,0.9313,MPU1
-0.11426,-0.24365,0.95581,-3.48092,-3.25191,-0.59542,MPU2
-0.11694,0.19629,1.01147,1.03817,0.25954,-0.27481,MPU1
-0.12378,-0.25415,0.96436,-2.38168,2.06107,2.70229,MPU2
-0.12207,0.19409,0.99414,2.35115,-2.29008,2.90076,MPU1
-0.09106,-0.22852,0.93091,0.0,-5.38931,-0.45802,MPU2
-0.10327,0.20337,0.95532,2.32061,2.32061,1.25191,MPU1
-0.09619,-0.22632,0.92529,-3.45038,1.54198,1.43511,MPU2
-0.11304,0.19995,0.99219,0.1374,-2.07634,0.8855,MPU1
-0.09692,-0.25439,0.95825,-2.29008,-0.61069,-0.61069,MPU2
-0.11548,0.19702,1.00146,3.1145,0.44275,0.0458,MPU1
-0.10742,-0.24658,0.92896,-0.9771,1.35878,0.15267,MPU2
-0.1228,0.20532,0.97705,2.39695,-2.39695,0.62595,MPU1
-0.09937,-0.2334,0.92554,-3.0687,-2.65649,-0.12214,MPU2
-0.11401,0.20093,0.97974,1.72519,3.20611,1.49618,MPU1
-0.11255,-0.23584,0.94116,-2.22901,-2.36641,0.58015,MPU2
-0.1145,0.20752,0.98267,1.48092,-1.70992,0.90076,MPU1
-0.09277,-0.23804,0.94849,-2.03053,0.79389,-0.16794,MPU2
-0.12109,0.20459,1.0,3.0229,-1.81679,0.82443,MPU1
-0.10962,-0.23438,0.9436,0.65649,-2.56489,-0.01527,MPU2
-0.11401,0.20361,0.96973,1.41985,-0.58015,0.58015,MPU1
-0.11816,-0.23608,0.92871,-1.69466,-1.63359,0.44275,MPU2
-0.12769,0.20508,0.99902,3.93893,2.45802,1.60305,MPU1
-0.125,-0.24146,0.92358,-2.56489,-2.48855,2.01527,MPU2
-0.10449,0.20068,0.98438,3.31298,1.31298,1.0687,MPU1
-0.11719,-0.2395,0.93115,-1.66412,-1.05344,1.66412,MPU2
-0.10986,0.20166,0.9812,2.06107,-1.20611,1.40458,MPU1
-0.09619,-0.24536,0.95093,0.01527,1.92366,0.35115,MPU2
-0.12329,0.20532,0.96216,0.25954,-2.07634,1.32824,MPU1
-0.10693,-0.24438,0.94727,-2.33588,-1.98473,0.50382,MPU2
-0.11182,0.19507,0.97876,1.72519,-1.83206,0.8855,MPU1
-0.09985,-0.24683,0.95239,-1.49618,-0.94656,-0.32061,MPU2
-0.12329,0.20508,1.00269,1.89313,0.39695,0.18321,MPU1
-0.10327,-0.24219,0.94214,-0.67176,-0.54962,-0.10687,MPU2
-0.13062,0.19312,0.96777,1.34351,-1.92366,1.0229,MPU1
-0.09937,-0.23389,0.9375,-1.34351,-1.19084,-0.35115,MPU2
-0.11597,0.19922,0.98511,1.20611,-1.32824,-0.27481,MPU1
-0.11011,-0.23804,0.92749,-2.10687,-2.07634,-0.27481,MPU2
-0.12744,0.19946,0.99072,2.62595,0.67176,0.74809,MPU1
-0.12231,-0.2478,0.95947,-1.52672,1.25191,0.73282,MPU2
-0.15259,0.20435,0.98022,1.55725,-0.96183,2.51908,MPU1
-0.12866,-0.24878,0.94604,-1.8626,-0.25954,3.8626,MPU2
-0.12305,0.21118,0.98291,2.67176,1.31298,3.74046,MPU1
-0.10425,-0.23999,0.92969,-1.9542,-3.38931,2.15267,MPU2
-0.09302,0.20288,0.97827,2.0458,-1.98473,3.38931,MPU1
-0.08301,-0.23389,0.93921,-2.58015,-1.1145,1.81679,MPU2
-0.10181,0.1936,0.99072,0.25954,-1.55725,1.98473,MPU1
-0.08252,-0.24707,0.97339,-0.9771,-2.77863,1.0229,MPU2
-0.09473,0.19775,0.99219,1.67939,-2.21374,1.66412,MPU1
-0.08643,-0.23193,0.94067,-2.45802,-3.66412,-0.42748,MPU2
-0.09839,0.20459,0.98706,0.42748,-1.70992,0.99237,MPU1
-0.09229,-0.24951,0.95215,0.29008,-2.8855,-1.0687,MPU2
-0.11279,0.20459,0.97559,1.08397,-1.89313,1.16031,MPU1
-0.09033,-0.24194,0.94727,-1.51145,-1.64885,-1.03817,MPU2
-0.1123,0.20142,0.98193,2.35115,-2.68702,-0.32061,MPU1
-0.1001,-0.2356,0.92261,-4.82443,-0.33588,-2.68702,MPU2
-0.12329,0.21387,0.9624,0.83969,-0.79389,1.20611,MPU1
-0.10425,-0.25366,0.94434,-1.78626,-1.29771,0.22901,MPU2
-0.11304,0.20459,0.95947,-1.05344,-3.80153,1.54198,MPU1
-0.07764,-0.22559,0.90991,-10.36641,-2.0,0.01527,MPU2
-0.08545,0.20239,0.99292,-0.47328,-0.32061,2.01527,MPU1
-0.08862,-0.25049,0.96045,-2.0,-1.08397,0.29008,MPU2
-0.1062,0.21045,0.99243,1.38931,-0.73282,2.16794,MPU1
-0.08984,-0.25488,0.948,-2.06107,-1.61832,0.30534,MPU2
-0.09692,0.2063,0.99951,2.24427,-1.92366,1.25191,MPU1
-0.07007,-0.26196,0.97656,4.64122,4.9771,-0.62595,MPU2
-0.1167,0.20386,0.97437,2.56489,-0.77863,0.0916,MPU1
-0.11694,-0.24048,0.91162,-3.03817,-6.47328,0.0458,MPU2
-0.10815,0.20825,0.97363,1.63359,-2.41221,3.16031,MPU1
-0.12036,-0.27661,0.98462,-1.00763,-0.07634,0.65649,MPU2
-0.09912,0.2085,0.97729,2.96183,-2.30534,1.22137,MPU1
-0.06177,-0.21606,0.85059,-20.94657,5.66412,-3.98473,MPU2
-0.073,0.19653,0.92578,-8.41221,-5.29771,-5.87786,MPU1
1.02344,0.32056,-1.96802,-500.27481,351.74045,-0.01527,MPU2
1.16675,0.09546,0.10254,-144.35115,-50.79389,-71.70992,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
