gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
3.08397,-1.17557,1.29771,-0.08374,-0.15088,1.00269,MPU1
-1.09924,-0.71756,0.41221,0.13501,-0.15381,0.96387,MPU2
0.1374,0.58015,2.01527,-0.08691,-0.14014,0.97852,MPU1
-2.42748,-2.0458,0.42748,0.14697,-0.14233,0.93164,MPU2
1.35878,-1.1145,-0.73282,-0.07202,-0.15454,1.00391,MPU1
-1.92366,0.47328,-0.73282,0.13892,-0.15454,0.95337,MPU2
5.74046,-3.41985,-1.25191,-0.09082,-0.14795,1.00122,MPU1
-1.89313,-1.1145,-0.19847,0.11279,-0.16333,0.95996,MPU2
1.69466,-3.32824,2.24427,-0.10938,-0.1416,0.95044,MPU1
-2.39695,0.94656,1.32824,0.12524,-0.15405,0.96606,MPU2
2.0,-2.53435,0.90076,-0.07861,-0.15552,1.01733,MPU1
-1.9542,-0.38168,-0.01527,0.13477,-0.15259,0.95044,MPU2
3.32824,-1.26718,2.21374,-0.09326,-0.13672,1.00049,MPU1
-2.22901,-1.40458,-0.45802,0.14209,-0.13745,0.93115,MPU2
1.22137,-0.61069,0.07634,-0.06567,-0.14087,0.98438,MPU1
-0.54962,0.54962,0.16794,0.12939,-0.15308,0.96118,MPU2
1.20611,1.12977,0.9771,-0.09448,-0.13647,0.98022,MPU1
-0.83969,-0.99237,0.85496,0.12939,-0.15967,0.96191,MPU2
1.19084,-0.39695,1.32824,-0.0791,-0.14185,0.98804,MPU1
-1.84733,-0.73282,-0.36641,0.13867,-0.15039,0.96924,MPU2
0.10687,-0.73282,0.61069,-0.08374,-0.14502,0.9939,MPU1
-1.38931,-0.64122,1.20611,0.11548,-0.16211,0.9751,MPU2
0.67176,-0.07634,1.19084,-0.08887,-0.14844,1.00977,MPU1
-0.70229,-0.25954,0.53435,0.14136,-0.15894,0.96216,MPU2
1.78626,-1.00763,0.19847,-0.06958,-0.13062,0.98438,MPU1
-3.45038,-2.56489,-0.50382,0.12256,-0.15161,0.94946,MPU2
1.38931,-1.16031,2.18321,-0.10083,-0.14282,1.00146,MPU1
-0.85496,0.50382,2.24427,0.12427,-0.16577,0.96582,MPU2
2.68702,-0.07634,1.31298,-0.06543,-0.15503,1.0,MPU1
-0.82443,0.03053,-0.80916,0.15088,-0.1499,0.95288,MPU2
2.56489,-0.79389,-0.79389,-0.06738,-0.14087,0.979,MPU1
-2.35115,-2.07634,-0.61069,0.12622,-0.15161,0.95142,MPU2
6.18321,-8.56489,-0.51908,-0.07983,-0.14575,1.02246,MPU1
3.03817,1.57252,-1.70992,0.13379,-0.16846,0.99756,MPU2
17.22137,-2.9313,-7.52672,-0.05225,-0.13989,0.96826,MPU1
-1.08397,0.39695,1.1145,0.0979,-0.16211,0.97046,MPU2
19.69466,34.87023,-28.68702,-0.21606,-0.06128,0.94946,MPU1
4.18321,-2.8855,3.00763,0.14209,-0.15747,1.00269,MPU2
7.80153,11.0687,-9.54198,-0.09644,-0.11377,1.00366,MPU1
-1.28244,-0.35115,1.16031,0.11182,-0.15039,0.94849,MPU2
2.76336,3.31298,0.12214,-0.12793,-0.09033,0.98193,MPU1
-2.80916,-1.22137,-0.61069,0.14307,-0.13403,0.9248,MPU2
-3.74046,-8.24428,2.82443,-0.12964,-0.09497,0.9624,MPU1
-2.06107,0.03053,1.09924,0.12012,-0.15796,0.97095,MPU2
-0.25954,-3.98473,5.19084,-0.11328,-0.11401,1.00439,MPU1
-3.60305,-1.1145,1.34351,0.12695,-0.14258,0.94116,MPU2
-2.39695,-2.33588,2.76336,-0.09644,-0.10205,0.9895,MPU1
-4.39695,-2.38168,-1.48092,0.14502,-0.14233,0.94312,MPU2
1.16031,-0.8855,1.0229,-0.1123,-0.12134,1.00537,MPU1
-2.25954,-0.64122,-0.54962,0.13184,-0.15674,0.95679,MPU2
-3.54198,-0.83969,0.0,-0.12109,-0.10742,0.97852,MPU1
-2.77863,-1.19084,1.05344,0.11108,-0.16455,0.9707,MPU2
3.9542,0.82443,3.25191,-0.11694,-0.11987,1.01172,MPU1
-3.64885,-1.45038,0.77863,0.13428,-0.1333,0.92432,MPU2
