acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.28345,0.11328,0.96509,3.22137,-1.84733,-0.19847,MPU1
-0.23071,-0.25732,0.88306,-1.63359,-1.64885,-1.19084,MPU2
-0.29004,0.11328,0.96094,1.9542,-1.78626,-0.19847,MPU1
-0.2312,-0.26538,0.91284,0.39695,-0.61069,-0.48855,MPU2
-0.29883,0.11914,0.95557,2.51908,-0.9771,0.73282,MPU1
-0.22388,-0.25806,0.88867,-1.81679,-0.12214,-1.0687,MPU2
-0.30835,0.11816,0.94824,1.83206,-0.70229,0.22901,MPU1
-0.23657,-0.25464,0.89673,-0.87023,-3.17557,0.25954,MPU2
-0.29224,0.12158,0.93262,0.79389,-0.33588,1.29771,MPU1
-0.25098,-0.25,0.85938,-4.96183,-2.65649,0.80916,MPU2
-0.3479,0.1228,0.92627,-3.23664,-4.0,2.56489,MPU1
-0.43335,-0.30444,0.8501,-3.83206,-13.49618,6.35115,MPU2
-0.86475,0.13843,0.76782,-18.36641,-19.64886,33.63359,MPU1
-1.17114,-0.42773,0.56299,-21.9542,-59.41985,55.23664,MPU2
-1.80664,0.06763,0.48779,-78.25954,-42.79389,164.30534,MPU1
-1.50195,-0.85376,0.32349,-88.1832,-125.41985,246.15266,MPU2
-1.30029,-0.50488,0.64575,-135.89313,-14.85496,354.97711,MPU1
-0.37939,-1.32495,0.73071,-96.56489,-142.19847,379.63358,MPU2
-0.02979,-1.01587,1.2334,-95.86259,-32.53435,365.43512,MPU1
0.57935,-1.11401,0.72266,-52.77863,-122.71756,333.70993,MPU2
0.45239,-0.90869,0.86353,-84.15267,-2.25954,332.74808,MPU1
1.14771,-0.79761,0.78735,-65.98473,-107.84733,238.10687,MPU2
1.17188,-0.74878,1.33154,-8.87023,8.1374,149.08397,MPU1
1.02124,-0.43848,0.89087,-21.60305,23.17557,77.52672,MPU2
0.3772,-0.21094,1.02515,-30.96183,40.0916,7.81679,MPU1
0.0127,-0.4707,1.00366,-24.68702,3.25191,-8.74809,MPU2
-0.48047,-0.06226,1.15796,-9.28244,20.65649,12.51908,MPU1
-0.27759,-0.41138,0.87158,-11.64886,0.58015,19.93893,MPU2
-0.21338,-0.09204,0.97485,-17.86259,-5.25191,15.64886,MPU1
-0.06738,-0.42578,0.9563,-9.84733,-2.35115,11.28244,MPU2
-0.21729,-0.1084,0.93604,-5.51145,6.25954,10.15267,MPU1
-0.07397,-0.42407,0.88989,-8.96183,4.39695,3.0687,MPU2
-0.27271,-0.11255,1.0188,1.28244,2.21374,4.35115,MPU1
-0.13867,-0.44678,0.86279,-4.54962,-0.85496,6.0458,MPU2
