acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.32886,0.09814,0.95752,2.54962,-1.48092,1.38931,MPU1
-0.2063,-0.28857,0.89404,-1.08397,-2.22901,0.82443,MPU2
-0.32007,0.10278,0.92871,0.82443,0.21374,1.37405,MPU1
-0.19409,-0.29517,0.896,-1.81679,0.12214,0.85496,MPU2
-0.30981,0.09888,0.93774,0.44275,-1.05344,0.0916,MPU1
-0.19409,-0.29419,0.89136,-5.1145,-2.56489,-1.00763,MPU2
-0.33179,0.09253,0.96411,0.83969,-0.29008,1.19084,MPU1
-0.19409,-0.29004,0.91187,-1.98473,-0.07634,-0.32061,MPU2
-0.3313,0.10498,0.94531,0.35115,-3.35878,0.32061,MPU1
-0.21362,-0.30127,0.9082,-2.0,-3.49618,0.30534,MPU2
-0.32129,0.09619,0.9563,1.49618,0.33588,1.46565,MPU1
-0.17432,-0.29346,0.88257,-3.54198,-1.03817,-0.35115,MPU2
-0.29004,0.08105,0.9917,2.54962,-1.19084,-0.91603,MPU1
-0.15234,-0.31934,0.91309,-0.87023,-3.70992,-1.67939,MPU2
-0.2041,0.02979,1.00488,2.73282,1.93893,0.18321,MPU1
0.23926,-0.46826,1.12915,2.12214,17.74046,4.32061,MPU2
0.521,-0.17798,1.42334,22.68702,17.92366,12.53435,MPU1
1.63403,-0.70386,1.82935,58.51908,115.20611,-84.16794,MPU2
1.41895,-0.64673,2.10962,155.60306,45.63359,-189.28244,MPU1
1.50293,-0.98486,1.33325,167.58778,101.8168,-233.96947,MPU2
1.01807,-1.13794,1.40576,247.84734,13.28244,-318.64124,MPU1
1.05591,-1.53125,0.84668,219.771,188.25954,-353.0687,MPU2
-0.40015,-1.34888,1.16968,271.60306,-54.48855,-338.83969,MPU1
-0.35986,-1.75659,0.28906,206.27481,49.03817,-334.04581,MPU2
-1.1272,-1.27124,0.52368,177.89313,-61.49618,-304.83969,MPU1
-0.8772,-1.59692,0.30762,122.42748,115.43511,-291.87787,MPU2
-1.7937,-0.87329,0.42114,118.44275,9.54198,-242.29007,MPU1
-1.45581,-1.25757,0.3772,85.37405,102.32061,-172.32062,MPU2
-1.61377,-0.45166,0.41919,104.01527,-11.64886,-132.68703,MPU1
-1.25122,-0.65503,0.00195,75.89313,-9.26718,-109.32825,MPU2
-0.93872,-0.22144,0.19458,63.63359,-28.15267,-100.99236,MPU1
-1.01416,-0.4519,0.10645,20.0,26.33588,-86.58015,MPU2
-1.2439,-0.0127,0.07886,-5.05344,-6.19847,-57.26717,MPU1
-1.03833,-0.43115,0.32983,-19.41985,12.79389,-39.69466,MPU2
-1.10498,0.05225,0.4375,-24.0916,16.24427,-26.70229,MPU1
-0.91919,-0.35547,0.51782,-39.49618,25.00763,-9.64886,MPU2
-0.98242,0.05298,0.64185,-33.63359,4.42748,-10.41221,MPU1
-0.85352,-0.37109,0.69116,-29.52672,-20.91603,3.41985,MPU2
-0.8147,0.07495,0.79663,-9.9542,4.44275,9.9542,MPU1
-0.63623,-0.30054,0.71289,-13.48092,0.74809,8.61069,MPU2
-0.67212,0.11523,0.74854,-2.06107,18.0458,4.80916,MPU1
-0.68384,-0.34595,0.74976,-6.24427,4.56489,14.01527,MPU2
-0.77319,0.12646,0.73828,-13.03817,4.12214,17.58779,MPU1
-0.55786,-0.29712,0.76025,-11.38931,3.38931,14.27481,MPU2
-0.68896,0.08887,0.78931,-0.61069,6.96183,10.9771,MPU1
-0.59692,-0.31055,0.70142,-10.94656,3.1145,12.96183,MPU2
-0.67139,0.09717,0.79443,-0.56489,7.58779,10.65649,MPU1
-0.59375,-0.32544,0.74634,-6.70229,-0.50382,14.48855,MPU2
-0.63208,0.11792,0.74976,-3.87786,-0.87023,12.62595,MPU1
-0.51367,-0.27905,0.71094,-5.8626,-8.07634,7.19084,MPU2
-0.61987,0.12012,0.72949,-6.25954,-4.47328,5.60305,MPU1
-0.52344,-0.28271,0.72217,-9.25191,-6.01527,1.9542,MPU2
-0.63672,0.10229,0.7168,-5.54198,9.17557,0.44275,MPU1
-0.61401,-0.31689,0.68042,-11.35878,0.0,5.25191,MPU2
