acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.26514,0.18164,0.94556,2.1374,1.1145,0.73282,MPU1
-0.1123,-0.09668,0.95312,-0.56489,0.77863,0.45802,MPU2
-0.28101,0.17725,0.9668,3.61832,0.32061,0.99237,MPU1
-0.12524,-0.09814,0.95483,0.0458,2.51908,1.74046,MPU2
-0.25903,0.18262,0.93384,2.10687,0.73282,1.29771,MPU1
-0.1123,-0.08765,0.94116,-3.26718,-2.85496,-0.01527,MPU2
-0.26562,0.18018,0.94214,-0.18321,-1.64885,0.47328,MPU1
-0.10913,-0.09839,0.96387,-3.57252,-3.54198,-0.70229,MPU2
-0.26733,0.17554,0.97241,3.63359,-0.74809,0.61069,MPU1
-0.11841,-0.09839,0.94824,-2.06107,-0.82443,0.39695,MPU2
-0.25879,0.18237,0.95288,0.32061,-1.64885,0.33588,MPU1
-0.10303,-0.10693,0.99707,0.0458,-0.07634,0.32061,MPU2
-0.2478,0.18384,0.9646,3.1145,0.58015,-0.39695,MPU1
-0.11157,-0.09375,0.94458,-1.54198,-0.68702,-1.38931,MPU2
-0.25684,0.17871,0.94141,0.65649,-2.96183,-0.9313,MPU1
-0.11743,-0.10596,0.97876,-1.09924,-0.06107,-0.99237,MPU2
-0.26733,0.18408,0.97388,3.67939,0.24427,-0.32061,MPU1
-0.11572,-0.10352,0.95825,-0.24427,-1.20611,-1.03817,MPU2
-0.26807,0.18262,0.94507,2.83969,-0.82443,-0.01527,MPU1
-0.12158,-0.10107,0.96558,0.71756,-0.76336,0.0,MPU2
-0.25781,0.17871,0.95923,4.0,-0.99237,0.27481,MPU1
-0.12866,-0.10669,0.93945,-0.48855,0.90076,-0.27481,MPU2
-0.2854,0.18384,0.97021,3.20611,-0.56489,1.57252,MPU1
-0.11719,-0.09863,0.96021,0.9771,2.58015,1.9542,MPU2
-0.23267,0.18652,0.90698,3.14504,0.32061,0.94656,MPU1
-0.11792,-0.07153,0.88257,-4.41221,-5.9084,-1.66412,MPU2
-0.23657,0.18164,0.94458,-0.36641,1.28244,-2.07634,MPU1
-0.11597,-0.10181,0.98657,-1.08397,-0.61069,-1.57252,MPU2
-0.28101,0.19409,0.99072,2.96183,-2.21374,0.36641,MPU1
-0.11206,-0.09741,0.98389,-0.76336,2.36641,-0.18321,MPU2
-0.25635,0.20093,0.95923,3.55725,1.14504,-0.68702,MPU1
-0.13281,-0.08716,0.94238,-0.82443,-2.03053,-0.83969,MPU2
-0.25439,0.19678,0.92847,1.84733,-0.12214,-0.32061,MPU1
-0.12793,-0.08984,0.95361,-0.73282,-0.07634,-0.44275,MPU2
-0.27783,0.19751,0.95483,1.48092,-2.22901,0.15267,MPU1
-0.13281,-0.08643,0.96875,-2.79389,-0.65649,0.22901,MPU2
-0.28101,0.19873,0.95093,1.40458,-3.54198,1.66412,MPU1
-0.11548,-0.09766,0.96704,-0.38168,0.01527,0.51908,MPU2
-0.26904,0.19507,0.94946,1.32824,2.06107,1.78626,MPU1
-0.10962,-0.09448,0.95728,-1.51145,-3.1145,0.76336,MPU2
-0.26855,0.18066,0.94775,1.52672,-1.8626,1.57252,MPU1
-0.11377,-0.1062,0.96875,-2.59542,-0.19847,1.81679,MPU2
-0.27441,0.19482,0.95996,2.48855,-0.74809,2.61069,MPU1
-0.09497,-0.0918,0.97168,-0.15267,-0.73282,0.9771,MPU2
-0.26172,0.18481,0.93896,0.65649,0.77863,2.16794,MPU1
-0.10669,-0.09253,0.95288,-2.50382,-2.0916,0.70229,MPU2
-0.23535,0.18799,0.96265,1.45038,-1.89313,0.39695,MPU1
-0.10083,-0.08594,0.94531,-1.98473,-2.27481,-1.12977,MPU2
-0.26074,0.19385,0.96362,2.96183,0.9771,-0.76336,MPU1
-0.11353,-0.09766,0.96045,-1.26718,-2.94656,-0.8855,MPU2
-0.27246,0.18164,0.96045,1.78626,-0.10687,0.80916,MPU1
-0.11597,-0.09937,0.97095,-0.47328,-1.55725,0.29008,MPU2
-0.26465,0.18774,0.93994,3.41985,-1.12977,0.44275,MPU1
-0.11475,-0.08789,0.94043,-2.79389,-2.76336,-0.10687,MPU2
-0.28906,0.19238,0.95508,1.00763,-2.44275,-0.62595,MPU1
-0.1228,-0.104,0.9563,-6.44275,-8.83969,3.75573,MPU2
-0.23193,0.18262,0.96143,0.15267,4.65649,3.34351,MPU1
-0.13379,-0.09009,0.9292,-6.36641,-1.12977,3.12977,MPU2
-0.24707,0.19312,0.94263,-4.0916,9.1145,4.21374,MPU1
-0.10059,-0.09033,0.94287,1.70992,8.91603,7.08397,MPU2
0.77051,-0.02051,1.1062,174.15266,189.87787,-296.48856,MPU1
-2.58789,-0.57495,1.17773,259.54199,-425.22137,500.25955,MPU2
-2.16064,-0.09033,-0.5332,64.54962,-381.72519,41.17557,MPU1
-1.54785,0.12329,0.80249,-109.37405,-6.01527,41.58779,MPU2
-0.00171,0.49292,0.69531,-68.91603,-34.68702,-47.38931,MPU1
