acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.43628,-0.45508,1.375,-25.60305,-8.65649,47.72519,MPU1
-0.28027,-1.05493,1.45117,-2.73282,-45.72519,34.32061,MPU2
-0.38232,-0.93384,2.46558,92.9771,-15.63359,50.65649,MPU1
-0.36597,-1.51709,2.23022,170.61069,2.62595,53.61832,MPU2
-0.59644,-1.11548,2.43896,264.96182,-50.1832,54.21374,MPU1
-0.32593,-1.52515,1.52466,353.32825,-64.94656,28.0916,MPU2
-0.62793,-1.10645,1.13525,399.25192,-91.69466,54.76336,MPU1
-0.45117,-1.27319,0.41333,426.06107,-17.58779,92.44275,MPU2
-0.49268,-0.93457,0.271,434.48856,-67.0687,79.70992,MPU1
-0.23291,-0.7561,-0.40991,432.13739,-93.12977,78.64122,MPU2
-0.32495,-0.47241,-0.18896,404.61069,-135.48091,76.42748,MPU1
-0.10132,-0.16089,-0.44263,350.24426,-81.67939,65.20611,MPU2
-0.01318,0.20508,-0.64575,334.51907,-46.27481,97.22137,MPU1
0.33496,0.61743,-0.71484,292.07632,25.96947,87.52672,MPU2
0.50073,0.92041,-1.4292,164.47328,54.10687,58.21374,MPU1
0.38672,1.37256,-1.4165,79.03817,-3.41985,51.51145,MPU2
0.4729,1.2085,-1.02197,10.58015,-35.52672,35.1145,MPU1
0.57788,1.23682,-0.375,-44.33588,-53.45038,11.43511,MPU2
0.55444,1.0459,0.06348,-41.96947,-28.03053,8.73282,MPU1
0.46606,0.87427,0.51318,-38.77863,0.29008,-1.89313,MPU2
0.37183,0.9209,0.22021,12.10687,43.64885,-19.60305,MPU1
0.16138,0.927,0.02173,13.35878,53.26717,-9.87786,MPU2
0.12842,0.97754,-0.16431,-13.72519,10.0,-7.29771,MPU1
0.19653,0.93774,-0.08691,-22.50382,-14.41221,-17.23664,MPU2
0.21509,0.9917,-0.1875,-27.1145,-0.9771,-9.84733,MPU1
0.22119,0.94922,0.06104,-35.31298,16.58015,-5.31298,MPU2
0.26221,0.979,0.03955,-27.93893,22.01527,-14.41221,MPU1
0.1875,0.92578,0.20654,-24.50382,8.8855,-16.83969,MPU2
0.18481,1.00366,0.12476,-16.76336,8.33588,-17.96947,MPU1
0.14893,0.93042,0.22192,-17.45038,11.60305,-13.16031,MPU2
0.14868,1.03784,0.10986,-6.06107,10.94656,-15.45038,MPU1
0.07495,0.9353,0.22241,-15.87786,17.0687,-9.93893,MPU2
0.09253,1.00757,0.08154,-3.45038,21.03817,-4.38168,MPU1
0.0542,0.9707,0.09473,-19.0229,8.33588,1.22137,MPU2
0.17578,1.01025,0.02148,-17.05343,10.35114,-1.84733,MPU1
0.13574,0.96851,0.11475,-30.27481,3.40458,-4.67176,MPU2
0.1084,1.01392,0.05811,-31.25191,-4.12214,-1.37405,MPU1
0.14111,0.90552,0.31519,-31.0229,-8.9313,-4.56489,MPU2
0.19214,0.9939,0.27222,-16.27481,3.17557,-6.45802,MPU1
0.12451,0.87183,0.43994,-15.87786,8.67176,-4.03053,MPU2
0.09912,0.99316,0.2854,-1.26718,4.76336,0.16794,MPU1
0.10352,0.89526,0.36719,-5.40458,7.22137,1.31298,MPU2
0.15088,1.01245,0.2002,3.37405,1.92366,-0.99237,MPU1
0.09741,0.92358,0.26416,-9.77099,-3.72519,-1.78626,MPU2
0.1189,0.99927,0.15771,-5.20611,-3.29771,2.71756,MPU1
0.13159,0.90479,0.28979,-11.9542,-5.0229,0.35115,MPU2
0.18921,0.98999,0.17822,-9.20611,-5.96947,-2.74809,MPU1
0.13403,0.8894,0.32861,-13.0229,-1.84733,-4.77863,MPU2
0.15869,0.99341,0.18286,-6.41221,5.41985,-3.14504,MPU1
0.1106,0.9021,0.31665,-10.42748,6.82443,-4.06107,MPU2
0.16626,0.99683,0.18359,-5.38931,4.0458,-10.91603,MPU1
0.10718,0.87427,0.33887,-8.27481,7.14504,-5.1145,MPU2
0.11255,1.00732,0.18799,-3.74046,4.30534,-2.8855,MPU1
0.04858,0.88599,0.33496,-10.96183,1.1145,-0.76336,MPU2
0.09888,0.98999,0.25879,-1.41985,-1.49618,1.14504,MPU1
0.04419,0.86353,0.41699,-2.22901,-1.57252,2.39695,MPU2
0.12085,0.99365,0.24146,0.90076,-0.1374,3.63359,MPU1
0.09692,0.89331,0.34009,-3.81679,-2.50382,1.58779,MPU2
0.15649,1.00513,0.20679,0.90076,-2.82443,2.18321,MPU1
0.09375,0.8833,0.35156,-2.64122,-1.67939,1.0687,MPU2
0.14136,1.00586,0.21606,0.12214,-0.9313,0.50382,MPU1
0.10083,0.89038,0.36597,-1.69466,-2.9313,-0.53435,MPU2
0.13086,0.99878,0.20068,0.30534,3.67939,0.65649,MPU1
0.09424,0.88647,0.34473,-1.48092,0.01527,0.68702,MPU2
0.11377,1.00195,0.19727,0.1374,0.27481,1.31298,MPU1
0.10254,0.89575,0.32812,-3.09924,2.19847,1.49618,MPU2
0.14697,0.99854,0.21411,0.21374,2.32061,-0.9771,MPU1
0.09302,0.88379,0.354,-4.15267,-3.61832,-0.65649,MPU2
0.15527,0.9895,0.23584,1.41985,1.22137,-2.70229,MPU1
0.11768,0.88794,0.36865,-1.35878,6.06107,-0.41221,MPU2
0.15845,1.00537,0.18188,-0.0916,13.48092,-3.66412,MPU1
0.10059,0.89917,0.32593,-6.85496,12.21374,-0.58015,MPU2
0.11475,0.99976,0.20312,-3.55725,6.53435,-5.55725,MPU1
0.04761,0.88281,0.34326,-7.64885,-3.96947,-2.45802,MPU2
0.10156,0.98315,0.26465,-1.16031,-2.9771,-0.15267,MPU1
0.08838,0.87329,0.39038,-2.94656,1.05344,-0.30534,MPU2
0.11743,0.98755,0.25952,2.0458,0.79389,0.06107,MPU1
0.08154,0.87085,0.36475,-1.96947,0.45802,1.28244,MPU2
0.10181,1.00708,0.20996,-1.08397,-1.0229,1.93893,MPU1
0.07568,0.89697,0.33154,-5.09924,0.06107,-0.64122,MPU2
0.11646,0.99341,0.23413,1.1145,0.70229,0.41221,MPU1
0.07275,0.88232,0.3606,-5.28244,-0.27481,1.55725,MPU2
0.12256,0.99658,0.23242,-2.06107,-0.01527,0.18321,MPU1
0.08398,0.88135,0.37646,-5.66412,2.71756,-0.58015,MPU2
0.10425,0.9939,0.24097,-2.32061,3.75573,-0.61069,MPU1
0.0918,0.89209,0.36279,-8.30534,3.40458,-1.16031,MPU2
0.11865,0.99829,0.25342,-3.31298,4.56489,-4.39695,MPU1
0.05493,0.8728,0.37646,-9.31298,-0.99237,-1.46565,MPU2
0.11353,1.0,0.23877,-7.93893,0.58015,-3.67939,MPU1
0.07007,0.88062,0.39893,-13.09924,2.36641,-2.59542,MPU2
0.07812,0.9812,0.32983,-2.38168,-0.33588,-5.22137,MPU1
0.04785,0.8291,0.45703,-5.74046,-1.26718,-2.12214,MPU2
0.07617,0.97461,0.29712,2.15267,2.07634,2.18321,MPU1
0.06641,0.86035,0.40479,-1.74046,-0.80916,1.20611,MPU2
0.10059,0.9812,0.24414,0.33588,1.63359,0.1374,MPU1
0.05762,0.86987,0.35913,-6.36641,-3.66412,3.54198,MPU2
0.09302,0.98218,0.25439,-1.0229,-1.25191,2.56489,MPU1
0.10913,0.85742,0.40723,-9.41985,-5.55725,2.1374,MPU2
0.1228,0.98828,0.25806,0.35115,-0.01527,-1.37405,MPU1
0.07568,0.87866,0.37964,-7.81679,0.38168,-1.74046,MPU2
0.07959,0.98608,0.28174,-0.47328,0.38168,2.27481,MPU1
0.08423,0.85791,0.43164,-2.16794,1.29771,0.24427,MPU2
0.09863,0.98804,0.28638,2.65649,0.38168,0.8855,MPU1
0.06958,0.86377,0.40747,-1.92366,-0.21374,1.58779,MPU2
0.09912,0.98438,0.26318,-0.73282,-1.83206,0.0916,MPU1
0.08789,0.85376,0.42163,-4.54962,-1.63359,-0.53435,MPU2
0.11035,0.97925,0.28955,1.60305,2.48855,-0.79389,MPU1
0.07202,0.85254,0.41895,-1.81679,-0.9313,-1.41985,MPU2
0.07935,0.9939,0.26953,0.33588,-1.77099,-0.44275,MPU1
0.06128,0.8501,0.43604,-1.29771,0.82443,-0.35115,MPU2
0.08032,0.98462,0.27881,3.45038,-0.0916,1.19084,MPU1
0.07227,0.86572,0.40356,-2.01527,-0.87023,-0.42748,MPU2
0.11694,0.99512,0.27856,0.74809,-0.48855,-2.18321,MPU1
0.06689,0.8623,0.41455,-1.67939,1.80153,-0.54962,MPU2
0.07666,0.99512,0.25488,1.81679,1.34351,-1.64885,MPU1
0.06787,0.87012,0.40723,-3.75573,-3.08397,-1.84733,MPU2
0.08911,0.99463,0.26416,-0.80916,0.59542,0.71756,MPU1
0.0752,0.85889,0.42334,-2.65649,1.61832,0.12214,MPU2
0.07959,0.99243,0.2771,0.18321,-0.79389,1.40458,MPU1
