gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
4.0916,-0.48855,0.35115,-0.09253,0.07227,0.98779,MPU1
-2.16794,0.38168,0.25954,-0.04272,-0.20312,0.93311,MPU2
-0.90076,-0.99237,0.32061,-0.10474,0.08154,0.98804,MPU1
-0.9771,-1.1145,-0.47328,-0.04395,-0.22656,0.98584,MPU2
2.64122,-0.16794,1.22137,-0.10278,0.07983,0.99316,MPU1
-2.0,-1.20611,1.17557,-0.0481,-0.21509,0.94165,MPU2
-2.41221,-2.90076,1.05344,-0.10498,0.07373,0.97461,MPU1
-3.69466,-2.54962,-1.26718,-0.02954,-0.21631,0.96094,MPU2
0.59542,-0.48855,0.68702,-0.10059,0.07568,0.99902,MPU1
-4.15267,1.63359,0.85496,-0.04858,-0.21875,0.93018,MPU2
0.65649,2.06107,-0.06107,-0.10815,0.07959,0.97925,MPU1
-3.25191,-1.92366,0.0,-0.05322,-0.21948,0.93384,MPU2
-1.31298,0.0916,-0.22901,-0.09985,0.06348,0.95996,MPU1
-4.01527,2.82443,1.09924,-0.04565,-0.23462,0.96777,MPU2
0.1374,4.30534,0.65649,-0.11963,0.06567,0.99536,MPU1
-6.12214,-1.31298,-0.30534,-0.0564,-0.22852,0.94385,MPU2
-0.68702,-1.38931,1.32824,-0.11279,0.05811,1.01904,MPU1
-1.78626,1.20611,2.91603,-0.05322,-0.25757,0.99292,MPU2
1.31298,3.64885,2.03053,-0.10303,0.05078,1.01294,MPU1
-3.46565,-1.96947,-0.10687,-0.02686,-0.23608,0.93213,MPU2
0.0916,-3.19084,-0.9771,-0.08472,0.04663,0.99976,MPU1
-3.93893,-1.81679,-1.41985,-0.04102,-0.23926,0.94849,MPU2
1.37405,3.57252,0.0,-0.10498,0.05225,0.98218,MPU1
-2.29008,2.32061,-0.22901,-0.03857,-0.23877,0.94458,MPU2
-0.76336,-2.59542,-1.84733,-0.10791,0.05981,0.97949,MPU1
-3.38931,-3.20611,-3.74046,-0.04907,-0.2356,0.96313,MPU2
3.60305,-0.29008,-0.21374,-0.14868,0.05518,1.02368,MPU1
2.36641,2.38168,1.32824,-0.07324,-0.26904,1.00195,MPU2
5.38931,-1.34351,0.90076,-0.12378,0.05127,1.03174,MPU1
3.75573,-0.22901,-0.41221,-0.05737,-0.24585,0.96851,MPU2
4.90076,-1.67939,1.61832,-0.12646,0.0647,0.98413,MPU1
0.41221,-1.1145,1.1145,-0.05347,-0.21411,0.92847,MPU2
4.18321,-2.59542,1.20611,-0.09399,0.07422,0.97876,MPU1
-0.35115,-2.61069,-1.16031,-0.03784,-0.20483,0.93213,MPU2
0.90076,-1.9542,-0.38168,-0.09644,0.06909,0.97021,MPU1
-1.28244,-1.46565,0.73282,-0.05518,-0.23633,0.97241,MPU2
1.8626,0.82443,0.74809,-0.10229,0.06909,0.99756,MPU1
-1.17557,-1.51145,-0.45802,-0.03271,-0.22705,0.96973,MPU2
2.48855,-0.65649,0.91603,-0.09741,0.0686,0.99048,MPU1
-1.8626,-0.48855,0.90076,-0.05884,-0.2168,0.92725,MPU2
-1.32824,-0.71756,1.17557,-0.10596,0.07446,0.95312,MPU1
-6.12214,-4.45802,-1.0687,-0.02539,-0.21362,0.93213,MPU2
-0.74809,-1.83206,-0.82443,-0.08813,0.06055,1.02441,MPU1
1.09924,2.07634,-0.0458,-0.03589,-0.24121,1.00952,MPU2
3.51145,1.78626,0.50382,-0.10913,0.06738,0.99146,MPU1
-2.82443,-0.90076,-0.64122,-0.06201,-0.22314,0.92383,MPU2
0.82443,-0.35115,0.87023,-0.1167,0.07104,0.98071,MPU1
-1.93893,0.29008,1.92366,-0.05127,-0.22314,0.93213,MPU2
-1.09924,3.17557,1.69466,-0.09473,0.06641,0.93286,MPU1
-9.60305,4.73282,1.92366,-0.03882,-0.22021,0.85376,MPU2
-19.23664,2.47328,7.40458,-0.10913,0.05054,0.77124,MPU1
-63.05344,23.52672,16.18321,-0.07373,-0.11987,0.37085,MPU2
-95.70992,27.03817,6.74809,-0.06104,0.0437,0.0061,MPU1
-158.53435,-87.14503,-41.77099,0.17578,-0.052,-0.15918,MPU2
-77.16031,-84.82442,-36.32061,-0.0564,-0.24756,1.30151,MPU1
-22.70229,-41.49618,-1.0229,-0.07983,-0.71143,1.36841,MPU2
