gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-0.27481,-0.51908,1.78626,-0.14331,0.08374,0.99707,MPU1
-2.59542,-1.77099,0.61069,-0.22754,-0.28638,0.93921,MPU2
2.87023,-3.63359,2.30534,-0.1311,0.0896,1.01685,MPU1
-1.43511,0.50382,1.83206,-0.22339,-0.27515,0.91943,MPU2
1.63359,1.34351,2.30534,-0.12451,0.07886,0.99585,MPU1
-2.30534,-3.00763,1.43511,-0.22534,-0.2771,0.90601,MPU2
3.67939,-0.21374,2.96183,-0.1228,0.07983,0.99341,MPU1
-1.96947,-1.8626,1.40458,-0.20288,-0.26855,0.90674,MPU2
2.24427,-1.78626,2.61069,-0.10962,0.08203,0.99536,MPU1
1.49618,1.35878,1.22137,-0.19727,-0.25952,0.91846,MPU2
5.23664,2.9771,-0.24427,-0.10229,0.09033,0.99561,MPU1
-0.94656,-2.0458,-1.23664,-0.19067,-0.26392,0.89648,MPU2
1.61832,-0.87023,-1.00763,-0.11353,0.08643,0.98413,MPU1
-0.96183,2.42748,-1.55725,-0.2041,-0.26611,0.90259,MPU2
1.20611,-1.0229,-1.1145,-0.13843,0.08252,0.98291,MPU1
-2.9771,-4.0458,-2.12214,-0.23071,-0.26343,0.89404,MPU2
2.48855,-0.77863,-1.05344,-0.12842,0.09131,0.99634,MPU1
0.0916,0.83969,-0.64122,-0.21973,-0.27759,0.93311,MPU2
0.62595,0.65649,0.10687,-0.13647,0.09448,0.99414,MPU1
-2.51908,-0.03053,-0.32061,-0.229,-0.26147,0.91675,MPU2
1.75573,0.77863,0.18321,-0.12793,0.09839,0.9939,MPU1
0.01527,2.29008,0.0916,-0.22705,-0.27393,0.91406,MPU2
1.05344,0.27481,1.66412,-0.15283,0.0918,0.97705,MPU1
-2.9313,2.62595,0.19847,-0.21509,-0.26416,0.91309,MPU2
3.05344,0.29008,1.35878,-0.14893,0.1001,1.00269,MPU1
-2.77863,-3.41985,1.40458,-0.2373,-0.26318,0.89038,MPU2
2.30534,0.8855,3.29771,-0.13086,0.08545,0.99048,MPU1
-1.41985,-1.0229,2.71756,-0.23364,-0.26025,0.9021,MPU2
1.67939,0.07634,3.14504,-0.12891,0.08911,0.99072,MPU1
-3.31298,-0.9313,1.84733,-0.2146,-0.27319,0.90991,MPU2
1.14504,-0.33588,2.21374,-0.1377,0.08911,0.98975,MPU1
-0.83969,0.85496,2.0,-0.22119,-0.28223,0.94165,MPU2
1.48092,-1.12977,2.32061,-0.11841,0.09106,0.98315,MPU1
-3.67939,-0.38168,1.46565,-0.21411,-0.271,0.90503,MPU2
0.74809,1.57252,-0.25954,-0.10278,0.08789,1.00195,MPU1
-1.8626,-0.42748,1.8626,-0.23462,-0.26733,0.91016,MPU2
1.43511,-1.19084,1.8626,-0.11768,0.09497,1.00317,MPU1
-2.53435,-3.38931,-0.0916,-0.21167,-0.26123,0.90771,MPU2
1.22137,2.07634,-0.07634,-0.11035,0.08618,1.00488,MPU1
-0.62595,-1.63359,0.38168,-0.22827,-0.27588,0.92432,MPU2
2.29008,-3.49618,1.46565,-0.13135,0.08838,1.00171,MPU1
