gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
3.0229,-0.33588,1.45038,-0.09619,-0.1936,0.98389,MPU1
-0.9771,-0.53435,-0.65649,0.15479,-0.1936,0.95068,MPU2
2.21374,-0.65649,-0.30534,-0.0918,-0.19189,0.96777,MPU1
-2.24427,-1.64885,0.24427,0.12842,-0.20068,0.93604,MPU2
1.32824,0.41221,0.0916,-0.08423,-0.1875,0.96948,MPU1
-10.90076,-10.90076,6.50382,0.11719,-0.19189,0.87891,MPU2
0.58015,-0.12214,0.06107,-0.11743,-0.18677,0.96851,MPU1
-3.03817,-0.79389,3.0229,0.09473,-0.21484,0.93799,MPU2
0.21374,1.29771,1.69466,-0.10083,-0.19434,0.96533,MPU1
-2.16794,-1.28244,2.06107,0.1416,-0.21167,0.95386,MPU2
2.24427,1.05344,0.51908,-0.08008,-0.19971,0.98462,MPU1
-1.0229,-0.68702,-0.54962,0.14087,-0.20654,0.9519,MPU2
1.58779,-1.22137,0.41221,-0.10474,-0.19238,0.97437,MPU1
-2.90076,-1.9084,0.73282,0.13623,-0.2063,0.95068,MPU2
2.15267,-0.18321,1.78626,-0.09863,-0.19409,0.98169,MPU1
2.29008,0.74809,0.61069,0.14819,-0.20532,0.96387,MPU2
1.37405,-0.38168,0.1374,-0.09766,-0.19263,0.9856,MPU1
-1.38931,-1.05344,0.0916,0.13647,-0.20776,0.9563,MPU2
2.19847,-0.24427,1.03817,-0.10645,-0.19556,0.97852,MPU1
-1.70992,-7.37405,3.28244,0.13745,-0.19458,0.9397,MPU2
4.0,0.64122,0.12214,-0.10669,-0.20337,1.00806,MPU1
-7.35878,-21.81679,12.53435,0.31348,-0.19995,1.00195,MPU2
4.1374,-15.48092,1.0229,-0.10889,-0.19238,1.01392,MPU1
1.80153,-5.26718,2.45802,0.19043,-0.20337,0.95361,MPU2
2.99237,0.0916,1.40458,-0.08594,-0.18066,0.97021,MPU1
-1.58779,0.07634,-1.46565,0.16016,-0.19434,0.91675,MPU2
-0.35115,-1.32824,0.0,-0.073,-0.1897,0.95581,MPU1
-4.22901,-0.41221,-0.0916,0.16455,-0.22192,0.95142,MPU2
1.14504,1.19084,1.38931,-0.09277,-0.19971,1.00122,MPU1
-0.59542,0.1374,-0.03053,0.17163,-0.21118,0.96118,MPU2
2.27481,0.38168,0.50382,-0.09497,-0.19409,0.98511,MPU1
0.35115,-0.45802,1.67939,0.15747,-0.22754,0.95337,MPU2
1.74046,1.75573,1.74046,-0.09131,-0.18066,0.96582,MPU1
-3.29771,-2.41221,0.01527,0.17773,-0.19385,0.94019,MPU2
1.1145,-1.58779,-0.79389,-0.07715,-0.19287,0.9856,MPU1
-0.0458,-0.01527,-1.05344,0.16699,-0.21167,0.96289,MPU2
2.61069,-0.61069,-0.21374,-0.09839,-0.1875,0.97583,MPU1
-2.21374,-1.43511,1.03817,0.14893,-0.20312,0.92773,MPU2
0.94656,-0.16794,2.21374,-0.104,-0.17871,0.96899,MPU1
-1.52672,-0.61069,0.54962,0.17114,-0.21411,0.94971,MPU2
1.41985,0.76336,1.40458,-0.0957,-0.1853,0.97168,MPU1
-1.23664,-0.01527,0.67176,0.16553,-0.20923,0.94165,MPU2
1.75573,-0.10687,1.46565,-0.09253,-0.18945,0.98682,MPU1
-0.32061,0.56489,0.41221,0.18872,-0.21973,0.95239,MPU2
1.55725,0.10687,-0.50382,-0.07983,-0.19263,0.98511,MPU1
2.01527,-1.45038,-1.1145,0.16235,-0.21045,0.95557,MPU2
1.9542,0.16794,1.19084,-0.1106,-0.18359,0.9856,MPU1
0.21374,-0.30534,0.8855,0.15552,-0.21118,0.94458,MPU2
1.74046,-0.03053,0.53435,-0.08423,-0.19653,0.98193,MPU1
-3.72519,-1.46565,-0.62595,0.16992,-0.19531,0.93188,MPU2
1.61832,-1.83206,0.59542,-0.1062,-0.19312,0.99219,MPU1
1.78626,-1.83206,0.96183,0.15967,-0.2146,0.98047,MPU2
2.50382,-1.34351,1.31298,-0.08716,-0.19849,0.99536,MPU1
0.0,-1.20611,-0.61069,0.17896,-0.20215,0.94019,MPU2
2.94656,-1.12977,0.01527,-0.08496,-0.19116,0.98364,MPU1
