gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
2.83969,-1.55725,2.39695,-0.08545,-0.21143,0.92139,MPU1
-3.29771,-1.32824,1.93893,0.13232,-0.76758,1.72607,MPU2
-3.40458,-0.42748,3.37405,-0.07788,-0.2019,0.93457,MPU1
-4.47328,-1.70992,1.61832,0.07812,-0.39795,0.89844,MPU2
0.21374,-3.34351,-1.49618,-0.04663,-0.21851,1.0022,MPU1
-3.69466,-1.48092,-2.21374,0.05884,-0.41187,0.90845,MPU2
0.16794,0.82443,-0.21374,-0.09253,-0.22119,0.95386,MPU1
-4.87023,-0.62595,-1.84733,0.04199,-0.41528,0.86841,MPU2
0.59542,-0.68702,-2.9771,-0.08643,-0.23315,0.98877,MPU1
-0.80916,0.0,-1.64885,0.01587,-0.44092,0.93188,MPU2
2.29008,3.03817,-0.25954,-0.10547,-0.24463,0.96118,MPU1
1.16031,4.16794,1.26718,0.02246,-0.45044,0.91528,MPU2
3.58779,1.75573,1.84733,-0.10254,-0.25684,0.98071,MPU1
-2.15267,-0.36641,3.0229,0.02246,-0.43726,0.88599,MPU2
2.29008,-0.03053,1.40458,-0.07715,-0.23657,0.98047,MPU1
0.91603,-1.67939,1.22137,0.04932,-0.41772,0.92871,MPU2
3.46565,-1.64885,0.58015,-0.06958,-0.21143,0.97949,MPU1
-1.19084,0.30534,-0.76336,0.06372,-0.40039,0.91187,MPU2
5.74046,0.87023,-2.51908,-0.0647,-0.2251,0.98608,MPU1
0.8855,-1.70992,-3.64885,0.0437,-0.40259,0.88525,MPU2
3.05344,-0.9771,-2.38168,-0.08813,-0.20581,0.93042,MPU1
-1.66412,0.58015,-0.61069,0.02734,-0.40356,0.87891,MPU2
1.00763,-0.51908,0.51908,-0.1001,-0.21631,0.93701,MPU1
-0.9771,-0.50382,-1.23664,0.03711,-0.41089,0.89136,MPU2
2.91603,-1.22137,-2.35115,-0.08032,-0.2251,0.95093,MPU1
-4.19847,-1.31298,-0.64122,0.01929,-0.40088,0.84839,MPU2
-3.34351,2.10687,1.19084,-0.10059,-0.20264,0.91162,MPU1
-4.22901,-0.74809,0.67176,0.03906,-0.40894,0.89185,MPU2
-0.62595,-2.73282,-1.8626,-0.05811,-0.22461,0.98218,MPU1
-5.09924,-1.26718,-1.05344,0.06152,-0.41357,0.89673,MPU2
-2.19847,0.38168,-1.28244,-0.0791,-0.22144,0.95264,MPU1
-6.96183,-0.8855,-1.05344,0.05933,-0.39893,0.88379,MPU2
-1.43511,-1.09924,-2.70229,-0.07202,-0.20972,0.96851,MPU1
-4.06107,-1.0229,-3.31298,0.04419,-0.41772,0.90381,MPU2
0.33588,2.21374,-2.48855,-0.08691,-0.2312,0.94678,MPU1
-5.0687,2.9313,-1.1145,0.00342,-0.43823,0.87402,MPU2
0.9313,3.40458,-1.41985,-0.10571,-0.26367,0.97681,MPU1
-1.28244,2.79389,0.79389,-0.00098,-0.45435,0.89746,MPU2
-1.05344,2.91603,1.96947,-0.10669,-0.2478,0.95605,MPU1
-1.38931,0.1374,1.09924,0.05859,-0.43823,0.91504,MPU2
0.80916,0.22901,0.42748,-0.07178,-0.2417,0.9856,MPU1
-2.36641,0.48855,1.69466,0.03809,-0.42529,0.89917,MPU2
-0.45802,-2.58015,4.16794,-0.07788,-0.21777,0.9729,MPU1
-5.08397,-0.70229,-5.32824,0.12158,-0.39062,0.89111,MPU2
-2.0916,-0.07634,-6.96183,-0.05688,-0.22754,0.95288,MPU1
-5.16031,-3.0687,-2.50382,-0.02637,-0.47388,0.8938,MPU2
9.55725,-3.98473,4.73282,-0.25439,-0.33789,1.07642,MPU1
9.9084,-0.07634,3.40458,-0.34985,-0.77173,0.98071,MPU2
32.27481,-11.61832,46.53435,-0.82568,-0.70117,1.12988,MPU1
47.98473,-28.9771,49.72519,-0.97729,-1.24121,0.97046,MPU2
58.24427,-63.66412,177.19084,-1.63354,-1.04077,1.29956,MPU1
114.229,-143.16031,228.54962,-1.05225,-1.37744,1.00854,MPU2
72.96183,-109.83206,223.69466,-0.44043,-0.91187,0.71533,MPU1
73.54198,-163.51144,211.34351,0.04883,-0.78418,0.19897,MPU2
29.63359,-116.27481,218.44275,0.22754,-0.53833,0.37939,MPU1
24.67175,-135.98473,179.14503,0.84375,-0.57007,0.36694,MPU2
14.22901,-71.00764,191.00763,0.95972,-0.33228,0.66138,MPU1
9.66412,-59.69466,169.46565,1.18994,-0.32544,0.67896,MPU2
6.33588,-3.17557,216.73282,1.22021,0.16724,0.61279,MPU1
46.24427,-22.9771,83.35878,2.52808,0.4519,0.66479,MPU2
45.03817,-14.25954,-12.1374,2.50781,0.0769,0.90137,MPU1
-0.77863,-44.53435,-64.0458,1.34937,0.1189,0.30396,MPU2
-2.94656,88.12214,-125.22137,0.41333,-0.2063,0.67627,MPU1
-35.09924,2.1374,35.00763,-1.00806,-0.65723,1.10376,MPU2
-47.20611,-19.26718,89.38931,-0.66357,-0.15479,1.19116,MPU1
-2.01527,-5.08397,52.0916,0.11987,-0.3667,1.06323,MPU2
