gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
-2.76336,-0.77863,2.59542,-0.30078,0.20068,0.91284,MPU1
-1.72519,-8.70229,2.22901,-0.16235,-0.17554,0.96021,MPU2
1.46565,-3.49618,4.53435,-0.31567,0.19824,0.96533,MPU1
-0.19847,-1.08397,3.49618,-0.13379,-0.18042,1.00244,MPU2
5.43511,-5.61832,6.06107,-0.31543,0.19653,0.99561,MPU1
2.38168,-3.69466,3.1145,-0.12866,-0.17139,0.95044,MPU2
4.16794,-2.68702,4.96183,-0.27979,0.18872,0.94385,MPU1
1.51145,-3.58779,2.71756,-0.11597,-0.1543,0.92725,MPU2
3.55725,-0.83969,2.27481,-0.26025,0.19922,0.92896,MPU1
-2.19847,-5.67939,0.54962,-0.11792,-0.14868,0.91748,MPU2
1.96947,0.32061,1.0229,-0.25586,0.20264,0.95483,MPU1
0.9771,3.37405,0.59542,-0.10645,-0.15479,0.96704,MPU2
4.1374,-3.29771,-0.18321,-0.26807,0.21045,0.95654,MPU1
-1.98473,-3.9084,-1.89313,-0.11987,-0.15112,0.92358,MPU2
1.54198,1.32824,-0.32061,-0.29858,0.21387,0.92139,MPU1
-0.83969,-1.64885,-0.06107,-0.13354,-0.1438,0.95435,MPU2
-0.79389,-2.03053,0.64122,-0.28101,0.21362,0.92407,MPU1
-4.27481,-1.16031,0.65649,-0.12964,-0.1582,0.95361,MPU2
2.19847,0.0458,1.63359,-0.29395,0.20044,0.97559,MPU1
-0.65649,-1.09924,1.38931,-0.12012,-0.15381,0.96362,MPU2
1.64885,-3.28244,1.45038,-0.26929,0.21289,0.94775,MPU1
0.18321,-3.12977,-0.16794,-0.12354,-0.15356,0.96313,MPU2
2.53435,-3.77099,0.87023,-0.26831,0.20532,0.95264,MPU1
1.55725,-10.25954,-2.42748,-0.12158,-0.16211,0.96191,MPU2
1.46565,-4.18321,1.20611,-0.27441,0.20166,0.94019,MPU1
-1.32824,1.78626,0.38168,-0.11377,-0.16577,0.96655,MPU2
0.61069,-7.17557,3.29771,-0.30859,0.19507,0.94873,MPU1
-2.39695,-5.25191,0.07634,-0.10303,-0.15649,0.95483,MPU2
1.78626,-0.25954,0.45802,-0.24414,0.19824,0.9563,MPU1
-2.73282,1.12977,-0.33588,-0.09717,-0.1394,0.95435,MPU2
2.47328,-2.74809,-1.66412,-0.26318,0.19531,0.96338,MPU1
-3.00763,-1.54198,-3.64885,-0.10425,-0.14722,0.93481,MPU2
1.54198,0.03053,-3.08397,-0.2644,0.20972,0.95044,MPU1
-0.06107,-3.37405,-3.25191,-0.1355,-0.16455,0.94702,MPU2
1.23664,0.27481,-1.37405,-0.28418,0.20093,0.93555,MPU1
-2.99237,3.69466,0.01527,-0.12622,-0.16089,0.95386,MPU2
2.67176,-4.9771,1.74046,-0.28979,0.21484,0.97314,MPU1
