gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
2.53435,-1.26718,1.34351,-0.38281,-0.11768,0.90601,MPU1
0.0,-1.40458,0.41221,-0.01978,-0.20752,0.93091,MPU2
1.23664,0.10687,-0.67176,-0.37085,-0.11401,0.88794,MPU1
-2.82443,-1.89313,-0.38168,-0.03613,-0.21216,0.95312,MPU2
0.51908,-1.09924,0.91603,-0.40479,-0.11865,0.89429,MPU1
-0.67176,1.08397,0.91603,-0.02222,-0.2207,0.96973,MPU2
0.71756,-0.33588,1.23664,-0.39307,-0.11768,0.89355,MPU1
-2.38168,-1.80153,1.58779,-0.02881,-0.22461,0.95947,MPU2
-0.62595,-0.15267,0.38168,-0.37207,-0.1272,0.89795,MPU1
-2.91603,-0.82443,0.70229,-0.03662,-0.22266,0.94434,MPU2
0.70229,1.16031,-0.03053,-0.39282,-0.12573,0.90649,MPU1
-2.68702,-0.96183,1.29771,-0.04688,-0.22632,0.95044,MPU2
1.43511,0.0916,1.60305,-0.3855,-0.12744,0.91284,MPU1
0.22901,0.27481,1.05344,-0.01978,-0.21851,0.97705,MPU2
1.43511,0.01527,0.38168,-0.37085,-0.11719,0.8855,MPU1
-3.19084,-1.67939,0.45802,-0.03979,-0.21899,0.93848,MPU2
1.34351,-0.50382,1.29771,-0.38037,-0.12427,0.89624,MPU1
-1.64885,1.22137,0.0916,-0.0271,-0.22607,0.94604,MPU2
-0.19847,1.43511,-2.22901,-0.3645,-0.11743,0.88184,MPU1
-5.16031,-2.62595,0.15267,-0.0686,-0.22705,0.95288,MPU2
0.15267,-0.36641,1.38931,-0.40625,-0.13037,0.9165,MPU1
-1.12977,0.07634,0.99237,-0.03369,-0.22095,0.96436,MPU2
1.93893,1.22137,-0.12214,-0.38403,-0.11987,0.89502,MPU1
-2.41221,-0.07634,-0.61069,-0.04297,-0.22852,0.9624,MPU2
0.16794,0.25954,0.9313,-0.40601,-0.12915,0.87695,MPU1
-2.65649,0.03053,2.0,-0.05591,-0.23022,0.94653,MPU2
1.67939,-0.36641,1.66412,-0.39062,-0.12573,0.91943,MPU1
-2.15267,-0.44275,0.87023,-0.03467,-0.21265,0.94775,MPU2
0.9313,1.1145,0.25954,-0.37476,-0.11523,0.90747,MPU1
-4.07634,-2.07634,1.20611,-0.06885,-0.22217,0.93457,MPU2
-0.80916,-1.22137,1.69466,-0.41406,-0.13721,0.91064,MPU1
0.70229,0.74809,1.8626,-0.04614,-0.24072,0.99829,MPU2
1.46565,0.44275,2.0458,-0.38574,-0.12231,0.88623,MPU1
-4.42748,-1.72519,0.01527,-0.03101,-0.20923,0.92358,MPU2
0.30534,-2.29008,0.80916,-0.40601,-0.13892,0.91895,MPU1
0.59542,-0.53435,-1.89313,-0.0249,-0.22607,0.9729,MPU2
2.67176,1.34351,-1.32824,-0.3855,-0.12109,0.89038,MPU1
-1.38931,-0.39695,0.8855,-0.0564,-0.22339,0.95557,MPU2
-1.40458,-0.8855,1.70992,-0.41089,-0.12036,0.87817,MPU1
-3.35878,-1.98473,2.53435,-0.04199,-0.22827,0.9563,MPU2
1.0687,-0.0458,2.24427,-0.38818,-0.14136,0.91968,MPU1
-1.14504,0.73282,0.64122,-0.01025,-0.22949,0.9668,MPU2
-0.07634,-0.0916,0.30534,-0.39941,-0.12817,0.8894,MPU1
-2.07634,-1.28244,1.77099,-0.05127,-0.23364,0.9646,MPU2
1.51145,0.21374,1.61832,-0.37939,-0.13403,0.9043,MPU1
-2.99237,-0.53435,-0.25954,-0.04053,-0.22144,0.95044,MPU2
-0.64122,-0.45802,-0.56489,-0.40723,-0.13013,0.88965,MPU1
-2.8855,-2.27481,1.8626,-0.06934,-0.24316,0.96924,MPU2
2.73282,0.71756,2.38168,-0.39038,-0.13916,0.92505,MPU1
-1.61832,2.06107,0.0916,-0.00854,-0.21143,0.94019,MPU2
-0.70229,2.96183,-2.35115,-0.34595,-0.12231,0.86646,MPU1
-8.99237,1.28244,-1.1145,-0.04956,-0.21143,0.90332,MPU2
-4.30534,10.22901,-5.14504,-0.34839,-0.09985,0.82544,MPU1
-54.42748,18.38168,11.35878,-0.10352,-0.18726,0.94556,MPU2
-35.28244,92.06107,32.90076,-0.87524,-0.36694,1.52612,MPU1
86.80916,10.87023,28.36641,-0.11206,-1.25195,2.9541,MPU2
172.04581,-128.16794,23.46565,-0.08447,-1.39844,3.25513,MPU1
238.85497,-71.64886,-107.05344,0.12134,-0.94653,1.84106,MPU2
268.67175,-135.58778,6.50382,-0.90527,-0.81006,1.18945,MPU1
302.4122,-8.68702,-45.74046,-0.41187,-0.85645,1.02026,MPU2
333.43512,-89.25191,101.00764,-0.77271,-0.39404,0.43384,MPU1
320.90076,-4.83969,-7.37405,-0.26074,-0.36914,0.22241,MPU2
289.64886,-109.87786,96.94656,-0.34546,0.0061,-0.04443,MPU1
295.40457,-42.65649,9.66412,-0.12891,0.12305,-0.26685,MPU2
221.37404,-101.75572,89.78626,0.15112,0.42554,-0.42334,MPU1
204.9771,-55.0687,24.06107,0.02637,0.71533,-0.59521,MPU2
134.42747,-56.24427,49.69466,0.33154,0.7002,-0.24268,MPU1
93.98473,-33.0229,-3.49618,0.16943,0.83716,-0.35596,MPU2
81.0229,-80.06107,22.01527,0.25586,0.77905,0.0271,MPU1
100.16794,-54.16794,2.62595,0.12109,0.80908,0.1377,MPU2
61.25191,-29.78626,10.25954,0.4353,0.87988,-0.01343,MPU1
37.0687,-8.80916,-13.45038,0.22656,1.02759,-0.07251,MPU2
31.05343,-7.74046,-24.71756,0.34888,1.00146,0.04565,MPU1
-0.68702,-5.74046,-29.23664,0.1228,1.01611,-0.02124,MPU2
28.30534,1.69466,-22.47328,0.23779,1.02075,0.03467,MPU1
-9.69466,8.64122,-14.01527,0.02832,1.02734,0.08887,MPU2
-14.8855,16.76336,-16.21374,0.17358,1.13696,-0.02368,MPU1
-30.29008,3.92366,-4.94656,-0.01172,1.03174,0.07642,MPU2
1.60305,1.25191,-2.54962,0.00171,0.94946,0.39966,MPU1
-1.31298,-6.12214,2.9313,-0.02881,0.92163,0.25879,MPU2
-8.18321,-0.38168,6.74809,0.09595,1.03931,0.15259,MPU1
-15.70992,3.74046,5.26718,0.0542,0.97021,0.198,MPU2
0.67176,3.31298,1.45038,0.11572,0.92407,0.3396,MPU1
7.35878,-0.29008,1.84733,0.08228,0.89746,0.28906,MPU2
6.64122,-0.77863,1.77099,0.15942,0.97412,0.21826,MPU1
-15.0687,9.69466,1.20611,0.07886,0.97705,0.15991,MPU2
-14.38168,9.20611,-2.16794,0.13794,0.98901,0.18188,MPU1
-3.64885,-1.83206,0.36641,0.08057,0.88574,0.27905,MPU2
-3.64885,-2.56489,-1.92366,0.16479,0.97876,0.21216,MPU1
-12.32061,3.9542,-5.46565,0.0791,0.96802,0.21313,MPU2
-10.24428,13.28244,-8.01527,0.14526,0.98706,0.23242,MPU1
-6.85496,6.10687,0.62595,0.05347,0.90869,0.29565,MPU2
-1.1145,9.81679,-6.53435,0.13647,0.95312,0.31934,MPU1
-12.8855,0.33588,-0.07634,0.0144,0.95728,0.22119,MPU2
-7.0687,4.83969,-3.19084,0.08936,0.99536,0.29565,MPU1
-8.38168,1.16031,4.99237,0.04443,0.88965,0.34644,MPU2
-2.15267,5.12977,1.77099,0.10864,0.95581,0.2998,MPU1
-6.9313,4.41221,3.74046,0.01196,0.94849,0.22339,MPU2
-25.81679,0.64122,6.51908,0.0415,1.02783,0.18433,MPU1
-16.94657,-9.92366,10.58015,0.04297,0.90698,0.29614,MPU2
-18.10687,-4.38168,3.57252,0.17163,0.92529,0.34351,MPU1
