sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,36.07634,-48.99237,-81.32825,0.04639,-0.23291,0.91064
MPU2,25.66412,-80.42748,-99.96947,0.17456,0.04175,0.90723
MPU1,3.72519,-79.83206,-52.25954,0.02808,-0.16089,0.84424
MPU2,23.43511,-66.19847,-65.45038,0.12964,0.08813,0.98706
MPU1,-5.34351,-95.19084,-121.12977,0.44604,-0.33545,0.93066
MPU2,-1.26718,-71.48092,-147.12978,0.21631,0.07544,0.82861
MPU1,-2.38168,-1.48092,-117.93893,0.01465,-0.21265,0.65942
MPU2,-11.45038,-72.79389,-118.74809,0.01489,-0.02466,0.73682
MPU1,-36.25954,-61.51145,-126.01527,0.05249,-0.15454,0.74634
MPU2,-22.93130,-46.73283,-109.81680,0.15210,0.00269,0.80908
MPU1,-24.03053,28.61069,-84.96183,0.04956,-0.16284,0.71924
MPU2,-7.43511,-16.76336,-79.19084,0.10132,-0.02051,0.68359
MPU1,-13.05344,-12.64122,-75.06870,0.07910,-0.15283,0.79053
MPU2,-1.09924,8.09160,-64.36641,0.20215,0.06372,0.71240
MPU1,17.58779,54.88550,-38.22901,0.09863,-0.07227,0.58984
MPU2,-8.88550,49.41985,-24.35114,0.11133,0.09546,0.53198
MPU1,-20.97710,35.46565,4.18321,-0.10571,0.14233,0.44604
MPU2,-20.64122,15.11450,16.67175,0.04053,0.01440,0.62329
MPU1,-9.31298,17.43511,38.82443,-0.19092,-0.19385,0.86230
MPU2,7.57252,44.77863,65.09924,0.04639,-0.09082,0.77686
MPU1,18.32061,24.27481,82.64122,-0.13770,-0.20972,0.86938
MPU2,25.54198,37.58779,98.09161,-0.00171,-0.11182,0.77612
MPU1,9.38931,-53.81680,72.76336,-0.18579,-0.18286,0.85034
MPU2,13.16031,-24.42748,111.84733,-0.00659,0.02124,0.78076
MPU1,-15.08397,-34.04580,96.19847,0.07397,-0.20117,0.68506
MPU2,-0.48855,35.38931,129.98473,0.07080,0.16504,0.93188
MPU1,9.84733,-41.11450,89.80153,0.14575,-0.33789,0.90405
MPU2,-5.58779,-11.02290,105.02290,0.08984,0.08691,0.93188
MPU1,-32.71756,-9.58779,65.55725,0.45581,-0.21338,0.65137
MPU2,-19.31298,37.41985,79.03817,0.26929,0.09619,0.74463
MPU1,-8.90076,11.08397,87.74046,0.15674,-0.25146,0.90405
MPU2,-20.80916,83.02290,92.36641,0.37573,0.19531,0.86670
MPU1,-9.51145,84.61069,97.66412,0.57666,-0.17529,0.68628
MPU2,-62.04580,65.58778,57.32824,0.29297,0.22021,1.06616
MPU1,-6.64122,107.93893,102.47328,0.53174,-0.24683,1.01978
MPU2,-30.19847,171.64885,68.01527,0.30664,0.10474,0.87134
