sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,1.16031,-1.83206,0.87023,-0.13135,-0.32812,0.90967
MPU2,-2.39695,-2.88550,0.51908,0.12231,0.06714,0.96533
MPU1,1.03817,-0.21374,1.84733,-0.12280,-0.33472,0.92407
MPU2,-2.09160,-0.35115,0.33588,0.14062,0.06079,0.96387
MPU1,3.00763,-0.82443,-0.38168,-0.10278,-0.34106,0.93848
MPU2,-1.25191,-0.39695,-0.48855,0.14209,0.06030,0.96533
MPU1,1.49618,-0.59542,0.15267,-0.13086,-0.33276,0.90527
MPU2,-1.69466,-1.05344,0.32061,0.13306,0.06714,0.96289
MPU1,0.39695,-0.19847,1.49618,-0.12549,-0.32544,0.92065
MPU2,-2.83969,-1.95420,0.59542,0.12842,0.07739,0.95435
MPU1,0.56489,-1.17557,0.42748,-0.11108,-0.34473,0.92603
MPU2,-1.32824,1.03817,0.80916,0.15308,0.06372,0.97314
MPU1,3.86260,1.17557,3.14504,-0.12549,-0.31665,0.93384
MPU2,-1.98473,1.49618,2.47328,0.12524,0.10205,0.93945
MPU1,-2.99237,1.57252,7.72519,-0.16797,-0.20752,0.87524
MPU2,-7.11450,8.87023,10.77863,0.10400,0.25000,0.92334
MPU1,-4.51908,-0.87023,21.12977,-0.26221,-0.10156,0.99463
MPU2,-13.74046,27.81679,26.35114,0.12793,0.34082,0.94482
MPU1,-13.40458,12.15267,36.04580,-0.17822,-0.07642,1.02246
MPU2,-8.09160,5.37405,31.11450,0.05249,0.29883,0.96094
MPU1,-1.70992,-22.01527,29.57252,-0.25317,-0.18726,1.10352
MPU2,-1.58779,5.37405,37.23664,0.12231,0.22974,1.04810
MPU1,-7.75573,0.64122,42.70229,-0.17261,-0.18726,0.99634
MPU2,-4.96183,8.36641,31.96947,0.12183,0.22314,0.98145
MPU1,-6.19847,-13.00763,31.49618,-0.12769,-0.23584,1.00977
MPU2,-1.29771,8.16794,22.15267,0.13940,0.12402,0.96875
MPU1,9.40458,15.66412,34.36641,-0.08203,-0.28833,0.95825
MPU2,-9.74046,9.84733,6.00000,0.07349,0.11841,0.96069
MPU1,-4.19847,-29.92366,-17.95420,-0.07910,-0.32544,0.90991
