sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,2.83969,-1.52672,0.91603,-0.05664,-0.29150,0.98779
MPU2,-0.90076,-0.01527,0.33588,-0.06934,-0.02905,0.98462
MPU1,1.35878,-0.04580,0.59542,-0.03467,-0.25488,0.92896
MPU2,-2.67176,-1.35878,0.45802,-0.06421,-0.02466,0.96387
MPU1,0.67176,0.16794,2.15267,-0.06494,-0.26978,0.96313
MPU2,-2.04580,-0.12214,1.38931,-0.05737,-0.03784,0.97559
MPU1,0.45802,-1.11450,0.99237,-0.03076,-0.26685,0.95312
MPU2,-2.00000,-0.36641,0.44275,-0.05737,-0.03906,0.96997
MPU1,1.43511,1.57252,1.78626,-0.03979,-0.26855,0.95068
MPU2,-1.78626,-0.91603,0.54962,-0.06543,-0.03491,0.97485
MPU1,2.68702,1.05344,1.06870,-0.03687,-0.27466,0.96973
MPU2,-1.61832,0.35115,0.15267,-0.05566,-0.03711,0.96655
MPU1,2.53435,-1.90840,0.04580,-0.04297,-0.27563,0.96191
MPU2,-2.45802,-0.61069,-0.16794,-0.06006,-0.03027,0.96387
MPU1,-0.51908,1.54198,0.70229,-0.03052,-0.26538,0.93750
MPU2,-3.09924,0.29008,0.01527,-0.04688,-0.02710,0.95923
MPU1,-0.76336,-1.49618,0.22901,-0.06543,-0.27075,0.95703
MPU2,-1.25191,-0.88550,-0.04580,-0.07324,-0.04077,0.97656
MPU1,4.88550,-0.30534,0.36641,-0.05298,-0.28247,0.98511
MPU2,-1.02290,0.54962,1.12977,-0.07007,-0.02612,0.97339
MPU1,-0.04580,0.87023,1.86260,-0.04346,-0.24146,0.93018
MPU2,-3.32824,-1.58779,-0.07634,-0.05737,-0.02637,0.95728
MPU1,0.48855,0.41221,0.73282,-0.04102,-0.28979,0.94873
MPU2,-1.92366,-0.44275,0.13740,-0.07251,-0.04883,0.97192
MPU1,1.31298,-0.32061,0.96183,-0.05981,-0.27319,0.95581
MPU2,-1.77099,0.24427,0.85496,-0.07104,-0.02441,0.96582
MPU1,-0.22901,1.72519,2.19847,-0.04492,-0.25903,0.93970
MPU2,-2.03053,-0.15267,1.23664,-0.06055,-0.03638,0.96387
MPU1,2.30534,-0.79389,1.43511,-0.05859,-0.28760,0.97192
MPU2,-1.61832,-0.15267,0.58015,-0.05981,-0.03638,0.97437
MPU1,0.47328,-0.76336,1.38931,-0.04492,-0.26831,0.95093
MPU2,-1.83206,-1.63359,0.56489,-0.05811,-0.03906,0.96460
MPU1,2.19847,0.67176,1.22137,-0.03198,-0.28442,0.95972
MPU2,-0.93130,-1.02290,0.38168,-0.06616,-0.04126,0.97852
MPU1,2.88550,-2.56489,0.22901,-0.05127,-0.27515,0.96533
MPU2,-1.37405,-1.51145,-0.48855,-0.05566,-0.03198,0.96167
MPU1,10.67176,5.75573,-4.09160,-0.02979,-0.29175,0.97803
MPU2,-0.22901,-1.35878,-0.45802,-0.06787,-0.03687,0.95923
MPU1,5.57252,4.42748,-0.19847,-0.07617,-0.25928,0.92456
MPU2,-1.89313,0.01527,0.45802,-0.06372,-0.03003,0.97266
MPU1,1.74046,-1.72519,1.46565,-0.03809,-0.26636,0.96826
MPU2,-1.34351,-0.61069,0.56489,-0.06104,-0.03369,0.96582
MPU1,0.61069,-2.36641,1.23664,-0.05420,-0.25928,0.96509
MPU2,-2.13740,-0.36641,0.09160,-0.05737,-0.02563,0.97119
MPU1,-0.41221,0.53435,2.12214,-0.05103,-0.25244,0.95508
MPU2,-1.87786,-1.69466,0.62595,-0.07495,-0.03589,0.96191
MPU1,1.29771,0.54962,1.84733,-0.05664,-0.27100,0.95166
MPU2,-1.89313,-0.77863,0.64122,-0.07251,-0.02710,0.96118
MPU1,0.83969,-2.27481,0.79389,-0.04175,-0.27100,0.96167
MPU2,-1.19084,0.53435,0.83969,-0.05249,-0.04541,0.96533
MPU1,2.50382,0.13740,1.48092,-0.04126,-0.27295,0.95605
MPU2,-1.63359,-0.64122,0.62595,-0.05811,-0.03101,0.96558
MPU1,1.14504,-0.07634,1.78626,-0.04907,-0.26831,0.94287
MPU2,-2.24427,-0.74809,0.09160,-0.06055,-0.04175,0.96167
MPU1,1.72519,0.09160,0.77863,-0.05347,-0.27759,0.97363
MPU2,-1.74046,-0.29008,0.59542,-0.06934,-0.02954,0.97485
MPU1,1.29771,-0.77863,1.35878,-0.04980,-0.26123,0.94946
MPU2,-1.63359,-1.09924,-0.16794,-0.06104,-0.03955,0.96436
MPU1,4.19847,1.87786,0.61069,-0.05273,-0.27759,0.97217
MPU2,-0.71756,-1.02290,0.00000,-0.07495,-0.03467,0.97119
MPU1,2.25954,0.06107,0.67176,-0.06860,-0.24658,0.94653
MPU2,-2.12214,-1.09924,-0.19847,-0.05981,-0.02661,0.97021
MPU1,1.80153,-1.16031,0.21374,-0.04590,-0.27075,0.97144
MPU2,-1.46565,0.01527,0.44275,-0.06177,-0.03442,0.97729
MPU1,0.83969,-1.41985,1.38931,-0.06665,-0.25659,0.95435
MPU2,-1.78626,-0.61069,0.93130,-0.06543,-0.03516,0.96777
MPU1,1.37405,-0.35115,0.71756,-0.02686,-0.26440,0.94287
MPU2,-2.24427,-0.47328,-0.44275,-0.06519,-0.02759,0.96582
MPU1,-0.88550,-0.16794,0.54962,-0.06372,-0.27075,0.95630
MPU2,-1.90840,-1.05344,0.58015,-0.07520,-0.04321,0.96948
MPU1,3.29771,-2.06107,-0.51908,-0.04321,-0.28906,0.96680
MPU2,-1.25191,0.53435,0.15267,-0.05103,-0.03516,0.97632
MPU1,2.97710,0.64122,0.73282,-0.03784,-0.26709,0.95630
MPU2,-2.73282,-0.19847,-0.70229,-0.06543,-0.02393,0.97388
MPU1,-0.53435,0.56489,0.85496,-0.05737,-0.27368,0.96631
MPU2,-1.83206,-1.95420,0.36641,-0.07690,-0.04321,0.96362
MPU1,2.21374,-0.64122,0.93130,-0.05396,-0.26978,0.96655
MPU2,-1.17557,-0.70229,0.36641,-0.06665,-0.03027,0.97339
MPU1,3.09924,-0.33588,1.49618,-0.06763,-0.28003,0.97363
MPU2,-0.79389,-0.21374,0.82443,-0.06934,-0.03418,0.98438
MPU1,2.58015,0.83969,0.87023,-0.03027,-0.25903,0.93896
MPU2,-1.75573,-0.47328,-0.12214,-0.05322,-0.02734,0.96533
MPU1,1.05344,-1.34351,0.10687,-0.06055,-0.26709,0.95996
MPU2,-2.21374,-0.76336,-0.22901,-0.06519,-0.04272,0.95679
MPU1,2.10687,0.12214,0.91603,-0.05859,-0.27368,0.95874
MPU2,-2.51908,-0.59542,0.32061,-0.05811,-0.03442,0.97632
