sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,3.06870,-0.15267,-0.10687,-0.29321,-0.54004,0.79370
MPU2,-1.37405,-0.13740,-0.03053,0.12061,-0.13159,0.97949
MPU1,-1.96947,-0.76336,-0.25954,-0.28174,-0.51221,0.75977
MPU2,-1.74046,-2.82443,0.88550,0.12524,-0.12183,0.95288
MPU1,2.53435,-2.42748,0.65649,-0.26782,-0.53955,0.77930
MPU2,-1.83206,-0.35115,-0.96183,0.12866,-0.12012,0.97485
MPU1,1.72519,0.62595,0.39695,-0.28320,-0.52930,0.77612
MPU2,-1.74046,-0.67176,0.24427,0.11353,-0.12427,0.96069
MPU1,1.96947,-1.29771,1.29771,-0.29712,-0.53613,0.77148
MPU2,-2.53435,0.33588,0.35115,0.13281,-0.12256,0.96899
MPU1,1.25191,-0.38168,-0.65649,-0.26514,-0.52905,0.77734
MPU2,-2.15267,-1.05344,-0.65649,0.13184,-0.12085,0.97266
MPU1,2.22901,-0.58015,-1.38931,-0.27246,-0.54126,0.77588
MPU2,-1.84733,0.06107,-0.42748,0.12500,-0.13330,0.98486
MPU1,2.36641,-0.29008,-0.53435,-0.27368,-0.52783,0.78223
MPU2,-1.32824,-1.78626,-0.53435,0.12695,-0.12671,0.95972
MPU1,9.66412,11.29771,-0.58015,-0.21802,-0.53418,0.78418
MPU2,-9.90840,10.39695,-6.18321,0.12183,-0.11426,0.98047
MPU1,37.35878,48.96183,0.04580,-0.39185,-0.59155,0.94434
MPU2,-10.97710,20.25954,-5.14504,0.17139,-0.15454,0.91309
MPU1,72.42748,43.86259,-20.36641,-0.29590,-0.53589,0.83838
MPU2,-10.47328,6.83969,-8.24428,0.08398,-0.10718,0.96045
MPU1,57.86259,38.32061,-6.97710,-0.51685,-0.50049,0.77954
MPU2,-9.43511,0.99237,-3.29771,0.06201,-0.13550,0.96704
MPU1,44.74809,10.76336,-31.89313,-0.39917,-0.34912,0.67163
MPU2,-8.41221,-1.11450,-2.25954,0.08789,-0.15137,0.90161
MPU1,-13.17557,13.45038,-18.79389,-0.48389,-0.37817,0.75171
MPU2,-2.30534,-1.43511,-0.10687,0.07373,-0.16309,0.99194
MPU1,-16.83969,-33.16031,12.82443,-0.53320,-0.43945,0.80518
MPU2,12.32061,-15.78626,1.55725,0.08716,-0.15015,0.94604
MPU1,-38.93130,-81.09924,64.97710,-0.51562,-0.45459,0.90552
MPU2,5.05344,-11.52672,4.09160,0.07300,-0.13354,1.03320
MPU1,-100.30534,-53.48092,-16.80916,-0.55298,-0.30786,0.61548
MPU2,9.78626,-6.83969,5.38931,0.15942,-0.15015,0.87695
MPU1,-9.41985,-29.55725,9.63359,-0.30786,-0.53296,0.88135
MPU2,0.65649,-4.33588,1.78626,0.08618,-0.10620,0.97412
MPU1,-6.74809,2.36641,-14.88550,-0.20508,-0.43262,0.82959
MPU2,0.21374,-1.95420,1.81679,0.14062,-0.13281,0.92505
MPU1,14.10687,24.25954,-28.99237,-0.29297,-0.50024,0.72266
MPU2,-9.37405,2.70229,-1.69466,0.12549,-0.09399,1.00317
MPU1,46.38168,34.73283,-30.19847,-0.40649,-0.53857,0.82202
MPU2,-7.72519,6.65649,-3.11450,0.13501,-0.12402,0.99048
MPU1,30.85496,35.67939,-32.36641,-0.41577,-0.40332,0.72339
MPU2,-6.13740,-1.08397,-2.27481,0.08057,-0.12695,0.96216
MPU1,-8.96183,18.85496,-24.73282,-0.40649,-0.42554,0.71191
MPU2,-0.32061,2.00000,0.90076,0.14404,-0.14771,0.97046
MPU1,0.32061,-9.20611,18.93130,-0.41724,-0.43530,0.73560
MPU2,9.78626,-4.21374,0.71756,0.12085,-0.14136,0.97119
MPU1,-64.73283,-77.80153,65.17558,-0.51343,-0.47168,0.85938
MPU2,5.12977,-7.11450,3.32824,0.09937,-0.12207,0.98071
MPU1,-52.36641,-26.80916,17.46565,0.07251,-0.54614,0.90601
