sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,-21.48092,38.56488,19.57252,0.69653,-0.15625,0.06396
MPU2,-37.40458,30.90076,-9.12977,0.66650,-0.00659,0.43140
MPU1,-16.45802,40.41221,0.39695,0.73291,-0.39771,0.40356
MPU2,-45.81680,27.06870,-25.16031,0.63086,0.01025,0.59448
MPU1,-38.07634,56.19847,-0.90076,0.67090,-0.24927,0.33008
MPU2,-68.97710,33.23664,-34.44275,0.60352,0.02539,0.61719
MPU1,-52.61069,56.19847,-6.80916,0.62207,-0.40649,0.51440
MPU2,-73.77100,18.61069,-47.35878,0.49976,-0.02905,0.76172
MPU1,-27.23664,77.83206,-11.77099,0.51953,-0.42261,0.61548
MPU2,-93.52672,73.58778,-40.06107,0.50879,0.01221,0.85107
MPU1,-83.96947,80.65649,-6.18321,0.41138,-0.37939,0.60010
MPU2,-93.60305,12.83969,-54.24427,0.37720,-0.07495,0.89453
MPU1,-45.09924,79.31298,-22.88550,0.54614,-0.58374,0.92090
MPU2,-88.44275,112.12214,-43.05344,0.53564,-0.02466,1.00732
MPU1,-104.07633,116.09161,-7.72519,0.28223,-0.26807,0.56738
MPU2,-91.40458,43.67939,-55.86259,0.23657,-0.07520,0.90820
MPU1,-45.69466,70.00000,-30.64122,0.23779,-0.73877,1.11890
MPU2,-70.87023,88.77863,-45.25191,0.27930,-0.07861,0.90186
MPU1,-47.46565,91.17558,-4.82443,0.13403,-0.33472,0.70898
MPU2,-67.28244,35.25191,-56.04580,0.01294,-0.08716,0.84473
MPU1,-33.23664,64.77863,-25.03817,0.04883,-0.50854,0.92310
MPU2,-55.51145,56.04580,-50.91603,0.06104,-0.13428,0.99170
MPU1,-20.21374,75.46565,-23.11450,-0.02466,-0.46338,0.91528
MPU2,-45.46565,45.81680,-50.04580,-0.09448,-0.16528,1.02515
MPU1,16.91603,56.18320,-50.50382,-0.10547,-0.71655,1.22974
MPU2,-15.70992,11.02290,-38.18320,-0.19067,-0.33667,1.10107
MPU1,9.54198,-22.27481,-55.14504,-0.29883,-0.41455,1.09790
MPU2,-22.21374,-0.87023,-15.93893,-0.10522,-0.25293,1.35278
MPU1,-12.36641,17.87786,-0.65649,-0.04077,-0.49878,1.19873
MPU2,-11.87786,19.63359,8.50382,-0.04004,-0.32983,1.29907
MPU1,-2.41221,-12.01527,-2.30534,-0.05933,-0.62646,1.33618
MPU2,5.86260,5.09924,15.09924,-0.01831,-0.39380,1.38306
MPU1,16.73282,3.51145,23.06870,-0.04517,-0.72388,1.32251
MPU2,24.62595,-6.38168,22.59542,-0.07031,-0.40015,1.28394
MPU1,22.24427,-26.59542,9.90840,-0.02124,-0.67773,1.18042
MPU2,35.86259,-16.96183,29.64886,-0.03540,-0.38965,1.28418
MPU1,20.42748,-38.16794,22.41221,-0.01636,-0.63599,1.17090
MPU2,44.88550,-25.86259,37.80153,-0.01025,-0.30273,1.23340
MPU1,36.53435,-49.87786,14.94656,0.09009,-0.63672,1.16187
MPU2,55.37405,-29.26718,38.68702,0.03394,-0.24048,1.16284
MPU1,34.61069,-45.93893,19.48092,0.10571,-0.46826,0.99707
MPU2,54.94656,-33.31298,38.13741,0.00830,-0.12280,1.06909
MPU1,45.43512,-60.51908,7.51145,0.06958,-0.50171,1.06299
MPU2,56.90076,-38.42748,35.35878,0.01733,-0.08154,1.06323
MPU1,41.22137,-44.62595,17.80153,0.08521,-0.35669,0.91870
MPU2,51.52672,-30.10687,37.67939,0.04639,-0.03418,0.99731
MPU1,25.46565,-47.81680,26.19847,0.12012,-0.33057,0.85986
MPU2,40.47328,-49.35878,31.87786,0.05811,-0.01294,0.90210
MPU1,24.97710,-55.93893,12.70229,0.23267,-0.35205,0.83521
MPU2,32.77863,-36.91603,26.10687,0.18823,0.00415,0.92480
MPU1,21.34351,-36.68702,21.83206,0.25879,-0.34497,0.78467
MPU2,27.20611,-48.56488,22.99237,0.20068,-0.00244,0.83252
MPU1,22.04580,-63.89313,-0.85496,0.30371,-0.38062,0.81030
MPU2,24.58015,-46.54962,10.97710,0.36255,-0.00391,0.92725
MPU1,16.41221,-46.42748,10.70229,0.39941,-0.38647,0.80933
MPU2,29.43511,-47.48092,15.34351,0.40186,-0.00952,0.90649
MPU1,19.41985,-70.00000,-7.09924,0.43652,-0.43750,0.88135
MPU2,32.42748,-38.13741,13.86260,0.52319,0.07251,0.92554
MPU1,11.28244,-51.72519,17.43511,0.44556,-0.33716,0.83203
MPU2,32.36641,-75.03817,23.81679,0.43945,0.09155,0.91211
MPU1,5.11450,-92.45802,-8.32061,0.59912,-0.35254,0.77563
MPU2,34.85496,-76.79389,10.62595,0.58374,0.10547,0.66748
MPU1,26.13741,-63.72519,-0.87023,0.64966,-0.27246,0.53271
MPU2,32.76336,-48.36641,14.80916,0.57251,0.12720,0.51343
MPU1,9.61832,-64.93130,-14.44275,0.59399,-0.14380,0.31177
MPU2,28.29008,-42.77863,7.83206,0.56885,0.09863,0.43481
MPU1,-7.09924,-12.07634,18.58015,0.65942,-0.17969,0.20459
MPU2,17.96947,11.72519,17.63359,0.72119,0.00439,0.41724
MPU1,23.43511,-4.67176,22.03053,0.73169,-0.36035,0.23242
MPU2,12.53435,-20.50382,7.28244,0.58984,-0.04272,0.33179
MPU1,-0.50382,-23.70992,3.29771,0.63037,-0.34985,0.18384
MPU2,3.58779,10.65649,8.01527,0.76538,-0.06201,0.39624
MPU1,29.95420,15.28244,13.74046,0.69751,-0.43481,0.30103
MPU2,-0.99237,21.95420,3.77099,0.71582,-0.01733,0.52808
MPU1,-7.52672,23.67939,11.92366,0.73315,-0.29272,0.23853
MPU2,-11.81679,28.09160,-4.48855,0.70752,0.01880,0.48145
MPU1,-6.54962,23.67939,1.81679,0.66040,-0.37085,0.39233
MPU2,-21.31298,35.19084,-5.19084,0.65918,0.02930,0.51465
MPU1,-16.94657,55.16031,24.12214,0.65283,-0.24585,0.30298
MPU2,-32.41221,34.07634,-5.81679,0.61084,0.04541,0.60571
MPU1,-18.15267,33.08397,4.09160,0.64551,-0.46387,0.58154
MPU2,-31.46565,50.38168,-8.47328,0.63965,0.04492,0.66187
MPU1,-5.16031,73.25191,25.55725,0.56030,-0.27954,0.47241
MPU2,-43.83206,47.40458,-7.03817,0.49707,0.08008,0.69385
MPU1,-41.78626,26.64122,-2.48855,0.56079,-0.42627,0.63867
MPU2,-35.34351,35.86259,-15.38931,0.55762,0.03149,0.70532
MPU1,11.67939,81.08397,28.79389,0.49390,-0.35547,0.63379
MPU2,-45.16031,84.80916,-4.19847,0.45679,0.06860,0.83057
MPU1,-52.70229,61.35878,16.61069,0.42920,-0.30298,0.59619
MPU2,-39.52672,17.34351,-23.09924,0.27417,0.01611,0.76221
MPU1,-5.37405,55.89313,0.74809,0.42529,-0.49927,0.88599
MPU2,-40.61069,83.96947,-15.31298,0.38086,0.07886,0.95215
MPU1,-31.00763,74.68702,18.58015,0.21240,-0.27881,0.73975
MPU2,-44.50382,22.90076,-20.91603,0.04126,0.01343,0.96021
MPU1,-25.77099,39.29771,-8.32061,0.18384,-0.54810,1.02051
MPU2,-43.49618,53.25191,-17.17557,0.20581,-0.03638,1.09985
MPU1,-25.22137,75.40458,25.16031,0.15820,-0.45117,0.87622
MPU2,-48.22901,23.31298,-14.93130,0.04004,-0.04028,1.06323
MPU1,-38.42748,33.66412,-8.06107,0.11987,-0.59058,1.02197
MPU2,-47.28244,20.96183,-15.72519,0.09692,-0.14526,1.21460
MPU1,-32.87023,36.30534,7.25191,0.04834,-0.65674,1.08350
MPU2,-36.71756,6.82443,-13.92366,-0.02637,-0.17139,1.17383
MPU1,-23.41985,18.65649,-5.52672,0.03442,-0.66333,1.09302
MPU2,-20.99237,27.14504,-5.72519,0.04590,-0.20972,1.25342
MPU1,-1.32824,30.45802,9.06870,-0.00806,-0.73755,1.16284
MPU2,1.72519,15.87786,-7.31298,-0.04321,-0.21582,1.19800
MPU1,17.22137,15.64886,-3.22137,0.04883,-0.69238,1.10718
MPU2,14.94656,22.56489,-5.67939,0.01025,-0.16455,1.17041
