sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,-16.00000,-12.59542,19.93893,-0.15259,0.12769,0.43799
MPU2,-16.61069,49.48092,60.56488,0.12378,0.20776,0.71973
MPU1,-10.59542,-6.29008,61.57252,-0.13110,-0.23169,0.71924
MPU2,-13.67939,7.78626,69.38931,0.00024,0.18188,0.57764
MPU1,-18.38168,-14.80916,37.69466,0.00928,-0.18042,0.64062
MPU2,-26.35114,35.23664,62.91603,0.21191,0.16333,0.66406
MPU1,-21.29771,21.06870,59.17557,0.13257,-0.22412,0.60156
MPU2,-42.51908,66.04580,53.48092,0.27148,0.16919,0.64478
MPU1,-23.93893,60.62595,59.40458,0.30273,-0.25098,0.61304
MPU2,-75.92367,114.15267,35.20611,0.37109,0.13257,0.73315
MPU1,-50.56488,99.14503,51.34351,0.34985,-0.37842,0.57104
MPU2,-111.40458,90.90076,-9.95420,0.33618,-0.01050,0.72949
MPU1,-37.08397,151.12978,28.04580,0.40356,-0.58667,0.60400
MPU2,-140.50381,146.93130,-49.22137,0.35059,-0.24365,1.06909
MPU1,-80.79389,114.45802,-22.79389,-0.03564,-0.86475,0.87207
MPU2,-142.48856,51.49618,-97.16031,0.17163,-0.41455,1.11646
MPU1,-95.92367,92.24428,-82.51908,0.11890,-1.12427,0.99048
MPU2,-128.56488,23.35878,-121.57252,0.24023,-0.62646,1.48462
MPU1,-96.90076,64.77863,-95.60305,-0.14941,-1.33984,1.28882
MPU2,-87.00764,14.77863,-138.87022,0.15601,-0.75317,1.67261
MPU1,-25.34351,88.56489,-128.53435,-0.06738,-1.73071,1.61011
MPU2,-9.26718,15.22137,-157.51144,-0.00391,-0.74512,1.69678
MPU1,32.50382,90.54962,-127.90839,-0.50269,-1.41431,1.41650
MPU2,53.28244,4.65649,-140.80916,-0.26270,-0.78735,1.65479
MPU1,82.36641,18.21374,-120.54962,-0.96094,-1.35303,1.55640
MPU2,110.38168,-33.95420,-102.10687,-0.46802,-0.68628,1.62720
MPU1,96.79389,-23.19084,-100.97710,-1.01685,-1.09546,1.24438
MPU2,143.11450,-62.71756,-60.87023,-0.53394,-0.53564,1.32129
MPU1,138.50381,-60.01527,-65.74046,-1.04297,-0.87109,0.97412
MPU2,152.80916,-59.52672,-11.83206,-0.48584,-0.38892,1.14551
MPU1,119.80153,-81.16031,-22.19847,-0.94653,-0.60791,0.72754
MPU2,159.64885,-57.34351,27.75573,-0.42603,-0.23584,0.82324
MPU1,138.27481,-51.19084,55.69466,-0.69824,-0.41577,0.51758
MPU2,153.60306,-3.61832,71.11450,-0.29028,-0.15405,0.71460
MPU1,119.81680,-94.58015,52.68702,-0.52051,-0.37085,0.47485
MPU2,148.91603,-27.20611,78.54962,-0.19458,-0.10034,0.48755
MPU1,102.76336,-66.48855,89.31298,-0.26978,-0.15552,0.21265
MPU2,115.55725,71.40458,98.88550,0.07520,-0.04224,0.48267
MPU1,32.71756,33.95420,124.76336,-0.00903,0.06274,-0.03906
MPU2,42.85496,101.09924,109.92367,0.05981,0.20142,0.24707
MPU1,2.74809,0.62595,134.80916,0.04907,-0.02954,0.28467
MPU2,13.12977,96.38168,122.88550,0.37842,0.20703,0.15771
MPU1,-2.16794,-13.17557,114.00000,0.42212,-0.16113,0.35107
MPU2,-17.61832,54.93130,110.93130,0.30249,0.15625,0.26489
MPU1,-25.19084,-8.71756,106.24428,0.33936,-0.11304,0.25488
MPU2,-44.48855,82.07633,104.99236,0.38818,0.12573,0.37109
MPU1,-41.19084,48.88550,102.03053,0.42310,-0.22754,0.28784
MPU2,-79.26717,67.54198,62.00000,0.09741,0.04468,0.45288
MPU1,-52.38168,48.44275,69.16031,-0.04663,-0.37549,0.42285
MPU2,-92.22900,62.21374,30.85496,0.26465,-0.08447,0.82983
MPU1,-75.66412,88.90076,37.95420,0.30884,-0.68799,0.71069
MPU2,-93.92367,103.02290,-23.00763,0.33789,-0.16040,0.98755
MPU1,-36.29008,94.25954,-38.48855,0.39233,-1.00659,1.13647
MPU2,-82.73283,48.16794,-81.75572,0.21826,-0.15430,1.13525
MPU1,-57.19084,91.69466,-71.11450,0.02100,-0.88892,0.89429
MPU2,-121.43511,102.58015,-110.77863,0.30640,-0.31909,1.41895
MPU1,-43.64885,182.91603,-47.83206,0.12744,-1.00098,0.94238
MPU2,-106.27481,58.12214,-133.26718,0.10718,-0.31470,1.31494
MPU1,-64.45802,93.48092,-124.96183,-0.14990,-1.03564,1.15308
MPU2,-93.11450,-3.66412,-151.28244,0.18628,-0.43384,1.53638
MPU1,-66.87023,61.20611,-126.12214,-0.23047,-1.39331,1.44995
MPU2,-38.27481,-26.25954,-159.20610,-0.03369,-0.45654,1.57227
MPU1,-14.38168,68.01527,-128.58015,-0.33301,-1.26294,1.33130
MPU2,21.80153,13.51145,-158.21375,-0.15552,-0.57422,1.63550
MPU1,88.97710,28.82443,-142.21375,-0.88257,-1.65674,1.59106
MPU2,96.96183,-30.96183,-126.41222,-0.45068,-0.69727,1.67432
MPU1,118.65649,15.57252,-86.77863,-1.10913,-1.14478,1.09790
MPU2,139.83206,-28.87023,-72.82442,-0.57812,-0.50269,1.42529
MPU1,132.39694,-43.43512,-49.69466,-1.22339,-0.99927,1.02295
MPU2,155.08397,-52.56488,-16.16794,-0.62207,-0.38135,1.21509
MPU1,151.40459,-38.54962,7.60305,-0.98901,-0.72485,0.70361
MPU2,148.94656,-13.11450,36.71756,-0.45923,-0.29810,0.97241
MPU1,112.90076,-76.76336,38.18320,-0.79932,-0.44409,0.53516
MPU2,142.30534,-27.37405,76.62595,-0.35254,-0.09766,0.65210
MPU1,117.16031,-57.69466,99.09924,-0.50464,-0.34595,0.34619
MPU2,116.44275,25.46565,104.99236,-0.10889,-0.01514,0.62500
MPU1,79.03817,-115.66412,71.54198,-0.33545,-0.27148,0.45679
MPU2,103.89313,-70.45802,111.55725,-0.09937,0.04980,0.48047
MPU1,61.69466,-65.41985,118.59542,-0.05957,-0.19995,0.35181
MPU2,77.43511,90.73283,124.65649,0.30981,0.15991,0.47046
MPU1,43.75573,-22.25954,163.12978,0.07935,-0.00488,0.23462
MPU2,18.25954,84.24428,134.35115,0.23901,0.20947,0.23291
MPU1,-32.19847,-5.55725,191.90840,-0.00952,0.10254,0.02759
