sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,2.47328,-1.09924,1.09924,-0.17554,-0.51782,0.83838
MPU2,-1.03817,-0.94656,0.58015,0.16699,0.03735,0.97046
MPU1,0.79389,0.90076,0.79389,-0.14795,-0.50391,0.81885
MPU2,-1.51145,-0.80916,-0.06107,0.16626,0.04688,0.95923
MPU1,1.77099,0.56489,0.58015,-0.14990,-0.50879,0.81592
MPU2,-0.54962,-1.03817,0.21374,0.16992,0.03784,0.95215
MPU1,1.02290,0.94656,0.82443,-0.14258,-0.49438,0.80908
MPU2,-2.97710,-1.69466,-0.16794,0.16138,0.04102,0.95337
MPU1,0.18321,-0.82443,-0.03053,-0.16821,-0.51196,0.82397
MPU2,-1.83206,-1.40458,0.68702,0.16772,0.04028,0.95947
MPU1,1.49618,0.33588,1.54198,-0.15137,-0.52197,0.84863
MPU2,-1.54198,-0.09160,-0.03053,0.16187,0.05054,0.96045
MPU1,-0.25954,-1.09924,-0.53435,-0.15210,-0.52515,0.84937
MPU2,-1.26718,-0.53435,-0.27481,0.17896,0.04883,0.97583
MPU1,-20.25954,4.03053,-4.99237,-0.16479,-0.50879,0.82642
MPU2,-0.94656,-0.03053,1.11450,0.17749,0.04419,0.95801
MPU1,-27.22137,-0.45802,-4.85496,-0.16357,-0.57153,0.81665
MPU2,1.46565,-4.51908,2.00000,0.17578,0.04858,0.95264
MPU1,-87.11450,-0.07634,-7.86260,-0.19800,-0.61963,0.77661
MPU2,6.51908,-1.84733,2.04580,0.12427,0.03882,1.00293
MPU1,-102.74809,-2.21374,-27.69466,-0.12695,-0.64795,0.71240
MPU2,2.77863,2.85496,0.30534,0.21387,0.05615,0.95874
MPU1,-122.79389,4.73282,-19.61832,-0.15771,-0.73804,0.66675
MPU2,2.56489,0.06107,1.26718,0.15479,0.07129,0.98975
MPU1,-132.19847,7.46565,-23.67939,-0.07471,-0.83618,0.60547
MPU2,-0.56489,7.34351,5.19084,0.18384,0.06860,0.89136
MPU1,-174.13741,12.27481,-18.42748,-0.07812,-0.89331,0.43042
MPU2,-3.41985,8.24428,4.70229,0.16016,-0.01172,0.91797
MPU1,-122.09161,13.19084,-14.51908,-0.10376,-0.99048,0.31323
MPU2,2.71756,2.09160,2.35115,0.16553,0.10254,0.98730
MPU1,-85.05344,4.71756,-16.51908,-0.07788,-0.96680,0.23315
MPU2,1.95420,-2.00000,4.36641,0.17310,0.05957,0.95044
MPU1,32.13741,-7.12977,1.78626,-0.07031,-1.12231,0.25952
MPU2,5.48092,-9.16031,0.22901,0.11133,0.06958,0.98413
MPU1,-29.52672,6.51908,-8.74809,0.03052,-0.84155,0.03125
MPU2,1.34351,3.28244,1.49618,0.20557,0.03394,0.93970
MPU1,-1.87786,-4.71756,4.77863,-0.08936,-1.03931,0.15942
MPU2,-0.94656,-0.61069,1.61832,0.14893,0.07129,0.93433
MPU1,-119.77100,19.95420,-11.81679,-0.00781,-0.85620,-0.03223
MPU2,1.67939,4.21374,7.38931,0.19238,0.04272,0.90405
MPU1,-99.38931,-9.75572,-12.35114,-0.13892,-1.02051,-0.12085
MPU2,7.03817,9.23664,7.14504,0.12817,0.09375,0.94385
MPU1,-92.38168,14.18321,-8.13740,0.02344,-0.95459,0.00952
MPU2,-5.96947,1.05344,-2.01527,0.16040,0.13159,0.94702
MPU1,-134.12213,15.58779,-15.83206,-0.13745,-1.10278,-0.13452
MPU2,-4.16794,8.91603,1.52672,0.14404,0.09473,0.97754
MPU1,-113.51145,20.48855,-12.09160,-0.03784,-1.04980,-0.22900
MPU2,0.01527,12.35114,2.42748,0.14331,0.08765,0.96436
MPU1,-111.60305,5.78626,-8.70229,-0.08569,-0.99756,-0.44678
MPU2,5.16031,18.42748,2.88550,0.05884,0.12158,0.95605
MPU1,-96.33588,27.54198,-0.79389,0.01147,-0.96387,-0.44751
MPU2,3.43511,-1.25191,3.29771,0.13867,0.05151,0.93872
MPU1,-134.65649,28.29008,-0.03053,0.04102,-0.77832,-0.65234
MPU2,-7.37405,31.90840,-1.92366,0.12695,0.12134,1.11719
MPU1,6.61069,-6.64122,-14.70229,0.03979,-0.87207,-0.63818
MPU2,-2.77863,24.39695,5.96947,0.16016,0.07812,0.99902
MPU1,-17.87786,-0.61069,-5.90840,0.05396,-0.82446,-0.68823
MPU2,0.09160,-12.51908,0.59542,0.04199,0.08618,0.98486
MPU1,190.44275,-28.36641,-1.83206,-0.01611,-0.98291,-0.62451
MPU2,-16.85496,-61.75573,5.66412,0.08984,0.07593,0.97021
MPU1,145.22137,-12.71756,-3.70992,0.17969,-0.48999,-0.61938
MPU2,-6.15267,-17.67939,-6.47328,0.16699,0.07251,0.94629
MPU1,489.08398,-48.19847,73.46565,-0.22510,-1.50586,-0.22632
MPU2,11.49618,-15.81679,5.55725,0.10278,0.10596,1.01880
MPU1,304.87024,-74.96183,38.79389,0.03198,-0.75513,-0.18481
MPU2,13.86260,-14.39695,-1.45038,0.16431,0.11523,0.91846
MPU1,114.90076,-25.54198,12.21374,-0.04419,-0.96094,0.12427
MPU2,20.04580,-9.52672,-0.16794,0.14014,0.08105,0.94971
MPU1,334.61069,-59.49618,49.70992,-0.15479,-0.90820,0.47070
MPU2,5.72519,-19.05343,0.39695,0.16724,0.15039,0.92041
MPU1,207.57253,-22.21374,24.15267,-0.03418,-0.75830,0.52490
