sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,3.34351,-2.91603,1.25191,0.00220,-0.31519,0.95898
MPU2,-0.16794,-0.32061,1.16031,0.02710,-0.01929,0.97168
MPU1,1.86260,-0.04580,1.77099,0.01538,-0.29663,0.91260
MPU2,-2.61069,-1.00763,1.12977,0.02686,-0.01221,0.94238
MPU1,-1.54198,-1.80153,1.43511,0.01367,-0.29712,0.92578
MPU2,-4.33588,0.12214,2.71756,0.02222,-0.01978,0.95654
MPU1,-1.78626,-0.51908,6.42748,-0.01147,-0.28760,0.94556
MPU2,-6.70229,-5.37405,6.67176,0.00488,0.01245,1.01025
MPU1,-8.83969,-8.70229,12.35114,-0.02051,-0.25610,1.10645
MPU2,-4.39695,-11.90840,26.80916,0.02441,0.12988,1.26367
MPU1,-14.76336,-48.58015,27.86259,-0.11450,-0.32861,1.48560
MPU2,23.64886,-61.19084,44.80916,0.03418,0.06177,1.43164
MPU1,31.89313,-91.80153,18.42748,0.12012,-0.59521,1.58765
MPU2,55.57252,-80.99236,39.05344,0.24707,-0.03296,1.31104
MPU1,50.58015,-102.62595,-7.29771,0.37061,-0.60449,1.15479
MPU2,64.77863,-81.60305,7.75573,0.39185,-0.08667,1.04077
MPU1,58.45802,-67.87786,-31.49618,0.50977,-0.51294,0.70264
MPU2,48.62595,-42.36641,-21.75573,0.45361,-0.07715,0.74805
MPU1,35.69466,-17.37405,-42.99237,0.49756,-0.32104,0.36304
MPU2,16.42748,-32.54962,-50.85496,0.36475,-0.04565,0.52515
MPU1,14.24428,-8.25954,-60.41221,0.36597,-0.30396,0.33057
MPU2,-14.54962,-20.61069,-76.82442,0.33813,-0.03076,0.44165
MPU1,-19.02290,33.92366,-80.38168,0.38770,-0.18774,0.15698
MPU2,-49.69466,11.05344,-88.45802,0.22485,-0.04224,0.44531
MPU1,-38.47328,65.49619,-66.25954,0.02515,-0.19043,0.32251
MPU2,-77.32825,43.49618,-84.79389,0.11084,-0.03296,0.45142
MPU1,-60.97710,93.63359,-52.27481,-0.03662,-0.08618,0.28198
MPU2,-105.63359,46.51908,-79.52672,-0.05444,-0.04077,0.55273
MPU1,-83.00764,87.51145,-37.23664,-0.32886,-0.18896,0.57300
MPU2,-122.27481,50.07634,-61.55725,-0.13232,-0.11084,0.69067
MPU1,-86.32061,98.06107,-1.25191,-0.41821,-0.22510,0.69165
MPU2,-124.12214,53.87786,-39.29771,-0.25903,-0.18384,0.84595
MPU1,-79.87786,88.01527,1.02290,-0.51538,-0.29980,0.92065
MPU2,-114.15267,48.35115,-6.47328,-0.39771,-0.28345,1.05762
MPU1,-64.44275,61.20611,24.51908,-0.71143,-0.38696,1.23267
MPU2,-92.71756,14.38168,28.29008,-0.46704,-0.35156,1.22168
MPU1,-50.21374,23.34351,49.03817,-0.67188,-0.52002,1.48462
MPU2,-60.33588,35.74046,67.84733,-0.30615,-0.37866,1.37378
MPU1,-31.89313,12.62595,91.63359,-0.76489,-0.43750,1.38940
MPU2,-29.57252,-19.43511,102.59542,-0.41724,-0.48999,1.45142
MPU1,-6.79389,-60.44275,98.53435,-0.41772,-0.69580,1.54785
MPU2,6.54962,-18.04580,130.18321,-0.14160,-0.47754,1.38232
MPU1,-21.46565,-115.67939,110.58015,-0.47095,-0.60962,1.29468
MPU2,35.86259,-100.19847,137.41985,-0.07031,-0.50195,1.41260
MPU1,13.57252,-133.63359,86.96183,-0.02148,-0.84985,1.23926
MPU2,59.63359,-93.61832,135.60306,0.12695,-0.53442,1.29370
MPU1,-2.58015,-156.10687,67.58778,0.08276,-0.88159,1.07935
MPU2,78.90076,-100.15267,115.00764,0.29443,-0.50317,1.21313
MPU1,48.68702,-145.40459,52.01527,0.24805,-1.00220,1.13818
MPU2,97.12977,-103.90839,85.28244,0.32446,-0.43213,1.19897
MPU1,28.25954,-143.35878,8.51908,0.44897,-0.76074,0.79932
MPU2,91.72519,-104.51908,49.84733,0.39893,-0.36792,1.15796
MPU1,61.63359,-121.98473,-13.06870,0.45093,-0.95020,1.05762
