gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
2.24427,0.38168,1.95420,-0.19678,-0.01172,0.96582,MPU1
-3.16031,-2.07634,0.56489,-0.15161,-0.19824,0.91797,MPU2
1.35878,-0.41221,1.67939,-0.18042,-0.01172,0.98022,MPU1
-2.99237,-0.97710,0.73282,-0.15649,-0.20312,0.92383,MPU2
1.75573,1.02290,0.44275,-0.17383,-0.01880,0.97729,MPU1
-2.79389,-0.16794,0.10687,-0.15210,-0.20166,0.93042,MPU2
-0.70229,0.27481,-0.10687,-0.17993,-0.00537,0.97803,MPU1
-3.69466,-0.58015,-0.48855,-0.16626,-0.21240,0.94116,MPU2
1.96947,0.64122,0.48855,-0.19165,-0.01660,0.99243,MPU1
-0.42748,1.96947,0.33588,-0.16431,-0.21240,0.95386,MPU2
-0.80916,-0.32061,0.51908,-0.20410,-0.00366,0.95605,MPU1
-3.60305,-0.90076,0.09160,-0.15430,-0.21240,0.93799,MPU2
-0.07634,0.35115,0.39695,-0.19727,-0.01074,0.98877,MPU1
-1.49618,-1.19084,1.60305,-0.17188,-0.22485,0.95312,MPU2
2.88550,1.90840,1.02290,-0.18677,-0.01758,0.99243,MPU1
-2.13740,-1.23664,0.54962,-0.16699,-0.20532,0.93970,MPU2
1.60305,-0.25954,1.69466,-0.20410,-0.01709,0.99414,MPU1
-1.20611,-1.32824,0.71756,-0.16943,-0.21899,0.94263,MPU2
3.16031,-0.88550,1.75573,-0.19775,-0.02515,0.98633,MPU1
-0.36641,0.74809,0.50382,-0.13379,-0.20996,0.95312,MPU2
2.64122,0.82443,0.16794,-0.18579,-0.01636,0.98242,MPU1
-0.04580,0.04580,-0.93130,-0.16309,-0.20483,0.92651,MPU2
2.99237,-0.07634,0.41221,-0.20166,-0.00464,0.96826,MPU1
-2.04580,-0.96183,-0.39695,-0.16406,-0.19995,0.92749,MPU2
0.04580,-1.14504,0.39695,-0.21045,-0.00977,0.96191,MPU1
-3.05344,-1.77099,-0.04580,-0.16577,-0.21045,0.93408,MPU2
0.74809,-0.10687,1.09924,-0.20142,-0.01050,0.98218,MPU1
-2.51908,-1.34351,-0.04580,-0.16357,-0.20752,0.95044,MPU2
1.19084,-0.48855,0.59542,-0.19092,-0.01343,0.99658,MPU1
-3.25191,-1.38931,-0.45802,-0.16724,-0.19995,0.93433,MPU2
0.61069,0.80916,0.61069,-0.20288,-0.01050,0.97144,MPU1
-2.27481,-1.48092,1.05344,-0.17529,-0.21265,0.92358,MPU2
0.51908,2.30534,1.19084,-0.19873,-0.00781,0.96460,MPU1
-4.48855,-0.29008,1.28244,-0.16797,-0.20728,0.92896,MPU2
0.29008,-1.60305,1.52672,-0.19434,-0.01831,0.98169,MPU1
-3.48092,-0.97710,0.76336,-0.14771,-0.20630,0.94580,MPU2
0.64122,0.83969,0.74809,-0.19336,-0.02173,0.98364,MPU1
-2.19847,-0.03053,0.33588,-0.16089,-0.21167,0.94629,MPU2
1.09924,-0.61069,0.64122,-0.20703,-0.01782,0.99048,MPU1
-0.61069,-0.56489,1.40458,-0.17700,-0.21948,0.95215,MPU2
2.74809,0.00000,1.09924,-0.20410,-0.01807,0.98218,MPU1
-0.22901,5.72519,0.13740,-0.14990,-0.21484,0.93872,MPU2
-2.73282,11.12977,19.34351,-0.27979,0.02905,0.77344,MPU1
-11.93893,28.21374,-0.77863,-0.12598,0.12964,-0.28516,MPU2
-244.13741,-156.06107,-41.96947,0.40845,0.19312,-2.25977,MPU1
-500.27481,-218.99237,-114.82442,0.39478,-0.47388,-3.73462,MPU2
-500.27481,107.22137,12.42748,-0.14673,-2.60645,-2.96533,MPU1
-500.27481,-202.94656,-90.74809,0.50244,-3.73486,-0.46045,MPU2
-472.27481,41.32824,2.44275,-0.27661,-3.56616,1.65918,MPU1
-230.01527,-79.86259,-1.34351,0.72583,-3.14478,1.78955,MPU2
-163.49619,-49.78626,13.25191,-0.20337,-2.52490,1.26929,MPU1
-164.50381,-60.47328,-39.58779,0.94141,-2.26245,0.68896,MPU2
-94.44275,8.48855,-19.05343,-0.09448,-1.89722,0.97070,MPU1
-23.06870,23.78626,-1.60305,0.06592,-1.83765,0.75391,MPU2
26.03053,4.50382,6.18321,-0.29419,-1.39771,0.61133,MPU1
45.25191,-2.56489,6.18321,0.28979,-1.32056,-0.06030,MPU2
35.57252,-1.96947,-9.61832,-0.05005,-1.16528,-0.08276,MPU1
30.19847,15.40458,6.16794,0.18799,-1.05420,-0.25635,MPU2
36.04580,19.09924,7.19084,-0.18774,-0.94604,-0.13037,MPU1
36.38168,25.55725,22.39695,0.15576,-0.98071,-0.19580,MPU2
47.95420,9.22137,-0.73282,-0.17065,-0.94458,-0.06812,MPU1
43.19084,-2.76336,14.21374,0.09131,-0.97119,-0.41479,MPU2
-31.69466,16.47328,21.63359,-0.18555,-0.90039,-0.34473,MPU1
-56.21374,-9.95420,4.04580,0.10107,-0.93042,-0.39331,MPU2
-17.03817,11.29771,10.96183,-0.10010,-0.93994,0.03540,MPU1
-13.28244,-13.83206,12.71756,0.15503,-0.98535,-0.15479,MPU2
4.51908,-6.68702,7.61832,-0.12354,-0.99097,-0.07349,MPU1
-5.52672,7.58779,2.76336,0.18994,-1.03296,-0.18091,MPU2
-2.15267,1.55725,5.67939,-0.14038,-1.01367,-0.07373,MPU1
23.16031,4.88550,11.98473,0.12915,-1.09521,-0.06909,MPU2
18.51908,-2.80916,7.41985,-0.19775,-1.02808,-0.05835,MPU1
