sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,-0.47328,-1.83206,0.64122,0.08301,-0.35815,0.93164
MPU2,-0.70229,-0.50382,0.70229,0.00000,-0.07910,0.97339
MPU1,2.21374,-0.03053,1.55725,0.09351,-0.35400,0.91895
MPU2,-1.95420,-0.94656,0.27481,-0.01587,-0.07007,0.96924
MPU1,0.54962,-1.31298,1.19084,0.09082,-0.35327,0.90991
MPU2,-0.50382,-0.27481,0.76336,-0.01831,-0.07568,0.96069
MPU1,1.54198,0.65649,0.96183,0.09644,-0.35327,0.90869
MPU2,-2.79389,-0.36641,-0.12214,-0.01636,-0.06641,0.96777
MPU1,-0.22901,-0.15267,1.02290,0.09546,-0.35010,0.91992
MPU2,-1.75573,-1.40458,-0.24427,-0.02026,-0.07935,0.98193
MPU1,2.51908,0.80916,1.49618,0.10107,-0.35596,0.93164
MPU2,-1.95420,-0.38168,0.74809,-0.02246,-0.06836,0.97290
MPU1,-0.39695,-0.32061,1.34351,0.10010,-0.33862,0.90405
MPU2,-5.19084,0.90076,-0.36641,-0.00903,-0.06763,0.95557
MPU1,0.33588,9.49618,4.64122,0.10791,-0.35278,0.91748
MPU2,-3.25191,27.11450,5.28244,0.03906,-0.07104,0.97290
MPU1,4.97710,49.17557,23.83206,0.10889,-0.30835,0.84473
MPU2,-6.87023,97.11450,13.87786,0.08252,-0.07910,0.97192
MPU1,24.00000,144.00000,58.42748,0.16089,-0.33594,0.78662
MPU2,2.35115,265.22137,31.46565,0.18384,-0.09741,1.00171
MPU1,41.81680,332.41220,120.47328,0.02417,-0.24048,0.63672
MPU2,19.14504,330.74808,26.06107,-0.43164,-0.10059,0.73926
MPU1,57.40458,257.11450,91.78626,-0.71167,-0.32178,0.98340
MPU2,33.22137,318.67175,38.53435,-0.59863,-0.08374,0.68262
MPU1,90.18320,339.38931,150.19847,-0.77832,-0.08667,0.60889
MPU2,42.25954,374.76337,59.87786,-0.74512,0.05713,0.19995
MPU1,96.38168,369.37405,165.55725,-0.82935,0.12134,0.24780
MPU2,35.05344,393.74045,66.70229,-0.81934,0.07593,0.00391
MPU1,114.18320,343.72519,176.76335,-1.06812,0.20020,0.22876
MPU2,37.08397,392.19849,99.37405,-0.71069,0.17310,-0.25732
MPU1,113.37405,336.97711,187.41985,-0.87695,0.38135,-0.16431
MPU2,24.45802,340.09161,90.74809,-0.70337,0.25464,-0.75781
MPU1,103.67939,248.50381,175.70993,-0.78076,0.45239,-0.49683
MPU2,8.15267,209.11450,86.12214,-0.71631,0.30078,-1.05762
MPU1,38.67176,122.94656,133.92366,-0.67969,0.56763,-0.93384
MPU2,-22.99237,82.58015,54.13741,-0.56860,0.27783,-1.06372
