gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
1.52672,-2.22901,0.85496,0.08887,-0.07007,1.00317,MPU1
-2.16794,-0.32061,0.59542,0.13770,-0.16040,0.95532,MPU2
0.13740,0.45802,0.79389,0.10132,-0.06812,0.98853,MPU1
-3.89313,-2.36641,0.59542,0.12695,-0.16675,0.96533,MPU2
3.05344,1.34351,1.54198,0.09082,-0.07544,1.03516,MPU1
0.48855,0.27481,1.35878,0.13281,-0.16675,0.96362,MPU2
3.11450,-1.08397,1.89313,0.09741,-0.08398,0.99536,MPU1
-0.64122,-0.45802,0.71756,0.16382,-0.16235,0.94702,MPU2
3.67939,1.40458,0.44275,0.12109,-0.08350,0.99951,MPU1
0.09160,0.59542,-1.11450,0.15967,-0.15649,0.94263,MPU2
2.01527,-1.83206,-1.75573,0.10767,-0.08813,0.98999,MPU1
-0.30534,-1.55725,-1.49618,0.13477,-0.17505,0.95703,MPU2
4.35115,1.45038,-0.99237,0.10425,-0.07935,1.01978,MPU1
0.36641,5.60305,-2.51908,0.18408,-0.15845,0.98096,MPU2
3.51145,3.49618,-4.90076,0.13647,-0.08813,0.99121,MPU1
-1.51145,-0.88550,-7.03817,0.16626,-0.15942,0.93921,MPU2
1.48092,1.55725,-9.70992,0.14697,-0.07764,0.98730,MPU1
-4.01527,-0.74809,-13.55725,0.18530,-0.15039,0.94873,MPU2
-2.77863,-11.09924,-16.27481,0.08960,-0.08594,1.04150,MPU1
-0.42748,-25.08397,-16.64122,0.10083,-0.18188,0.97827,MPU2
1.67939,-24.12214,-13.96947,0.10913,-0.04932,1.09570,MPU1
9.22137,-9.54198,-14.83969,0.18286,-0.12109,1.08081,MPU2
5.03817,-10.56489,-12.82443,0.10938,-0.01660,1.03467,MPU1
-0.51908,-21.48092,-7.60305,0.01465,-0.13428,0.88110,MPU2
-7.61832,-27.34351,-2.59542,0.03809,-0.02661,0.94434,MPU1
-5.22137,-33.80153,-2.38168,0.08594,-0.15747,0.91748,MPU2
-6.82443,-23.77099,5.98473,0.09888,-0.06372,0.97510,MPU1
-6.59542,-16.15267,6.99237,0.21680,-0.14209,0.94287,MPU2
-2.15267,-2.51908,6.48855,0.24292,-0.10522,0.97388,MPU1
-3.26718,-3.63359,6.18321,0.25757,-0.13525,0.93042,MPU2
4.73282,-5.31298,4.07634,0.23755,-0.09375,1.03149,MPU1
8.61069,-10.18321,3.28244,0.24512,-0.15234,0.96777,MPU2
9.17557,-1.29771,2.00000,0.27417,-0.09058,0.91113,MPU1
9.43511,17.58779,1.05344,0.30835,-0.14624,0.90894,MPU2
7.63359,13.84733,-1.12977,0.21191,-0.09204,0.80615,MPU1
-5.84733,11.19084,-0.32061,0.24023,-0.14062,0.76929,MPU2
-4.09160,19.54198,0.06107,0.18433,-0.09790,0.83496,MPU1
-15.38931,16.83969,-2.50382,0.26953,-0.13745,0.85425,MPU2
-10.87023,17.54198,-6.07634,0.20532,-0.08350,0.93262,MPU1
-21.43511,8.44275,-6.68702,0.24707,-0.14331,0.93164,MPU2
-15.92366,9.77099,-7.74046,0.18188,-0.08618,1.05054,MPU1
-11.77099,7.12977,-5.93893,0.20337,-0.17700,1.09937,MPU2
-2.19847,13.75572,-5.23664,0.15381,-0.07642,1.07178,MPU1
-6.58015,8.91603,-3.74046,0.16895,-0.19214,1.00830,MPU2
-2.53435,2.18321,-4.41221,0.09717,-0.10425,1.04785,MPU1
-9.19084,-7.75573,-2.96183,0.10010,-0.22827,0.95020,MPU2
3.51145,-0.15267,1.02290,0.06299,-0.12646,1.07031,MPU1
4.93130,0.71756,2.62595,0.14819,-0.21582,1.02271,MPU2
2.67176,2.21374,1.20611,0.11816,-0.08008,0.95825,MPU1
-7.52672,-4.50382,-0.04580,0.14160,-0.15259,0.88721,MPU2
-11.75572,-12.27481,1.95420,0.07275,-0.06177,0.98926,MPU1
-8.47328,-21.34351,2.82443,0.13794,-0.19287,1.00684,MPU2
-1.38931,-2.94656,3.77099,0.16138,-0.11328,1.05444,MPU1
-2.91603,1.80153,1.46565,0.24731,-0.19775,0.99561,MPU2
4.59542,-0.93130,-2.70229,0.19653,-0.12598,1.01099,MPU1
-5.60305,-0.58015,-7.23664,0.24805,-0.16553,0.84741,MPU2
0.87023,5.75573,-6.94656,0.14111,-0.15479,0.96484,MPU1
-4.97710,21.57252,-4.47328,0.19531,-0.22095,0.90112,MPU2
-2.91603,14.54962,-10.32061,0.09814,-0.11011,0.89941,MPU1
-9.93893,18.04580,-10.15267,0.15186,-0.22095,0.93384,MPU2
7.63359,32.33588,-11.95420,0.09253,-0.15967,1.00146,MPU1
-2.83969,23.74046,-14.38168,0.17383,-0.22852,0.96460,MPU2
-0.93130,-3.72519,-18.59542,-0.02759,-0.14917,1.08789,MPU1
3.75573,-1.58779,-8.80916,0.03149,-0.33130,1.08521,MPU2
12.00000,16.29008,-10.22901,0.07642,-0.11670,0.97583,MPU1
-13.17557,15.87786,-13.41985,0.16602,-0.15625,0.81323,MPU2
-19.14504,4.36641,-6.97710,-0.01880,-0.08496,0.93823,MPU1
-22.53435,-29.09924,1.89313,0.02344,-0.26074,0.92285,MPU2
-16.13741,-18.54962,3.77099,0.15576,-0.11133,1.11670,MPU1
-11.16031,-18.99237,3.54198,0.26221,-0.20459,1.09595,MPU2
-3.75573,-11.57252,1.28244,0.23364,-0.13574,1.12720,MPU1
5.35878,5.51145,1.98473,0.27563,-0.23682,1.09473,MPU2
16.19847,14.03053,7.64885,0.13867,-0.09741,1.00488,MPU1
5.40458,4.36641,11.69466,0.12964,-0.16699,0.80615,MPU2
-1.05344,-2.73282,14.39695,0.10645,-0.05225,0.88281,MPU1
-2.77863,1.84733,15.64886,0.21899,-0.16382,0.95532,MPU2
8.96183,6.21374,14.12214,0.18115,-0.08789,1.00049,MPU1
5.87786,7.37405,11.12977,0.22241,-0.16602,0.95117,MPU2
6.10687,-1.05344,11.05344,0.12671,-0.08618,0.98535,MPU1
-0.77863,3.34351,12.09160,0.19653,-0.18091,0.94971,MPU2
7.14504,7.32824,15.03817,0.13354,-0.10742,1.04028,MPU1
6.96183,4.47328,16.39695,0.21558,-0.20532,0.99536,MPU2
11.34351,-5.11450,16.27481,0.14746,-0.09619,1.02295,MPU1
2.83969,-6.01527,14.47328,0.16870,-0.16089,0.90796,MPU2
4.90076,-7.28244,16.73282,0.12109,-0.06641,1.00879,MPU1
3.06870,-3.31298,16.67175,0.12305,-0.16602,0.92139,MPU2
-1.95420,-9.14504,18.64122,0.04688,-0.03564,0.93774,MPU1
-5.12977,-11.90840,16.67175,0.11230,-0.15991,0.91357,MPU2
-10.04580,-10.25954,18.61069,0.06665,-0.06055,0.96143,MPU1
-5.38931,-28.10687,17.98473,0.10913,-0.19312,0.96484,MPU2
-0.33588,-15.14504,18.97710,0.08374,-0.09741,1.04150,MPU1
-0.58015,-7.23664,17.49618,0.17407,-0.21729,0.99243,MPU2
0.29008,-5.86260,20.03053,0.07715,-0.13477,1.01416,MPU1
1.63359,-14.47328,18.68702,0.15283,-0.25586,0.96509,MPU2
-6.24427,-14.44275,19.77099,0.09399,-0.16821,1.01050,MPU1
-4.30534,-28.94657,19.35878,0.14966,-0.31616,0.98828,MPU2
-2.21374,-22.42748,20.85496,0.11670,-0.22070,1.07690,MPU1
3.69466,-19.40458,17.25191,0.22241,-0.32910,1.02026,MPU2
1.98473,-18.59542,17.74046,0.12671,-0.20947,0.99829,MPU1
1.84733,-27.12977,12.68702,0.18506,-0.26099,0.86108,MPU2
6.38168,-26.97710,10.73282,0.13843,-0.17798,0.98706,MPU1
13.84733,-7.17557,10.30534,0.18701,-0.22681,0.91968,MPU2
5.72519,-2.82443,10.88550,0.11377,-0.09790,0.81470,MPU1
-1.23664,2.50382,10.56489,0.16821,-0.16992,0.82349,MPU2
5.32824,-7.55725,9.03817,0.12231,-0.08374,0.95898,MPU1
11.61832,-10.29008,8.64122,0.20703,-0.17871,0.94922,MPU2
15.38931,1.55725,6.83969,0.19482,-0.09106,0.93750,MPU1
7.75573,3.92366,2.77863,0.22559,-0.16382,0.86938,MPU2
9.38931,-3.83206,3.74046,0.17480,-0.12134,0.97412,MPU1
5.48092,-5.22137,4.03053,0.21118,-0.23853,0.93604,MPU2
6.09160,4.29008,8.80916,0.09595,-0.15674,1.02783,MPU1
3.11450,5.28244,10.83969,0.21704,-0.27417,0.98535,MPU2
4.61069,-4.00000,10.79389,0.13403,-0.17310,1.02881,MPU1
-7.92366,-10.74809,11.52672,0.21973,-0.23145,0.84668,MPU2
-9.69466,-7.86260,12.01527,0.15503,-0.18921,0.99902,MPU1
-4.68702,-5.93893,13.25191,0.24756,-0.26294,0.97241,MPU2
-5.22137,-8.19847,11.12977,0.16309,-0.17041,0.98364,MPU1
-5.55725,-12.39695,10.64122,0.23755,-0.24023,0.91064,MPU2
-11.17557,-10.59542,13.89313,0.14575,-0.16699,0.94653,MPU1
-6.87023,-15.29771,11.03817,0.29932,-0.26538,0.97290,MPU2
1.74046,-3.86260,9.83206,0.24268,-0.22168,1.05688,MPU1
