gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
2.94656,-0.30534,0.88550,-0.02808,-0.19629,0.99829,MPU1
0.06107,-1.89313,0.01527,0.03931,-0.32251,0.92578,MPU2
1.51145,-0.99237,1.43511,-0.02515,-0.18311,0.97095,MPU1
-0.54962,-1.02290,0.71756,0.04858,-0.32104,0.94702,MPU2
2.71756,-1.58779,0.61069,-0.00757,-0.18164,0.99072,MPU1
0.93130,-1.43511,0.13740,0.05591,-0.31787,0.94971,MPU2
3.40458,-0.68702,0.70229,-0.01343,-0.17578,0.97217,MPU1
-1.41985,-1.78626,0.42748,0.03979,-0.30811,0.90869,MPU2
1.63359,-2.12214,0.09160,-0.01074,-0.18555,0.98291,MPU1
-1.31298,-1.78626,0.00000,0.03711,-0.32031,0.94019,MPU2
2.74809,-0.71756,0.48855,-0.00806,-0.18652,0.96924,MPU1
-1.66412,-1.96947,0.15267,0.03955,-0.31885,0.90039,MPU2
-0.03053,-0.64122,1.43511,-0.00562,-0.18896,0.95752,MPU1
-1.69466,-1.09924,0.53435,0.04761,-0.31763,0.93433,MPU2
1.51145,-1.43511,1.60305,-0.01123,-0.18115,0.98145,MPU1
-1.66412,-1.48092,0.45802,0.04419,-0.31250,0.92285,MPU2
0.39695,0.91603,1.57252,-0.00635,-0.18237,0.96240,MPU1
-3.64885,-0.97710,0.25954,0.05176,-0.31592,0.91504,MPU2
0.38168,-0.33588,0.41221,-0.00537,-0.17749,0.97852,MPU1
-3.43511,-0.38168,-0.93130,0.05420,-0.31201,0.93506,MPU2
0.59542,0.41221,-0.38168,-0.00562,-0.18066,0.96582,MPU1
-3.67939,0.03053,-0.76336,0.04761,-0.31006,0.91309,MPU2
-2.13740,2.85496,-0.18321,-0.01514,-0.19263,0.95337,MPU1
-3.83206,-0.22901,0.10687,0.03345,-0.32739,0.93726,MPU2
0.68702,-1.23664,1.25191,-0.02588,-0.19751,0.98755,MPU1
-3.72519,-0.24427,1.11450,0.03662,-0.32910,0.91455,MPU2
-1.72519,1.00763,0.93130,-0.01562,-0.18994,0.96411,MPU1
-6.25954,-1.72519,0.38168,0.05347,-0.32520,0.92432,MPU2
-0.27481,0.00000,-0.50382,0.00073,-0.20654,1.00708,MPU1
-0.97710,-0.73282,0.10687,0.05249,-0.34839,0.96875,MPU2
1.23664,0.41221,0.70229,-0.01733,-0.19897,0.99121,MPU1
-1.80153,-0.35115,-0.73282,0.06348,-0.32861,0.94702,MPU2
1.83206,-0.50382,0.33588,-0.01489,-0.19580,0.98828,MPU1
-0.79389,-1.12977,-0.51908,0.04004,-0.33521,0.94067,MPU2
3.51145,-1.17557,-1.05344,-0.00586,-0.19385,0.98999,MPU1
-1.95420,1.55725,-0.06107,0.02881,-0.33301,0.92090,MPU2
0.67176,3.61832,0.67176,-0.03101,-0.20386,0.97656,MPU1
0.71756,0.58015,0.29008,0.01807,-0.35547,0.94946,MPU2
5.20611,-1.12977,2.33588,-0.03906,-0.20288,0.97729,MPU1
-1.17557,-1.69466,2.06107,0.01123,-0.33984,0.90283,MPU2
2.53435,1.02290,3.28244,-0.03198,-0.19556,0.96997,MPU1
1.41985,-2.59542,1.75573,0.04712,-0.33252,0.96704,MPU2
5.69466,-2.47328,2.22901,-0.00439,-0.18652,1.00952,MPU1
