sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,54.00000,38.07634,-171.57253,-0.65063,-0.85278,0.37793
MPU2,-16.67175,-87.66412,-165.92366,-0.27441,-0.35083,0.87134
MPU1,51.92366,17.00763,-142.01527,-0.79956,-0.93481,0.36450
MPU2,-17.08397,-53.46565,-126.65649,-0.21436,-0.49609,1.07544
MPU1,35.87786,-6.50382,-45.23664,-1.05591,-0.75049,0.41260
MPU2,11.64886,-94.79389,-61.70992,-0.58789,-0.50293,0.85742
MPU1,65.58778,-7.00763,-18.93130,-0.87939,-0.56958,0.32373
MPU2,6.25954,35.54198,-10.74809,-0.26099,-0.34839,1.10815
MPU1,39.48092,-60.47328,-7.40458,-0.80176,-0.68848,0.66626
MPU2,10.09160,-72.39695,26.88550,-0.37793,-0.31396,0.82178
MPU1,-7.00763,-52.06107,14.00000,-0.70386,-0.59985,0.53809
MPU2,33.84733,-41.25191,94.22900,-0.27515,-0.44531,1.11890
MPU1,28.25954,-113.41985,76.54962,-1.02246,-0.88745,0.74292
MPU2,70.22900,-67.28244,145.72519,-0.22729,-0.41260,1.04077
MPU1,57.95420,-117.35878,91.90839,-0.41895,-0.92651,0.65845
MPU2,95.81680,-22.65649,142.65649,0.08667,-0.28101,1.06714
MPU1,66.67175,-103.96947,116.50381,-0.31812,-0.58936,0.62305
MPU2,84.01527,-56.04580,151.32825,0.06445,-0.05322,0.77856
MPU1,60.06107,-123.90839,105.00764,-0.19189,-0.48828,0.65723
MPU2,62.09160,-38.06107,148.67175,0.20093,0.04590,0.95996
MPU1,27.51145,-75.52672,135.74046,-0.07617,-0.47437,0.70679
MPU2,50.76336,9.48092,149.09924,0.14307,0.04761,0.88989
MPU1,14.10687,-134.19847,112.48855,-0.38989,-0.51758,0.86304
MPU2,56.85496,-51.81680,168.54962,0.18994,-0.01221,0.92749
MPU1,20.19847,-101.51145,151.92366,0.02417,-0.46436,0.71313
MPU2,56.54962,18.15267,162.76335,0.29761,0.05054,0.95044
MPU1,6.42748,-97.43511,137.35878,-0.10693,-0.44873,0.73779
MPU2,73.43511,-77.64886,175.60306,0.21899,-0.05249,0.86255
MPU1,55.96947,-95.14503,160.91603,0.15088,-0.55444,0.74658
MPU2,64.44275,58.18320,173.48091,0.46509,0.01196,0.98901
MPU1,-3.03817,-55.48092,171.75572,0.13843,-0.46338,0.72144
MPU2,69.08397,-17.77099,177.03816,0.37549,-0.10742,0.81519
MPU1,56.12214,-68.30534,167.70993,0.23584,-0.76587,0.92700
MPU2,69.51145,72.29008,166.10687,0.67920,-0.01978,0.97998
MPU1,2.42748,-48.27481,141.64885,0.49805,-0.53076,0.83008
MPU2,70.22900,6.45802,133.00763,0.81006,-0.01782,0.67798
MPU1,57.74046,-17.67939,127.16031,0.79492,-0.48511,0.87549
MPU2,43.28244,18.51908,77.31298,0.91797,0.13184,0.70630
MPU1,25.81679,-36.53435,27.93893,1.27148,-0.23291,0.85352
MPU2,-2.29008,-5.69466,-31.14504,1.18750,0.26807,0.57300
MPU1,3.63359,25.49618,-76.38168,1.45825,-0.07129,0.63159
MPU2,-59.00763,-45.90840,-119.22137,0.94312,0.14673,0.49756
MPU1,-34.38168,39.11450,-147.86259,0.89038,-0.27734,0.63574
MPU2,-88.04580,-2.58015,-160.62596,0.83032,0.02441,0.71875
MPU1,-52.03053,86.80916,-159.28244,0.53735,-0.41260,0.68237
MPU2,-101.32825,-2.61069,-174.42747,0.58154,-0.04980,0.75146
MPU1,-44.71756,88.36641,-146.93130,0.14722,-0.62085,0.80249
MPU2,-98.42748,22.13741,-171.46565,0.40698,-0.08130,0.92139
MPU1,-42.45802,68.73283,-159.64885,-0.03442,-0.64258,0.86304
MPU2,-97.35878,20.62595,-157.61832,0.29590,-0.17212,1.02222
MPU1,-44.27481,120.01527,-106.76336,-0.18774,-0.69189,0.81372
MPU2,-77.80153,-0.24427,-141.77100,0.05737,-0.17188,0.83936
MPU1,-43.25191,15.57252,-144.16794,-0.25146,-0.57251,0.86963
MPU2,-78.73283,-8.88550,-129.90840,0.28516,-0.16187,0.97070
MPU1,-36.67176,105.75572,-101.49619,0.05957,-0.61279,0.64526
MPU2,-77.06870,48.41221,-128.42747,0.22583,-0.18945,0.96387
MPU1,-33.57252,28.68702,-113.20611,-0.37524,-0.71997,0.93823
MPU2,-76.39695,-12.27481,-106.93130,0.22046,-0.22876,0.98413
MPU1,-39.34351,59.26717,-102.00000,0.04053,-0.73901,0.75146
MPU2,-68.03053,28.70229,-106.64122,0.23755,-0.22314,1.00146
MPU1,-41.54198,65.89313,-84.10687,-0.17041,-0.63916,0.77881
MPU2,-58.93130,9.03817,-94.10687,0.17041,-0.28564,0.93652
MPU1,-20.21374,67.52672,-72.00000,-0.21582,-0.75220,0.81567
MPU2,-40.91603,40.61069,-68.91603,0.04419,-0.36792,1.09888
MPU1,-12.19847,45.00763,-23.02290,-0.65430,-0.75073,0.94849
MPU2,-9.11450,47.86259,-15.58779,-0.08618,-0.40186,1.22534
MPU1,14.51908,30.00000,25.95420,-0.72388,-0.87158,1.06665
MPU2,28.62595,34.67176,39.19084,-0.19873,-0.36450,1.15308
MPU1,24.67175,-8.62595,71.49619,-0.78271,-0.66528,0.92529
MPU2,48.29008,20.15267,84.47328,-0.19165,-0.29565,1.12671
MPU1,27.74046,-39.89313,97.17558,-0.66382,-0.64697,0.87354
MPU2,57.16031,0.67176,112.91603,-0.13086,-0.20020,1.02490
MPU1,17.51145,-57.48092,109.22137,-0.46338,-0.52490,0.76294
MPU2,53.98473,-5.80153,131.75572,-0.04517,-0.14087,0.94653
MPU1,20.09160,-73.63359,114.70229,-0.38599,-0.59448,0.76416
MPU2,49.64885,2.47328,145.63359,0.03735,-0.09424,1.02051
MPU1,-1.41985,-69.67939,129.43512,-0.32007,-0.52930,0.73633
MPU2,47.23664,-5.14504,154.50381,0.04443,-0.08496,0.95044
MPU1,10.12214,-87.23664,129.93893,-0.28198,-0.62256,0.79419
MPU2,46.67176,-5.02290,161.11450,0.12939,-0.10034,0.95142
MPU1,-6.35115,-66.88550,145.43512,-0.20483,-0.56787,0.68042
MPU2,46.01527,9.31298,168.41222,0.11182,-0.14502,0.87744
MPU1,0.25954,-99.81680,144.59541,-0.24805,-0.64160,0.71094
MPU2,39.32824,-8.44275,176.22900,0.20508,-0.15649,0.91992
MPU1,-10.68702,-68.71756,161.57253,-0.04590,-0.67163,0.62573
MPU2,33.54198,-19.29771,175.98473,0.24121,-0.13525,0.77441
MPU1,4.44275,-117.93893,134.39694,0.19116,-0.71948,0.81250
MPU2,27.92366,6.00000,144.39694,0.62744,-0.00146,0.99170
MPU1,-24.53435,-37.80153,111.90839,0.62305,-0.53027,0.70093
MPU2,14.03053,27.45038,92.87023,0.61938,-0.00098,0.83813
MPU1,-16.29008,-35.78626,58.96183,0.53442,-0.49023,0.86963
MPU2,-1.69466,-18.06107,29.25191,0.71387,0.08838,0.87183
MPU1,7.23664,0.06107,-5.95420,0.89233,-0.54370,1.01929
MPU2,-5.64885,13.67939,-43.17557,0.74634,0.07983,0.83936
MPU1,-1.05344,28.68702,-67.74046,0.63892,-0.45801,0.83618
MPU2,-19.41985,-12.73282,-98.70229,0.61133,0.03467,0.86938
MPU1,18.07634,67.16031,-94.42748,0.51880,-0.55518,0.89087
MPU2,-25.70992,22.44275,-135.46565,0.59448,0.01489,0.92822
MPU1,12.13740,52.18320,-127.49619,0.23853,-0.58545,0.89160
MPU2,-31.66412,-99.02290,-154.06107,0.44409,-0.04907,0.70435
MPU1,18.44275,63.51145,-126.97710,0.32349,-0.50781,0.67822
MPU2,-53.51145,84.82442,-169.17557,0.58521,-0.07300,1.15186
MPU1,5.03817,93.20611,-81.40458,-0.16309,-0.60376,0.77441
MPU2,-55.34351,-73.92367,-157.31297,0.00708,-0.14941,0.65161
MPU1,5.95420,68.32061,-116.65649,-0.03955,-0.56079,0.65063
MPU2,-54.18320,89.54198,-157.05344,0.26440,-0.15747,1.17896
MPU1,7.49618,105.11450,-72.04580,-0.45215,-0.57446,0.82764
MPU2,-40.62595,-64.90076,-138.38168,-0.15576,-0.15259,0.68481
MPU1,-0.16794,2.29008,-103.58778,-0.36279,-0.47729,0.76123
MPU2,-47.55725,50.79389,-129.58778,0.10791,-0.14966,1.18628
MPU1,21.46565,91.95420,-60.68702,-0.41162,-0.64673,0.82080
MPU2,-17.51145,-43.61832,-107.40458,-0.31567,-0.18408,0.63794
MPU1,39.49618,-24.41221,-88.32061,-0.57593,-0.38232,0.76880
MPU2,-31.69466,2.29008,-93.75572,0.02295,-0.09888,1.00781
MPU1,18.48855,0.99237,-69.66412,-0.34570,-0.29175,0.72681
MPU2,-36.70229,-56.00000,-66.15267,-0.11719,-0.20923,0.89380
MPU1,3.52672,-31.52672,-44.15267,-0.58081,-0.38989,0.92822
MPU2,-18.30534,-1.55725,-26.38168,-0.15576,-0.34473,1.13306
