gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,sensor
0.18321,0.68702,-0.64122,-0.15137,0.11182,0.96069,MPU1
-3.86260,-1.22137,-0.12214,-0.03198,-0.13354,0.97827,MPU2
2.09160,-0.61069,1.61832,-0.17773,0.11401,0.99658,MPU1
-0.97710,1.38931,0.07634,-0.02539,-0.12549,0.96997,MPU2
0.13740,-0.76336,0.50382,-0.16895,0.11890,0.96753,MPU1
-2.91603,-1.31298,0.74809,-0.03687,-0.13794,0.97778,MPU2
1.61832,-0.19847,1.55725,-0.17407,0.10767,0.99536,MPU1
-0.32061,0.65649,1.11450,-0.02612,-0.13477,0.97925,MPU2
1.23664,0.53435,1.61832,-0.16455,0.11279,0.96216,MPU1
-3.26718,-1.08397,0.12214,-0.02759,-0.11987,0.94360,MPU2
-0.27481,-0.58015,0.99237,-0.16797,0.11328,0.96777,MPU1
-3.61832,-1.38931,-0.48855,-0.02197,-0.13306,0.97510,MPU2
1.93893,-0.42748,1.37405,-0.18848,0.10547,1.00708,MPU1
-0.36641,1.20611,0.64122,-0.02808,-0.14990,0.99805,MPU2
0.88550,1.09924,0.50382,-0.15210,0.11084,0.96240,MPU1
-4.10687,-0.79389,-0.41221,-0.03760,-0.13599,0.95239,MPU2
0.90076,-1.40458,0.24427,-0.16650,0.10962,0.98511,MPU1
-1.14504,-0.35115,0.51908,-0.03906,-0.15015,0.98096,MPU2
0.65649,0.68702,0.67176,-0.16113,0.11133,0.97144,MPU1
-2.50382,0.10687,0.39695,-0.04443,-0.14038,0.96704,MPU2
1.86260,-0.35115,0.32061,-0.15967,0.10693,0.98462,MPU1
-0.51908,-1.37405,0.13740,-0.04199,-0.14917,0.98340,MPU2
2.54962,2.18321,0.39695,-0.16553,0.10425,0.97583,MPU1
-0.35115,-0.67176,0.74809,-0.04053,-0.15283,0.96167,MPU2
2.04580,-0.61069,0.62595,-0.16479,0.11108,0.96802,MPU1
-3.16031,-1.87786,0.18321,-0.03540,-0.12891,0.95068,MPU2
1.32824,-0.15267,0.62595,-0.16919,0.11035,0.97632,MPU1
-1.22137,0.74809,0.01527,-0.04077,-0.13843,0.98438,MPU2
2.21374,-0.39695,0.87023,-0.16992,0.11938,0.98999,MPU1
-1.40458,-1.46565,0.41221,-0.03906,-0.13184,0.96802,MPU2
1.77099,1.03817,0.58015,-0.17017,0.11377,0.98242,MPU1
-1.31298,-0.35115,1.17557,-0.05591,-0.14355,0.97754,MPU2
2.03053,-0.21374,2.10687,-0.17407,0.11377,0.96851,MPU1
-0.50382,-0.62595,1.06870,-0.02563,-0.12988,0.96509,MPU2
1.86260,0.07634,0.97710,-0.15112,0.10889,0.97632,MPU1
-2.65649,-0.56489,-0.71756,-0.01245,-0.12671,0.95361,MPU2
0.68702,-0.29008,-0.79389,-0.15649,0.11206,0.97681,MPU1
-3.46565,-1.38931,-0.83969,-0.04224,-0.13867,0.95337,MPU2
0.74809,-0.93130,1.02290,-0.19141,0.11157,0.98755,MPU1
0.33588,1.00763,1.32824,-0.05078,-0.16333,1.01904,MPU2
1.49618,0.73282,1.23664,-0.17139,0.11353,0.97583,MPU1
-2.97710,0.10687,0.47328,-0.03271,-0.14258,0.96533,MPU2
-0.48855,0.24427,1.26718,-0.16479,0.10596,0.95703,MPU1
-3.02290,-2.61069,0.30534,-0.02832,-0.14087,0.97388,MPU2
2.82443,0.24427,-0.21374,-0.16040,0.10059,0.98560,MPU1
-0.83969,-0.51908,-0.29008,-0.03931,-0.14844,0.97827,MPU2
1.34351,-0.13740,0.91603,-0.18481,0.10889,0.97510,MPU1
-2.83969,-1.52672,0.38168,-0.03149,-0.13867,0.96558,MPU2
1.96947,0.90076,0.70229,-0.16577,0.10815,0.97705,MPU1
1.29771,-0.47328,0.62595,-0.03833,-0.15039,0.98828,MPU2
3.28244,0.64122,1.34351,-0.16772,0.11108,0.96021,MPU1
-2.59542,-0.38168,0.71756,-0.03735,-0.12012,0.94604,MPU2
-1.55725,-1.26718,0.50382,-0.16064,0.11401,0.95532,MPU1
-1.81679,-0.76336,0.35115,-0.03613,-0.15479,0.98853,MPU2
3.25191,-0.25954,0.16794,-0.17065,0.09570,1.00708,MPU1
-1.11450,0.68702,0.45802,-0.05298,-0.14551,0.98120,MPU2
1.49618,-0.18321,1.52672,-0.18066,0.10840,0.97729,MPU1
-2.93130,-1.09924,0.35115,-0.02319,-0.12744,0.95239,MPU2
0.51908,1.60305,-1.41985,-0.14233,0.10254,0.96143,MPU1
-2.29008,-2.13740,-0.15267,-0.07129,-0.15381,0.98096,MPU2
1.89313,0.15267,1.63359,-0.20435,0.10693,0.98389,MPU1
-2.35115,-0.27481,1.84733,-0.03394,-0.13965,0.97974,MPU2
0.41221,1.14504,1.09924,-0.15649,0.10889,0.96997,MPU1
-4.19847,-2.70229,-0.27481,-0.03052,-0.13184,0.95557,MPU2
2.36641,-1.96947,0.94656,-0.18823,0.10278,1.01123,MPU1
1.02290,0.68702,0.73282,-0.04321,-0.15161,0.98364,MPU2
1.43511,2.18321,0.73282,-0.17041,0.11450,0.94214,MPU1
-4.38168,-0.64122,-0.48855,-0.02734,-0.12256,0.92920,MPU2
-1.93893,-3.19084,0.70229,-0.18237,0.10645,0.96436,MPU1
-1.84733,-0.68702,0.29008,-0.02539,-0.16528,1.01147,MPU2
0.64122,2.61069,0.54962,-0.17480,0.11133,0.96948,MPU1
-3.67939,-0.25954,0.38168,-0.03662,-0.13550,0.96313,MPU2
0.47328,0.00000,0.85496,-0.17871,0.10107,0.99097,MPU1
-1.22137,-1.84733,0.36641,-0.03052,-0.15552,0.98804,MPU2
2.27481,0.90076,0.50382,-0.16846,0.10205,0.98071,MPU1
-2.44275,-1.48092,0.70229,-0.05469,-0.14697,0.96704,MPU2
1.31298,-1.00763,1.57252,-0.17456,0.10547,0.97119,MPU1
-1.34351,-0.79389,-0.18321,-0.01611,-0.14600,0.96997,MPU2
0.77863,0.07634,0.36641,-0.16968,0.10083,0.97803,MPU1
-2.97710,1.02290,0.74809,-0.03101,-0.14917,0.96924,MPU2
-0.07634,2.65649,1.05344,-0.16577,0.11499,0.94946,MPU1
-4.39695,-1.49618,0.29008,-0.03613,-0.13086,0.94458,MPU2
-0.76336,-1.61832,0.67176,-0.19434,0.08887,0.98315,MPU1
-4.97710,-2.67176,2.79389,-0.06592,-0.17017,0.98315,MPU2
3.06870,1.22137,1.46565,-0.16577,0.08887,1.00977,MPU1
-1.61832,1.00763,0.70229,-0.02124,-0.13354,0.94653,MPU2
0.90076,-2.10687,-0.13740,-0.16333,0.10059,0.98779,MPU1
-2.56489,-2.85496,-1.31298,-0.03223,-0.14990,0.97998,MPU2
3.48092,0.80916,0.25954,-0.18262,0.09277,0.99365,MPU1
-0.74809,-0.03053,0.88550,-0.05054,-0.14453,0.96729,MPU2
0.74809,0.25954,2.21374,-0.19971,0.10718,0.95850,MPU1
-2.25954,-3.96947,0.59542,-0.02026,-0.13403,0.93970,MPU2
1.26718,-0.62595,-0.67176,-0.15015,0.09644,0.95020,MPU1
-4.71756,-1.87786,-0.68702,-0.04517,-0.15259,0.95532,MPU2
-0.58015,0.74809,1.45038,-0.20532,0.10059,0.97583,MPU1
-7.16031,-1.87786,1.77099,-0.04077,-0.14966,0.95361,MPU2
-11.86260,-0.41221,0.19847,-0.14697,0.10669,0.96997,MPU1
-35.55725,2.85496,15.37405,-0.06958,-0.16089,1.09302,MPU2
12.68702,89.74046,32.65649,-0.49292,0.05981,1.63696,MPU1
187.14503,-17.80153,5.74046,0.19775,-1.38574,3.84546,MPU2
348.61069,-170.83969,49.67939,-0.80664,-0.58618,3.82935,MPU1
425.03818,52.65649,-5.41985,0.00928,-1.16675,2.17896,MPU2
416.38168,-69.86259,45.54198,-0.29956,-0.63940,0.80615,MPU1
434.99237,125.77100,22.15267,-0.08398,-0.79395,0.02051,MPU2
380.61069,-31.29771,90.30534,-0.31982,-0.29565,-0.49023,MPU1
306.16794,-8.33588,89.02290,-0.19629,0.10156,-1.08350,MPU2
201.70993,-180.10687,104.36641,0.07593,0.30908,-0.80273,MPU1
160.00000,-127.57252,53.23664,0.10132,0.67090,-0.90430,MPU2
65.86259,-79.17558,50.79389,0.52515,0.55054,-0.98560,MPU1
33.90840,-20.00000,4.38168,0.31030,0.92847,-0.47998,MPU2
-9.67939,-9.45038,-10.13740,0.37012,0.78003,-0.39307,MPU1
-31.67939,-38.16794,-7.40458,-0.07056,0.84546,-0.08081,MPU2
-33.45038,-27.81679,1.03817,0.14868,0.88037,0.13086,MPU1
-18.91603,-14.32061,-6.62595,0.11450,0.83521,0.32715,MPU2
-22.25954,11.95420,-17.66412,0.33032,0.99731,0.04126,MPU1
-31.37405,11.32824,-14.59542,0.01611,0.97314,0.29175,MPU2
-28.29008,13.19084,-8.01527,0.18384,1.04956,0.22339,MPU1
-26.12214,-16.25954,0.07634,-0.04468,0.94360,0.36475,MPU2
-14.16794,-4.53435,2.04580,0.22534,1.00537,0.36279,MPU1
-10.70229,4.74809,3.69466,0.02368,0.93359,0.44238,MPU2
-10.83969,20.56489,4.70229,0.27637,1.01172,0.22778,MPU1
-13.98473,5.45038,6.15267,0.02124,0.91577,0.34058,MPU2
-1.57252,0.65649,5.78626,0.25464,0.92480,0.32300,MPU1
-3.48092,-3.55725,0.64122,0.08862,0.90820,0.33301,MPU2
-0.53435,1.81679,-3.61832,0.28955,0.94238,0.24292,MPU1
-6.64122,6.64122,-4.56489,0.04492,0.89966,0.34766,MPU2
-1.29771,4.88550,-4.42748,0.23267,0.95020,0.24561,MPU1
-4.90076,-1.96947,-2.80916,-0.01172,0.88477,0.33936,MPU2
-0.12214,1.95420,-2.12214,0.23535,0.95703,0.24951,MPU1
-7.93893,1.23664,-3.11450,0.02002,0.92407,0.32617,MPU2
-4.96183,3.64885,-1.43511,0.21899,0.97070,0.24365,MPU1
-8.93130,-0.48855,1.37405,-0.00732,0.89087,0.34912,MPU2
-4.90076,-1.34351,2.39695,0.23193,0.96436,0.27100,MPU1
-2.33588,-2.12214,-0.07634,0.05444,0.88843,0.38501,MPU2
0.45802,3.49618,-3.22137,0.28491,0.95654,0.24536,MPU1
-5.40458,4.80916,-4.09160,0.01611,0.89819,0.35571,MPU2
-1.02290,-1.66412,-1.00763,0.20581,0.95410,0.25952,MPU1
-2.91603,-5.40458,-0.29008,0.00708,0.88110,0.33887,MPU2
0.73282,-0.87023,-5.34351,0.29004,0.94531,0.23975,MPU1
-3.89313,4.71756,-7.46565,0.04150,0.90137,0.36230,MPU2
-0.83969,6.09160,-4.88550,0.19971,0.96411,0.24731,MPU1
-8.61069,-3.83206,-2.24427,-0.02954,0.89648,0.33032,MPU2
-6.06107,-4.42748,-3.57252,0.22754,0.96338,0.25781,MPU1
-8.22901,-4.36641,-4.61069,0.01392,0.89160,0.38940,MPU2
-3.25191,4.39695,-4.19847,0.22437,0.95288,0.28296,MPU1
-6.03053,-0.79389,-3.64885,-0.00537,0.88110,0.38794,MPU2
-2.76336,-3.46565,-3.23664,0.20459,0.95996,0.31274,MPU1
-2.91603,0.30534,-4.65649,0.01245,0.88306,0.40552,MPU2
-1.23664,-2.73282,-4.65649,0.20679,0.96484,0.29053,MPU1
-6.41221,-2.07634,-4.77863,-0.03149,0.88403,0.37207,MPU2
-2.47328,-3.38931,-1.16031,0.17822,0.96655,0.28003,MPU1
-3.54198,-2.44275,-1.43511,-0.02197,0.88501,0.36865,MPU2
1.38931,0.70229,-1.93893,0.22437,0.94678,0.27856,MPU1
-3.23664,-0.51908,-3.26718,-0.00366,0.88696,0.37378,MPU2
-0.64122,1.45038,-2.62595,0.20142,0.96680,0.27539,MPU1
-5.03817,-2.10687,-1.26718,-0.03296,0.87549,0.38477,MPU2
0.73282,-1.61832,-0.18321,0.19775,0.95679,0.30127,MPU1
-0.54962,-2.00000,-1.84733,-0.00342,0.87793,0.39722,MPU2
-0.22901,-0.35115,-2.88550,0.22241,0.96387,0.25391,MPU1
-1.19084,0.06107,-3.86260,-0.03247,0.86890,0.41064,MPU2
3.26718,0.59542,-1.52672,0.16553,0.95728,0.30322,MPU1
-5.83206,-4.38168,0.29008,-0.07520,0.88745,0.34912,MPU2
-0.15267,-4.00000,2.25954,0.17578,0.96313,0.29736,MPU1
2.27481,-0.13740,2.76336,-0.00195,0.85840,0.42261,MPU2
3.74046,1.84733,1.19084,0.23267,0.95190,0.26538,MPU1
-4.21374,-1.34351,-1.96947,-0.00049,0.90796,0.35278,MPU2
3.26718,2.12214,-2.15267,0.20142,0.94849,0.29541,MPU1
1.05344,1.25191,-1.67939,-0.02393,0.87256,0.40332,MPU2
3.06870,0.39695,-0.85496,0.18384,0.97485,0.28418,MPU1
0.10687,1.75573,-0.76336,-0.04028,0.87817,0.38940,MPU2
2.07634,1.54198,-1.08397,0.19409,0.97217,0.27197,MPU1
-3.43511,-2.35115,-0.09160,-0.06396,0.88696,0.37646,MPU2
4.67176,-1.41985,3.46565,0.15625,0.95068,0.32129,MPU1
-0.36641,-1.05344,1.95420,-0.01782,0.89526,0.36841,MPU2
-0.03053,0.62595,0.67176,0.20825,0.95215,0.26587,MPU1
-3.26718,-0.48855,-0.36641,-0.00439,0.86914,0.37500,MPU2
0.83969,2.27481,-2.48855,0.22412,0.94775,0.24780,MPU1
-1.31298,0.09160,-2.83969,-0.01172,0.87476,0.38477,MPU2
2.67176,-1.37405,-0.74809,0.17432,0.95972,0.30054,MPU1
-3.70992,-2.36641,-2.38168,-0.03320,0.88623,0.36230,MPU2
-1.40458,3.08397,-2.96183,0.19775,0.96118,0.26245,MPU1
-5.98473,1.48092,-2.68702,-0.05664,0.87622,0.35425,MPU2
-2.22901,1.74046,-0.80916,0.17090,0.96460,0.26758,MPU1
-2.03053,-0.42748,0.64122,-0.03271,0.85474,0.39893,MPU2
-0.83969,1.25191,-0.82443,0.20581,0.95850,0.26880,MPU1
-7.83206,2.41221,-2.32061,-0.02124,0.90405,0.36255,MPU2
-4.25954,5.03817,-1.87786,0.17651,0.96777,0.28540,MPU1
-5.61832,-0.83969,-0.93130,-0.06299,0.86499,0.39722,MPU2
-0.22901,-1.89313,-0.64122,0.17236,0.95312,0.33228,MPU1
-4.21374,2.00000,-1.80153,-0.03052,0.87573,0.40747,MPU2
