sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,2.41985,0.48092,1.92366,-0.32739,-0.53027,0.74951
MPU2,-1.55725,-0.54962,0.29008,-0.02563,0.00366,0.96143
MPU1,1.52672,0.17557,1.28244,-0.34448,-0.52930,0.73877
MPU2,-2.59542,0.38168,0.67176,-0.02490,0.01123,0.97290
MPU1,0.69466,-0.18321,0.77863,-0.34326,-0.54443,0.75757
MPU2,-2.27481,0.16794,0.33588,-0.01831,0.00391,0.96582
MPU1,1.32824,0.61069,1.49618,-0.33398,-0.54541,0.75879
MPU2,-1.48092,-0.29008,-0.53435,-0.01929,0.01196,0.96704
MPU1,2.62595,0.93893,0.90076,-0.33496,-0.54053,0.76318
MPU2,-1.29771,0.82443,-0.73282,-0.01880,0.01221,0.97314
MPU1,2.27481,0.45038,0.53435,-0.34790,-0.53589,0.75415
MPU2,-1.16031,0.32061,-0.01527,-0.03223,0.00684,0.96558
MPU1,1.65649,0.48092,1.90840,-0.35303,-0.53027,0.75098
MPU2,-1.57252,-0.19847,0.64122,-0.02734,0.01709,0.95972
MPU1,1.61832,-0.12214,0.86260,-0.33862,-0.54224,0.75830
MPU2,-1.38931,0.36641,-0.16794,-0.01172,0.01318,0.96484
MPU1,1.54962,2.47328,2.32061,-0.33447,-0.51733,0.74658
MPU2,-4.32061,2.25954,0.32061,-0.03271,0.02246,0.94727
MPU1,-2.45038,-0.44275,1.03817,-0.37500,-0.51416,0.73267
MPU2,-5.81679,2.19847,2.83969,-0.03589,0.00098,0.96704
MPU1,-4.77099,1.96947,5.28244,-0.35352,-0.50879,0.73047
MPU2,-12.06107,11.78626,5.70992,-0.01514,0.03491,0.96265
MPU1,-19.56489,19.56489,22.50382,-0.36768,-0.43164,0.69336
MPU2,-20.13741,35.02290,15.37405,0.01050,0.02954,1.11475
MPU1,-9.50382,10.38931,29.52672,-0.42603,-0.79810,1.11719
MPU2,17.22137,41.84733,21.29771,0.07935,-0.03174,1.50537
MPU1,37.70992,33.25954,58.65649,-0.53613,-1.10889,1.41992
MPU2,78.03053,29.89313,11.46565,-0.05298,-0.08130,1.65088
MPU1,121.70992,-17.25191,36.90076,-0.67139,-1.29321,1.49854
MPU2,153.93893,41.02290,6.12214,-0.08545,-0.08643,1.44678
MPU1,167.58015,24.59542,91.67175,-0.67920,-0.75854,0.89795
MPU2,163.66412,65.28244,27.38931,-0.30200,0.05811,1.05933
MPU1,159.73282,-30.83969,67.94656,-0.76514,-0.51245,0.77100
MPU2,167.29771,-3.32824,40.16794,-0.40210,0.19922,0.80103
MPU1,161.10687,-52.45038,63.44275,-0.67334,-0.28345,0.63428
MPU2,162.93130,-9.43511,51.32824,-0.30762,0.29736,0.75586
MPU1,155.13741,-34.34351,80.14503,-0.47534,-0.10791,0.51733
MPU2,153.20610,-1.35878,57.75573,-0.28125,0.42651,0.55273
MPU1,142.57253,-41.48855,91.00764,-0.44897,0.06592,0.53564
MPU2,139.86259,20.51908,56.48855,-0.10913,0.51318,0.38696
MPU1,123.35114,-26.85496,84.37405,-0.13013,0.27490,0.39331
MPU2,115.37405,12.77863,43.74046,-0.02490,0.61060,0.17896
MPU1,129.46565,-43.32824,60.37405,-0.05347,0.37280,0.43042
MPU2,87.67939,-9.32824,29.16031,0.01807,0.63916,0.06006
MPU1,76.27481,-13.75572,45.30534,0.16113,0.69165,0.12158
MPU2,41.96947,24.53435,6.90076,0.13965,0.75610,-0.07471
MPU1,24.48855,-19.25191,-8.68702,0.31323,0.82007,0.12939
MPU2,-26.09160,-23.00763,-18.30534,0.14893,0.84595,-0.22314
MPU1,-52.24427,34.77863,-16.83206,0.30664,0.99658,-0.09155
MPU2,-94.64122,55.37405,-33.86259,0.22705,0.75073,-0.12207
MPU1,-118.84733,67.55725,-63.76336,0.32642,0.57715,0.08472
MPU2,-132.80916,19.09924,-55.26717,-0.04541,0.64526,-0.09766
MPU1,-133.99237,83.41222,-44.13741,-0.09253,0.47705,0.07446
MPU2,-194.16794,69.35878,-70.61069,0.02490,0.52954,0.07935
MPU1,-218.94656,111.80916,-110.36641,0.15527,0.11108,-0.07251
MPU2,-238.13741,20.21374,-104.50381,-0.11865,0.34204,0.05054
MPU1,-226.12213,94.87786,-142.19847,-0.24292,-0.21216,0.12305
MPU2,-289.38931,25.38931,-107.38931,-0.13843,0.11646,0.53906
MPU1,-250.13741,190.09160,-103.06107,-0.45679,-0.70410,-0.13501
MPU2,-296.15268,45.34351,-120.54962,-0.54077,-0.27466,0.55981
MPU1,-235.77100,61.00000,-186.70993,-0.90991,-1.08618,0.13794
